arc_id,local_flow,consensus_flow,capacity
xs_link19_t0,4895.175583319855,4898.587645999999,4898.587646
xs_link22_t0,5045.142148714315,5045.822583000001,5045.822583
source_XS151,599.9999999991767,600.0,600.0
source_XS127,399.999999999748,400.0,400.0
source_XS128,799.9999999998698,800.0,800.0
source_XS143,99.99999999997424,100.0,100.0
source_XS157,1399.9999999999754,1400.0,1400.0
source_XS175,799.9999999999995,800.0,800.0
source_XS179,2200.0000000000005,2200.0,2200.0
source_XS180,1400.0000000000002,1400.0,1400.0
sink_XS1_4_t14,0.0,0.0,86100.0
sink_XS1_4_t15,0.0,0.0,86100.0
xs_link76_t16,0.0,0.0,5078.508436
source_XS1,500.0,500.0,500.0
xs_link76_t30,0.0,0.0,5078.508436
xs_link76_t29,0.0,0.0,5078.508436
xs_link76_t28,0.0,0.0,5078.508436
xs_link76_t27,0.0,0.0,5078.508436
xs_link76_t26,0.0,0.0,5078.508436
xs_link76_t25,0.0,0.0,5078.508436
xs_link76_t24,0.0,0.0,5078.508436
xs_link76_t23,0.0,0.0,5078.508436
xs_link76_t18,0.0,0.0,5078.508436
sink_XS1_4_t13,0.0,0.0,86100.0
sink_XS1_4_t12,0.0,0.0,86100.0
sink_XS1_4_t11,0.0,0.0,86100.0
sink_XS1_4_t10,0.0,0.0,86100.0
sink_XS1_4_t9,0.0,0.0,86100.0
sink_XS1_4_t8,500.0,500.0,86100.0
sink_XS1_4_t7,0.0,0.0,86100.0
