physical_link_id,admm_flow,reference_lp_flow
1,3399.999999999986,3400.0
10,5896.699755754815,6500.0
11,9596.699755754968,9600.0
12,6799.99999999928,6700.0
13,7000.000000000113,7000.0
14,3499.999999998921,3500.0
15,7896.699755754516,7900.0
16,14699.99999999531,14600.0
17,4499.9999999992715,4600.0
18,14692.998207389906,14400.0
19,8296.699755749534,8300.0
2,5999.999999999183,6000.0
20,9492.998207392167,9200.0
21,800.0000000001346,800.0
22,12810.302036852228,13100.0
23,2799.9999999999663,2700.0
24,1400.0,1400.0
25,10500.00000000004,10500.0
26,899.9999999991043,800.0
27,7503.300244249387,7600.0
28,1207.0017926026808,1400.0
3,2499.999999999952,2500.0
30,500.0,500.0
32,700.0000000000673,700.0
33,4700.000000000135,4700.0
34,5100.0000000063965,5200.0
35,200.00000000001643,200.0
36,2500.0,1900.0
37,7500.000000000033,7500.0
38,900.0,900.0
39,1999.9999999999495,2000.0
4,6599.999999999893,6600.0
41,2299.9999999998695,2700.0
42,1000.0000000041442,700.0
43,100.0000000000305,0.0
44,200.0,200.0
45,1300.0000000000414,1400.0
46,200.0,600.0
47,0.0,0.0
48,7910.302036851301,8200.0
49,4300.0,4300.0
5,1399.9999999999827,1400.0
51,499.99999999996635,500.0
54,1000.0000000000657,1100.0
55,5599.999999998133,5600.0
56,8492.998207391649,8200.0
57,892.9982073973101,700.0
59,1299.999999999899,1400.0
6,4299.999999999816,4900.0
60,1199.999999999996,1300.0
61,2592.9982073971864,2400.0
62,1499.9999999998686,1500.0
63,1899.9999999949996,1800.0
65,700.0,700.0
66,999.9999999999832,1000.0
68,500.0,500.0
7,8699.99999999992,8100.0
70,599.9999999923083,500.0
72,700.0,300.0
74,799.9999999999663,800.0
75,1100.0000000001967,1100.0
76,400.0,400.0
8,6599.999999999902,6600.0
9,9199.99999999864,9200.0
