iteration,dual,best_dual,best_primal,gap,capacity_subgradient_norm,projected_subgradient_norm,max_current_capacity_violation,multiplier_positive_count,max_multiplier,step_coefficient,path_pool_size,wall_seconds
1,1502600.0,1502600.0,,,14634237.556468438,11609.880899972128,11545.082283,0,0.0,0.00043066763932195066,250,0.8608154999674298
2,1495507.0738452652,1502600.0,,,14634086.02881214,11363.908774327905,10145.082283,4,4.972093332597287,0.0003111195255209922,258,1.7063979999511503
3,1502041.1499204414,1502600.0,,,14634008.192595355,9780.097410255546,6245.082283,6,3.461633636040788,0.00029516590938256313,264,2.5632525999681093
4,1508329.6410473555,1508329.6410473555,,,14634212.430314612,8301.873319415383,3745.0822829999997,6,2.0286274331249654,0.00030113685234792886,267,3.36785359994974
5,1502731.3260063974,1508329.6410473555,,,14634040.177072328,13940.410406113933,10145.082283,6,3.1564097236115805,0.00016040187572376657,278,4.173394499986898
6,1513764.0957105434,1513764.0957105434,,,14634008.192595355,9780.097410255546,6245.082283,7,2.377671815320234,0.0002087138160995044,278,4.996299899998121
7,1508237.3113970738,1513764.0957105434,,,14634211.705407117,12506.270967671322,10145.082283,7,1.36438341175607,0.00015110998073936843,278,5.830885599949397
8,1504613.963766453,1513764.0957105434,,,14634087.196288925,12550.039135416559,10145.082283,7,2.897406600139508,0.00014085748529482124,278,6.728445199958514
9,1516258.3474322276,1516258.3474322276,,,14633969.663114242,10788.216445867558,6245.082283,7,2.2135550992096134,0.00015448954653714663,279,7.613018499978352
10,1510777.140200132,1516258.3474322276,1521090.83662,0.0031769892181525527,14634236.850911885,12504.334841454725,10145.082283,6,1.4635210626351243,4.6173329757907056e-05,279,8.769487099954858
