link_id,from_node_id,to_node_id,volume
1,1,2,4494.65579402171
2,1,3,8119.078357892013
3,2,1,4519.078357892014
4,2,6,5967.33643286307
5,3,1,8094.655794021708
6,3,4,14006.376119547762
7,3,12,10022.322114126833
8,4,3,14030.563117393442
9,4,5,18006.376119547753
10,4,11,5200.000000000001
11,5,4,18030.56311739348
12,5,6,8798.267704367248
13,5,9,15780.78905402187
14,6,2,5991.758996733374
15,6,5,8806.49809253926
16,6,8,12492.923498388964
17,7,8,12101.523139052431
18,7,18,15794.05770744366
19,8,6,12525.576450431297
20,8,7,12040.912054954168
21,8,9,6882.659726462477
22,8,16,8388.712043231077
23,9,5,15796.745663695536
24,9,8,6836.700599796298
25,9,10,21744.088454225533
26,10,9,21814.08593723309
27,10,11,17726.623217412955
28,10,15,23125.81341212599
29,10,16,11047.089628171923
30,10,17,8100.0
31,11,4,5300.000000000002
32,11,10,17604.2215387477
33,11,12,8365.289500342553
34,11,14,9776.125141560984
35,12,3,9973.712552410834
36,12,11,8404.939727633238
37,12,13,12287.611614469384
38,13,12,12378.652280044074
39,13,24,11121.347719955926
40,14,11,9814.073235604974
41,14,15,9036.332915449022
42,14,23,8400.431132968477
43,15,10,23192.297019766753
44,15,14,9079.819504321304
45,15,19,19083.290769851443
46,15,22,18409.92386129828
47,16,8,8406.713037841353
48,16,10,11073.00518220392
49,16,17,11694.987365345472
50,16,18,15278.359455929258
51,17,10,8099.999999999999
52,17,16,11683.822650959562
53,17,19,9953.023061969825
54,18,7,15854.668791541912
55,18,16,15333.440718957438
56,18,20,18976.836316876826
57,19,15,19116.725249638486
58,19,17,9941.858347583913
59,19,20,8688.351361457633
60,20,18,18992.528664003232
61,20,19,8710.621126858763
62,20,21,6302.03339126387
63,20,22,7000.000000000003
64,21,20,6239.995503791419
65,21,22,8619.528664067773
66,21,24,10309.411409065027
67,22,15,18386.459578024358
68,22,20,6999.999999999999
69,22,21,8607.378017801175
70,22,23,9661.823755073823
71,23,14,8394.892638140189
72,23,22,9626.208825533253
73,23,24,7902.976976465593
74,24,13,11112.388385530616
75,24,21,10259.524167859196
76,24,23,7861.8235520967255
