index,zone_id
0,h3r9:892a3064437ffff
1,h3r9:892a3064483ffff
2,h3r9:892a3064487ffff
3,h3r9:892a306448fffff
4,h3r9:892a3064493ffff
5,h3r9:892a3064497ffff
6,h3r9:892a306449bffff
7,h3r9:892a30644a3ffff
8,h3r9:892a30644a7ffff
9,h3r9:892a30644abffff
10,h3r9:892a30644afffff
11,h3r9:892a30644b3ffff
12,h3r9:892a30644b7ffff
13,h3r9:892a30644bbffff
14,h3r9:892a3064553ffff
15,h3r9:892a3064583ffff
16,h3r9:892a306458bffff
17,h3r9:892a3064593ffff
18,h3r9:892a3064597ffff
19,h3r9:892a306459bffff
20,h3r9:892a30645c3ffff
21,h3r9:892a30645c7ffff
22,h3r9:892a30645cbffff
23,h3r9:892a30645cfffff
24,h3r9:892a30645d3ffff
25,h3r9:892a30645d7ffff
26,h3r9:892a30645dbffff
27,h3r9:892a3066003ffff
28,h3r9:892a3066007ffff
29,h3r9:892a306600bffff
30,h3r9:892a306600fffff
31,h3r9:892a3066017ffff
32,h3r9:892a3066023ffff
33,h3r9:892a3066027ffff
34,h3r9:892a306602bffff
35,h3r9:892a306602fffff
36,h3r9:892a3066033ffff
37,h3r9:892a3066037ffff
38,h3r9:892a306603bffff
39,h3r9:892a3066047ffff
40,h3r9:892a306604fffff
41,h3r9:892a3066063ffff
42,h3r9:892a3066067ffff
43,h3r9:892a306606bffff
44,h3r9:892a306606fffff
45,h3r9:892a3066073ffff
46,h3r9:892a3066077ffff
47,h3r9:892a306607bffff
48,h3r9:892a30660a3ffff
49,h3r9:892a30660a7ffff
50,h3r9:892a30660abffff
51,h3r9:892a30660afffff
52,h3r9:892a30660b3ffff
53,h3r9:892a30660b7ffff
54,h3r9:892a30660bbffff
55,h3r9:892a3066103ffff
56,h3r9:892a3066107ffff
57,h3r9:892a306610bffff
58,h3r9:892a306610fffff
59,h3r9:892a3066113ffff
60,h3r9:892a306611bffff
61,h3r9:892a3066123ffff
62,h3r9:892a3066127ffff
63,h3r9:892a306612bffff
64,h3r9:892a306612fffff
65,h3r9:892a306613bffff
66,h3r9:892a3066143ffff
67,h3r9:892a3066147ffff
68,h3r9:892a306614bffff
69,h3r9:892a306614fffff
70,h3r9:892a3066153ffff
71,h3r9:892a3066157ffff
72,h3r9:892a306615bffff
73,h3r9:892a3066163ffff
74,h3r9:892a3066167ffff
75,h3r9:892a306616bffff
76,h3r9:892a306616fffff
77,h3r9:892a3066173ffff
78,h3r9:892a3066177ffff
79,h3r9:892a306617bffff
80,h3r9:892a30661c3ffff
81,h3r9:892a30661c7ffff
82,h3r9:892a30661cbffff
83,h3r9:892a30661cfffff
84,h3r9:892a30661d3ffff
85,h3r9:892a30661d7ffff
86,h3r9:892a30661dbffff
87,h3r9:892a3066203ffff
88,h3r9:892a3066207ffff
89,h3r9:892a306620bffff
90,h3r9:892a306620fffff
91,h3r9:892a3066217ffff
92,h3r9:892a3066223ffff
93,h3r9:892a3066227ffff
94,h3r9:892a306622bffff
95,h3r9:892a306622fffff
96,h3r9:892a3066233ffff
97,h3r9:892a3066237ffff
98,h3r9:892a306623bffff
99,h3r9:892a3066247ffff
100,h3r9:892a3066263ffff
101,h3r9:892a3066267ffff
102,h3r9:892a3066273ffff
103,h3r9:892a3066277ffff
104,h3r9:892a30662a3ffff
105,h3r9:892a30662a7ffff
