link_index,link_id,from_node_id,to_node_id,geometry,flow_pce_per_period
0,1,1147,1148,"LINESTRING (-71.0414097 42.3468047, -71.0406347 42.3474949)",0.0
1,10,3061,3078,"LINESTRING (-71.0396679 42.3458705, -71.0422018 42.3471875)",0.0
2,10231,647,648,"LINESTRING (-71.05742 42.312012, -71.057207 42.31296)",0.0
3,10232,648,647,"LINESTRING (-71.057207 42.31296, -71.05742 42.312012)",0.0
4,10233,648,676,"LINESTRING (-71.057207 42.31296, -71.058025 42.312863)",0.0
5,10234,676,648,"LINESTRING (-71.058025 42.312863, -71.057207 42.31296)",0.0
6,10235,2022,2023,"LINESTRING (-71.0491184 42.3178361, -71.0509422 42.3215359)",0.0
7,10236,2290,1677,"LINESTRING (-71.0569716 42.329498, -71.0582716 42.3297413)",2.7897980104696383
8,10237,1677,2290,"LINESTRING (-71.0582716 42.3297413, -71.0569716 42.329498)",0.0
9,10238,2290,2294,"LINESTRING (-71.0569716 42.329498, -71.0577596 42.3283731)",0.0
10,10239,2294,2290,"LINESTRING (-71.0577596 42.3283731, -71.0569716 42.329498)",0.0
11,10240,2738,2657,"LINESTRING (-71.0514029 42.3214363, -71.0497361 42.3186367)",0.0
12,10241,2477,2891,"LINESTRING (-71.070666 42.319555, -71.0712903 42.3201791)",0.0
13,10242,2891,2477,"LINESTRING (-71.0712903 42.3201791, -71.070666 42.319555)",0.0
14,10243,3314,1849,"LINESTRING (-71.0554678 42.3240034, -71.0518528 42.3182806)",0.0
15,10244,3428,3425,"LINESTRING (-71.0625301 42.3198849, -71.0631454 42.3191835)",0.0
16,10245,3431,3432,"LINESTRING (-71.0575245 42.3203699, -71.056775 42.320652)",0.0
17,10246,3446,2303,"LINESTRING (-71.0591817 42.3192751, -71.0596899 42.3200147)",0.0
18,10247,1784,1030,"LINESTRING (-71.0624135 42.3198125, -71.0614864 42.3204917)",0.0
19,10248,4148,3314,"LINESTRING (-71.0589621 42.32775, -71.0554678 42.3240034)",0.09731355789423173
20,10249,4400,3431,"LINESTRING (-71.0567783 42.3207917, -71.0575245 42.3203699)",0.0
21,10250,4405,4250,"LINESTRING (-71.049714 42.3203849, -71.045809 42.3190836)",0.0
22,10251,2014,4408,"LINESTRING (-71.0499095 42.319593, -71.0500353 42.3199306)",0.0
23,10252,3432,4686,"LINESTRING (-71.056775 42.320652, -71.0567597 42.3198644)",0.0
24,10253,4686,3432,"LINESTRING (-71.0567597 42.3198644, -71.056775 42.320652)",0.0
25,10254,1527,1849,"LINESTRING (-71.0541033 42.3213795, -71.0518528 42.3182806)",0.0
26,10255,4242,5216,"LINESTRING (-71.0608344 42.3198919, -71.0600941 42.3192921)",0.0
27,10256,4250,2962,"LINESTRING (-71.045809 42.3190836, -71.0495219 42.3204292)",0.0
28,10257,2366,5287,"LINESTRING (-71.0511481 42.3206934, -71.0497599 42.3182997)",0.0
29,10258,5287,2366,"LINESTRING (-71.0497599 42.3182997, -71.0511481 42.3206934)",0.0
30,10259,4684,1613,"LINESTRING (-71.0587525 42.3186922, -71.056731 42.3185162)",0.0
31,10260,4169,5405,"LINESTRING (-71.0552901 42.3240773, -71.0587997 42.3279191)",0.09731355789423173
32,10261,5406,4402,"LINESTRING (-71.0517263 42.3184742, -71.0528518 42.321419)",0.0
33,10262,5406,4169,"LINESTRING (-71.0517263 42.3184742, -71.0552901 42.3240773)",0.0
34,10427,3459,3455,"LINESTRING (-71.06572 42.31447, -71.065465 42.31402)",0.0
35,10428,3455,3459,"LINESTRING (-71.065465 42.31402, -71.06572 42.31447)",0.0
36,10429,2376,3688,"LINESTRING (-71.066277 42.3175748, -71.0654467 42.317156)",0.0
37,10430,3688,2376,"LINESTRING (-71.0654467 42.317156, -71.066277 42.3175748)",0.0
38,10431,3730,736,"LINESTRING (-71.059379 42.311039, -71.058881 42.312771)",0.0
39,10432,736,3730,"LINESTRING (-71.058881 42.312771, -71.059379 42.311039)",0.0
40,10436,1531,3648,"LINESTRING (-71.06521 42.3170628, -71.066145 42.3161866)",0.0
41,10437,4637,5231,"LINESTRING (-71.0663146 42.315805, -71.0655119 42.316733)",0.0
42,10438,1939,2603,"LINESTRING (-71.070018 42.311275, -71.068362 42.312682)",0.0
43,10605,1528,1529,"LINESTRING (-71.0664207 42.3158595, -71.0665037 42.3157599)",0.0
44,10606,2077,2078,"LINESTRING (-71.069104 42.318728, -71.069698 42.318947)",0.0
45,10607,2078,2077,"LINESTRING (-71.069698 42.318947, -71.069104 42.318728)",0.0
46,10608,4635,4637,"LINESTRING (-71.0661287 42.3155283, -71.0663146 42.315805)",0.0
47,10609,1525,4637,"LINESTRING (-71.0663741 42.3156936, -71.0663146 42.315805)",0.0
48,10636,2477,2078,"LINESTRING (-71.070666 42.319555, -71.069698 42.318947)",0.0
