round,objective,commit_classification
0,64.82967648341466,INITIAL
1,64.57363447223132,STRICT_OBJECTIVE_IMPROVEMENT
2,64.4125022298126,STRICT_OBJECTIVE_IMPROVEMENT
3,64.41250222981262,DEGENERATE_NONINCREASING_COMMIT
4,64.4125022298126,DEGENERATE_NONINCREASING_COMMIT
5,64.39778836565418,STRICT_OBJECTIVE_IMPROVEMENT
6,64.39778836565418,DEGENERATE_NONINCREASING_COMMIT
7,64.39778836565418,DEGENERATE_NONINCREASING_COMMIT
8,64.3977883656542,DEGENERATE_NONINCREASING_COMMIT
9,64.3977883656542,DEGENERATE_NONINCREASING_COMMIT
10,64.3977883656542,DEGENERATE_NONINCREASING_COMMIT
11,64.3977883656542,DEGENERATE_NONINCREASING_COMMIT
12,64.39778836565418,DEGENERATE_NONINCREASING_COMMIT
13,64.39778836565418,DEGENERATE_NONINCREASING_COMMIT
14,64.39686151152952,STRICT_OBJECTIVE_IMPROVEMENT
15,64.39686151152952,REFERENCE_LEVEL_MATCH
