content_sha256,city_id,city_name,country_iso3,inside_polygon_stop_rows,unique_inside_stop_row_keys,unique_inside_stop_ids,primary_assignment_rule,all_retained_view,network_snapshot_view,preexisting_local_zip_view,mapped_source_record_count,source_link_status,evidence_type
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10004,Piduguralla,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10006,Vellore,IND,3,3,3,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
f5d468c282b4f904632b24cf43fe29f309066977ef74475f8c5aab3c400058a8,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10006,Vellore,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10008,Varanasi,IND,15,15,15,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10010,Khammam,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
f5d468c282b4f904632b24cf43fe29f309066977ef74475f8c5aab3c400058a8,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10010,Khammam,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10012,Paramakkudi,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10018,Balod,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10020,Siswa Bazar,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
f5d468c282b4f904632b24cf43fe29f309066977ef74475f8c5aab3c400058a8,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10024,Kallakurichi,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10028,Chunar,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10032,Dohrighat,IND,2,2,2,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10034,Tiruvannamalai,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
f5d468c282b4f904632b24cf43fe29f309066977ef74475f8c5aab3c400058a8,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10034,Tiruvannamalai,IND,2,2,2,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
466811f9f12fffc654ebfd769e4897a017f54cffe1d8dbdc1fd5d20cab0de04c,ghsl_urban_centre:R2024A_V1_1:ID_UC_G0:10036,Captainganj,IND,1,1,1,ghsl_polygon_contains_stop_point,yes,yes,no,1,MAPPED_SOURCE_RECORDS,inside_polygon_gtfs_stop_content
