source_execution_id,source_registry,source_record_id,source_country_code,content_sha256,terminal_status,content_parse_status,network_snapshot_view,preexisting_local_zip_view,source_record_count_for_content_sha,duplicate_source_record_for_same_content_sha,city_id,city_name,country_iso3,inside_polygon_stop_rows,unique_inside_stop_row_keys,unique_inside_stop_ids,primary_assignment_rule,all_retained_view,relationship_status,evidence_type
v23a_mobilitydb_tld-5761__g3999,Mobility Database local feeds_v2,tld-5761,US,006461e181dc40385b9e61d0ef58db763a1192cf93cbcb535afceb12c23e805f,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_transitland_f-plaqueminesportharborandterminaldistrict~la~us_static_current__g5538,Transitland Atlas local DMFR,f-plaqueminesportharborandterminaldistrict~la~us,,009dd95e6459acd4926a30f6f0a64d2a3b8fc918fe50a13293a3fcda01e06249,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_mdb-2567__g2442,Mobility Database local feeds_v2,mdb-2567,CA,00a439c01cdcb38b1e3fde676f5a5c00584f5c05548038f986ef9b0d8e9542ee,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_transitland_f-津山市~市営阿波バス_static_current__g7078,Transitland Atlas local DMFR,f-津山市~市営阿波バス,,00b5f8b05e2ff139e0eced7351bff8e009e20c0b16b67a4bb0383109eef6170d,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_transitland_f-上勝町営バス_static_current__g6822,Transitland Atlas local DMFR,f-上勝町営バス,,00e23ac93d458ec7c4fa333b4e22a0b5b77dba0fa1a43e63b3567dbf1303711b,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_ntd-40206__g2842,Mobility Database local feeds_v2,ntd-40206,US,00eed3c7954e51ec791753110447b074d2a824331710d17cb26ce8db23dbb9d0,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_mdb-671__g1211,Mobility Database local feeds_v2,mdb-671,AU,00f858c00d8964b848b53f3e2f59e12d3378977af11557f317d7f7a07671b3d8,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_transitland_f-chautauqua~area~regional~transit~system_static_historic__g4457,Transitland Atlas local DMFR,f-chautauqua~area~regional~transit~system,,010cd49583b19ad10fc967cf7be98d3f7e3a8b843f7441ba11484b824a1580e9,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_ntd-60080__g2881,Mobility Database local feeds_v2,ntd-60080,US,012ac105e822b2f68fa50df26c3e490bed872535dbef10db7ff0b101fe3d55fd,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_mdb-1168__g1708,Mobility Database local feeds_v2,mdb-1168,AU,0136316f72548b0b4b3fa1e64fb5a55fb9253dd13871cba2e1d7f58070349a62,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_jbda-kuroiwa-kanko-GTFS-Kuroiwakanko_Localbus__g209,Mobility Database local feeds_v2,jbda-kuroiwa-kanko-GTFS-Kuroiwakanko_Localbus,JP,014097d06c0806ab4372b446cb562d392f0dbf12aaab1117eb1a6dd66efca78a,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_tld-5759__g3997,Mobility Database local feeds_v2,tld-5759,US,016985f4de5c75e155bf619485df22b75a211bf90c639c216d4e97a5dff8cec0,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_mdb-419__g959,Mobility Database local feeds_v2,mdb-419,US,018ef8539399076e251ecb404f5d5764597ec8887771a1fedfd24973fe2405ca,complete_downloaded_and_parsed,parsed,yes,no,2,yes,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_transitland_f-drm-vineyardfastferry~ri~us_static_current__g6280,Transitland Atlas local DMFR,f-drm-vineyardfastferry~ri~us,,018ef8539399076e251ecb404f5d5764597ec8887771a1fedfd24973fe2405ca,complete_downloaded_and_parsed,parsed,yes,no,2,yes,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_mdb-2052__g2095,Mobility Database local feeds_v2,mdb-2052,US,018f2b055a1118c9f819fdcc00d77ed7888801c8380042820ecd9494efccc7f0,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_mobilitydb_mdb-827__g1367,Mobility Database local feeds_v2,mdb-827,US,01dbe21ba319e64ef0a766cf45e7dd72de984ad85130676b32625b97326e6daf,complete_downloaded_and_parsed,parsed,yes,no,2,yes,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_transitland_f-tsctransit~co~us_static_current__g6359,Transitland Atlas local DMFR,f-tsctransit~co~us,,01dbe21ba319e64ef0a766cf45e7dd72de984ad85130676b32625b97326e6daf,complete_downloaded_and_parsed,parsed,yes,no,2,yes,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
v23a_transitland_f-monroe~la~us_static_current__g5320,Transitland Atlas local DMFR,f-monroe~la~us,,01e39394d9133b65a3183e8a7fc9932d0a18a1a4c65ad7316128c17cb5639b21,complete_downloaded_and_parsed,parsed,yes,no,1,no,,,,,,,,yes,SOURCE_CONTENT_ONLY_NO_CITY_LINK,
