path_id,path_index,link_order,link_id,link_index
OD000_P00,0,0,17207,919
OD000_P00,0,1,17204,152
OD000_P00,0,2,17209,923
OD000_P00,0,3,17056,3545
OD000_P00,0,4,17184,3547
OD000_P00,0,5,17185,3548
OD000_P00,0,6,17189,2984
OD000_P00,0,7,17160,2979
OD000_P00,0,8,15604,1972
OD000_P00,0,9,18115,1977
OD000_P00,0,10,18154,2319
OD000_P00,0,11,18120,2322
OD000_P00,0,12,17772,3707
OD000_P00,0,13,18015,1195
OD000_P00,0,14,18018,3706
OD000_P00,0,15,18019,4412
OD000_P00,0,16,18014,3613
OD000_P00,0,17,17958,1268
OD000_P01,1,0,17207,919
OD000_P01,1,1,17204,152
OD000_P01,1,2,17209,923
OD000_P01,1,3,17056,3545
OD000_P01,1,4,17184,3547
OD000_P01,1,5,17185,3548
OD000_P01,1,6,17189,2984
OD000_P01,1,7,17160,2979
OD000_P01,1,8,15604,1972
OD000_P01,1,9,18115,1977
OD000_P01,1,10,18152,2320
OD000_P01,1,11,17775,2323
OD000_P01,1,12,17956,1193
OD000_P01,1,13,18015,1195
OD000_P01,1,14,18018,3706
OD000_P01,1,15,18019,4412
OD000_P01,1,16,18014,3613
OD000_P01,1,17,17958,1268
OD000_P02,2,0,17207,919
OD000_P02,2,1,17204,152
OD000_P02,2,2,17209,923
OD000_P02,2,3,17056,3545
OD000_P02,2,4,17184,3547
OD000_P02,2,5,17185,3548
OD000_P02,2,6,17189,2984
OD000_P02,2,7,17160,2979
OD000_P02,2,8,15604,1972
OD000_P02,2,9,18141,1975
OD000_P02,2,10,18138,373
OD000_P02,2,11,15584,369
OD000_P02,2,12,17180,372
OD000_P02,2,13,17179,3612
OD000_P02,2,14,15632,2256
OD000_P02,2,15,18014,3613
OD000_P02,2,16,17958,1268
OD000_P03,3,0,17207,919
OD000_P03,3,1,17204,152
OD000_P03,3,2,17209,923
OD000_P03,3,3,17056,3545
OD000_P03,3,4,17184,3547
OD000_P03,3,5,17185,3548
OD000_P03,3,6,17189,2984
OD000_P03,3,7,17160,2979
OD000_P03,3,8,15604,1972
OD000_P03,3,9,18115,1977
OD000_P03,3,10,18152,2320
OD000_P03,3,11,17775,2323
OD000_P03,3,12,17812,1194
OD000_P03,3,13,18086,1197
OD000_P03,3,14,17819,3513
OD000_P03,3,15,18051,3389
OD000_P03,3,16,18049,3390
OD000_P03,3,17,18050,169
OD000_P03,3,18,18033,1275
OD000_P03,3,19,17957,655
OD000_P03,3,20,18023,1265
OD000_P03,3,21,18017,3161
OD000_P03,3,22,17958,1268
OD000_P04,4,0,17207,919
OD000_P04,4,1,17204,152
OD000_P04,4,2,17209,923
OD000_P04,4,3,17056,3545
OD000_P04,4,4,17184,3547
OD000_P04,4,5,17185,3548
OD000_P04,4,6,17189,2984
OD000_P04,4,7,17160,2979
OD000_P04,4,8,15604,1972
OD000_P04,4,9,18115,1977
OD000_P04,4,10,18154,2319
OD000_P04,4,11,18120,2322
OD000_P04,4,12,17772,3707
OD000_P04,4,13,18015,1195
OD000_P04,4,14,18018,3706
OD000_P04,4,15,18019,4412
OD000_P04,4,16,18014,3613
OD000_P04,4,17,17960,1266
OD000_P04,4,18,18009,600
OD000_P04,4,19,18006,407
OD001_P00,5,0,17959,1273
OD001_P00,5,1,15595,1269
OD001_P00,5,2,17038,1274
OD001_P00,5,3,16620,3550
OD001_P00,5,4,17060,246
OD001_P00,5,5,17109,3737
OD001_P00,5,6,16622,3744
OD001_P00,5,7,16916,3746
OD001_P00,5,8,16921,1378
OD001_P00,5,9,16893,1380
OD001_P00,5,10,16820,851
OD001_P00,5,11,16890,855
OD001_P00,5,12,16881,659
OD001_P00,5,13,16876,662
OD001_P00,5,14,16625,665
OD001_P00,5,15,14257,2584
OD001_P00,5,16,14354,1714
OD001_P00,5,17,14338,515
OD001_P00,5,18,14692,518
OD001_P00,5,19,12220,1437
OD001_P00,5,20,14117,1439
OD001_P01,6,0,17959,1273
OD001_P01,6,1,15595,1269
OD001_P01,6,2,17038,1274
OD001_P01,6,3,16620,3550
OD001_P01,6,4,17060,246
OD001_P01,6,5,17109,3737
OD001_P01,6,6,16622,3744
OD001_P01,6,7,16916,3746
OD001_P01,6,8,16921,1378
OD001_P01,6,9,16893,1380
OD001_P01,6,10,16820,851
OD001_P01,6,11,16890,855
OD001_P01,6,12,16881,659
OD001_P01,6,13,16876,662
OD001_P01,6,14,16625,665
OD001_P01,6,15,16774,2585
OD001_P01,6,16,16769,2356
OD001_P01,6,17,16772,3600
OD001_P01,6,18,14268,3649
OD001_P01,6,19,15539,2594
OD001_P01,6,20,15516,1713
OD001_P01,6,21,14354,1714
OD001_P01,6,22,14338,515
OD001_P01,6,23,14692,518
OD001_P01,6,24,12220,1437
OD001_P01,6,25,14117,1439
OD001_P02,7,0,17959,1273
OD001_P02,7,1,15595,1269
OD001_P02,7,2,17038,1274
OD001_P02,7,3,16620,3550
OD001_P02,7,4,17060,246
OD001_P02,7,5,17109,3737
OD001_P02,7,6,16622,3744
OD001_P02,7,7,16916,3746
OD001_P02,7,8,16921,1378
OD001_P02,7,9,16893,1380
OD001_P02,7,10,16820,851
OD001_P02,7,11,16890,855
OD001_P02,7,12,16881,659
OD001_P02,7,13,16876,662
OD001_P02,7,14,16625,665
OD001_P02,7,15,16774,2585
OD001_P02,7,16,16769,2356
OD001_P02,7,17,16770,3599
OD001_P02,7,18,16771,394
OD001_P02,7,19,14268,3649
OD001_P02,7,20,15539,2594
OD001_P02,7,21,15516,1713
OD001_P02,7,22,14354,1714
