path_index,path_id,od_index,od_id,o_node_id,d_node_id,rank_in_od,link_id_sequence,free_flow_cost_min,generation_method,source_identity
0,OD000_P00,0,1642->2032,1642,2032,0,17207;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958,1.8938513333333329,yen_loopless_exact_link_ids_vdf_fftt,297281ffe27b1ea2
1,OD000_P01,0,1642->2032,1642,2032,1,17207;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17956;18015;18018;18019;18014;17958,2.2269066666666664,yen_loopless_exact_link_ids_vdf_fftt,39cc1b0255639903
2,OD000_P02,0,1642->2032,1642,2032,2,17207;17204;17209;17056;17184;17185;17189;17160;15604;18141;18138;15584;17180;17179;15632;18014;17958,2.271327333333333,yen_loopless_exact_link_ids_vdf_fftt,b563e4522ebf5406
3,OD000_P03,0,1642->2032,1642,2032,3,17207;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17812;18086;17819;18051;18049;18050;18033;17957;18023;18017;17958,2.2737733333333328,yen_loopless_exact_link_ids_vdf_fftt,de59e64db48582f1
4,OD000_P04,0,1642->2032,1642,2032,4,17207;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18006,2.2946706666666663,yen_loopless_exact_link_ids_vdf_fftt,afd906c6776c51ab
5,OD001_P00,1,2032->2682,2032,2682,0,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;14257;14354;14338;14692;12220;14117,7.728965333333333,yen_loopless_exact_link_ids_vdf_fftt,63f8f6e94f40da2a
6,OD001_P01,1,2032->2682,2032,2682,1,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;16774;16769;16772;14268;15539;15516;14354;14338;14692;12220;14117,8.035547666666666,yen_loopless_exact_link_ids_vdf_fftt,d1e8e298a6d9b901
7,OD001_P02,1,2032->2682,2032,2682,2,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;16774;16769;16770;16771;14268;15539;15516;14354;14338;14692;12220;14117,8.046394333333334,yen_loopless_exact_link_ids_vdf_fftt,f3f3fb373caeb6bb
8,OD001_P03,1,2032->2682,2032,2682,3,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;14257;14354;14338;14692;12220;14116;14198;14193,8.083737333333334,yen_loopless_exact_link_ids_vdf_fftt,25978ec5fa5a3fe0
9,OD001_P04,1,2032->2682,2032,2682,4,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;14257;14354;15131;15132;15134;14362;14887;14832;14697;12220;14117,8.219095,yen_loopless_exact_link_ids_vdf_fftt,fe40f0d6c1463a03
10,OD002_P00,2,2032->3858,2032,3858,0,17959;18013;18020;15640;15585;18137;18142;18139;18116;18163,1.4069606666666665,yen_loopless_exact_link_ids_vdf_fftt,40a922878bd83129
11,OD002_P01,2,2032->3858,2032,3858,1,17959;18013;18021;18018;15640;15585;18137;18142;18139;18116;18163,1.5327206666666666,yen_loopless_exact_link_ids_vdf_fftt,b84905b25335feb2
12,OD002_P02,2,2032->3858,2032,3858,2,17959;18013;18020;15640;17180;17181;15604;18139;18116;18163,1.7287886666666665,yen_loopless_exact_link_ids_vdf_fftt,b4683b239bb36b19
13,OD002_P03,2,2032->3858,2032,3858,3,17959;18013;18021;18018;15640;17180;17181;15604;18139;18116;18163,1.8545486666666666,yen_loopless_exact_link_ids_vdf_fftt,30f3900550d9b0fd
14,OD002_P04,2,2032->3858,2032,3858,4,17959;18013;18021;18016;17771;18121;18153;17775;17812;17773;18191;18093;18149;18114;18116;18163,1.9637373333333332,yen_loopless_exact_link_ids_vdf_fftt,a66105b9405c5e49
15,OD003_P00,3,2032->5012,2032,5012,0,17959;18013;18020;15640;15585;18137;18142;18139;18143;18118;18148;15605;17186;17190;17191;17057;17208;17205;17194;17211;14243;18664;18686;18680;18668;18669;18676;18286;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553,6.171378000000001,yen_loopless_exact_link_ids_vdf_fftt,b2cf8e315ea43055
16,OD003_P01,3,2032->5012,2032,5012,1,17959;18013;18020;15640;17180;17181;15603;18148;15605;17186;17190;17191;17057;17208;17205;17194;17211;14243;18664;18686;18680;18668;18669;18676;18286;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553,6.181659333333332,yen_loopless_exact_link_ids_vdf_fftt,4a8658ab0e624ee0
17,OD003_P02,3,2032->5012,2032,5012,2,17959;18013;18020;15640;15585;18137;18142;18139;18143;18118;18148;15605;17186;17190;17191;17057;17208;17205;17194;17211;14243;18664;18686;18680;18668;18669;18676;18287;18427;18416;18430;18382;18413;18383;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553,6.189254999999999,yen_loopless_exact_link_ids_vdf_fftt,c657f68b37539314
18,OD003_P03,3,2032->5012,2032,5012,3,17959;18013;18020;15640;17180;17181;15603;18148;15605;17186;17190;17191;17057;17208;17205;17194;17211;14243;18664;18686;18680;18668;18669;18676;18287;18427;18416;18430;18382;18413;18383;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553,6.199536333333333,yen_loopless_exact_link_ids_vdf_fftt,7e8a6d3b1ee6aca5
19,OD003_P04,3,2032->5012,2032,5012,4,17959;18013;18020;15640;15585;18137;18142;18139;18143;18118;18148;15605;17186;17190;17191;17057;17208;17205;17206;17195;17210;14243;18664;18686;18680;18668;18669;18676;18286;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553,6.283143333333332,yen_loopless_exact_link_ids_vdf_fftt,7fc7cda694a8802c
20,OD004_P00,4,2032->524,2032,524,0,17959;18013;18020;15640;15585;18137;18142;18139;18116;18163;18166;18156;18167;18090;18228;18227;18230;18212;18232,2.079188666666666,yen_loopless_exact_link_ids_vdf_fftt,7908ec0374beecd3
21,OD004_P01,4,2032->524,2032,524,1,17959;18013;18021;18018;15640;15585;18137;18142;18139;18116;18163;18166;18156;18167;18090;18228;18227;18230;18212;18232,2.2049486666666667,yen_loopless_exact_link_ids_vdf_fftt,01676dd529386032
22,OD004_P02,4,2032->524,2032,524,2,17959;18013;18020;15640;17180;17181;15604;18139;18116;18163;18166;18156;18167;18090;18228;18227;18230;18212;18232,2.4010166666666666,yen_loopless_exact_link_ids_vdf_fftt,00bf06250b43c8a2
