path_index,path_id,od_index,o_node_id,d_node_id,membership,raw_flow,link_id_sequence
0,OD000_P00,0,1642,2032,major,11.019328596810583,17207;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17958
1,OD000_P01,0,1642,2032,minor,1.6787294630229958e-11,17207;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17956;18015;18018;18019;18014;17958
2,OD000_P02,0,1642,2032,minor,1.8407807470631064e-11,17207;17204;17209;17056;17184;17185;17189;17160;15604;18141;18138;15584;17180;17179;15632;18014;17958
3,OD000_P03,0,1642,2032,minor,4.0797422792078624e-11,17207;17204;17209;17056;17184;17185;17189;17160;15604;18115;18152;17775;17812;18086;17819;18051;18049;18050;18033;17957;18023;18017;17958
4,OD000_P04,0,1642,2032,minor,1.633189495894736e-11,17207;17204;17209;17056;17184;17185;17189;17160;15604;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18006
5,OD001_P00,1,2032,2682,major,3.4843077964740536,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;14257;14354;14338;14692;12220;14117
6,OD001_P01,1,2032,2682,minor,1.5786915328992765e-10,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;16774;16769;16772;14268;15539;15516;14354;14338;14692;12220;14117
7,OD001_P02,1,2032,2682,minor,1.8112397379624789e-10,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;16774;16769;16770;16771;14268;15539;15516;14354;14338;14692;12220;14117
8,OD001_P03,1,2032,2682,minor,1.200426987534938e-10,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;14257;14354;14338;14692;12220;14116;14198;14193
9,OD001_P04,1,2032,2682,minor,1.19803526712609e-10,17959;15595;17038;16620;17060;17109;16622;16916;16921;16893;16820;16890;16881;16876;16625;14257;14354;15131;15132;15134;14362;14887;14832;14697;12220;14117
10,OD002_P00,2,2032,3858,major,11.502553599791401,17959;18013;18020;15640;15585;18137;18142;18139;18116;18163
11,OD002_P01,2,2032,3858,minor,9.985971457043102e-11,17959;18013;18021;18018;15640;15585;18137;18142;18139;18116;18163
12,OD002_P02,2,2032,3858,minor,9.970856241460842e-11,17959;18013;18020;15640;17180;17181;15604;18139;18116;18163
13,OD002_P03,2,2032,3858,minor,9.544797753559312e-11,17959;18013;18021;18018;15640;17180;17181;15604;18139;18116;18163
14,OD002_P04,2,2032,3858,minor,3.7038730509069864e-11,17959;18013;18021;18016;17771;18121;18153;17775;17812;17773;18191;18093;18149;18114;18116;18163
15,OD003_P00,3,2032,5012,major,3.3930247592469,17959;18013;18020;15640;15585;18137;18142;18139;18143;18118;18148;15605;17186;17190;17191;17057;17208;17205;17194;17211;14243;18664;18686;18680;18668;18669;18676;18286;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553
16,OD003_P01,3,2032,5012,minor,5.40315361176395e-10,17959;18013;18020;15640;17180;17181;15603;18148;15605;17186;17190;17191;17057;17208;17205;17194;17211;14243;18664;18686;18680;18668;18669;18676;18286;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553
17,OD003_P02,3,2032,5012,minor,5.997864932097759e-10,17959;18013;18020;15640;15585;18137;18142;18139;18143;18118;18148;15605;17186;17190;17191;17057;17208;17205;17194;17211;14243;18664;18686;18680;18668;18669;18676;18287;18427;18416;18430;18382;18413;18383;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553
18,OD003_P03,3,2032,5012,minor,5.765934628749069e-10,17959;18013;18020;15640;17180;17181;15603;18148;15605;17186;17190;17191;17057;17208;17205;17194;17211;14243;18664;18686;18680;18668;18669;18676;18287;18427;18416;18430;18382;18413;18383;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553
19,OD003_P04,3,2032,5012,minor,5.540562290857487e-10,17959;18013;18020;15640;15585;18137;18142;18139;18143;18118;18148;15605;17186;17190;17191;17057;17208;17205;17206;17195;17210;14243;18664;18686;18680;18668;18669;18676;18286;18294;18487;18488;18437;18503;18551;18550;18547;18548;18552;14267;15572;15564;15567;15569;15560;15550;15554;15557;15559;15553
20,OD004_P00,4,2032,524,major,10.571522137695052,17959;18013;18020;15640;15585;18137;18142;18139;18116;18163;18166;18156;18167;18090;18228;18227;18230;18212;18232
