link_index,link_id,from_node_id,to_node_id,v_solver,v_from_paths,raw_residual,tolerance,current_cost_minutes,effective_capacity,vdf_fftt,vdf_alpha,vdf_beta
0,4624,192,193,-9.297904065497384e-47,0.0,-9.297904065497384e-47,1.0099999999999999e-06,0.10623,2600.0,0.10623,0.25,2.0
1,4626,192,627,9.022761360355799e-48,0.0,9.022761360355799e-48,1.0099999999999999e-06,0.075522,2600.0,0.075522,0.25,2.0
2,4625,193,192,-9.297904065497384e-47,0.0,-9.297904065497384e-47,1.0099999999999999e-06,0.10623,2600.0,0.10623,0.25,2.0
3,4631,193,1769,1.1435733319754552e-48,0.0,1.1435733319754552e-48,1.0099999999999999e-06,0.012642,2600.0,0.012642,0.25,2.0
4,7132,194,195,-6.467481866595464e-48,0.0,-6.467481866595464e-48,1.0099999999999999e-06,0.101568,2600.0,0.101568,0.25,2.0
5,7098,194,5538,9.269756746427384e-48,0.0,9.269756746427384e-48,1.0099999999999999e-06,0.141972,2600.0,0.141972,0.25,2.0
6,7133,195,194,-6.467481866595464e-48,0.0,-6.467481866595464e-48,1.0099999999999999e-06,0.101568,2600.0,0.101568,0.25,2.0
7,7130,195,3303,-1.7262914173332163e-46,0.0,-1.7262914173332163e-46,1.0099999999999999e-06,0.081376,2600.0,0.081376,0.25,2.0
8,11370,233,220,-9.936597403266471e-49,0.0,-9.936597403266471e-49,1.0099999999999999e-06,0.424894,2600.0,0.424894,0.25,2.0
9,18687,247,248,1.4757888393153521e-46,0.0,1.4757888393153521e-46,1.0099999999999999e-06,0.173298,2600.0,0.173298,0.25,2.0
10,18683,248,4309,-1.3844067792507011e-47,0.0,-1.3844067792507011e-47,1.0099999999999999e-06,0.127826,2600.0,0.127826,0.25,2.0
11,18684,248,4311,3.880484395109871e-48,0.0,3.880484395109871e-48,1.0099999999999999e-06,0.063886,2600.0,0.063886,0.25,2.0
12,14994,249,250,-2.361545089866115e-47,0.0,-2.361545089866115e-47,1.0099999999999999e-06,0.075928,2600.0,0.075928,0.25,2.0
13,15008,249,251,-8.477890276470615e-48,0.0,-8.477890276470615e-48,1.0099999999999999e-06,0.102722,2600.0,0.102722,0.25,2.0
