parameter_id,alternative_or_nest,purpose,segment,value,unit,price_year,normalization,source_id,source_locator,evidence_status,applicable_spec_ids
beta_ivtt,DA|S2|S3|TW,HBW,sufficient_vehicle,-0.0201,utility/minute,,none,ctps_tdm23_2_0_report,printed p94 Table 44 Travel Impedance IVTT HBW,official_report_transferred,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
beta_ovtt,DA|S2|S3|TW,HBW,sufficient_vehicle,-0.0431,utility/minute,,none,ctps_tdm23_2_0_report,printed p94 Table 44 Travel Impedance OVTT HBW,official_report_transferred,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
beta_cost,DA|S2|S3|TW,HBW,sufficient_vehicle,-0.0613,utility/2010_USD,2010,none,ctps_tdm23_2_0_report,printed p94 Table 44 Travel Impedance Cost HBW and Value of Time 2010 dollars,official_report_transferred,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
asc_da,DA,HBW,sufficient_vehicle,0,utility,,DA reference,ctps_tdm23_2_0_report,printed p95 Table 45 Constants DA HBW blank; reference normalization inferred from table,inferred_reference_normalization_not_explicit_value,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
asc_s2,S2,HBW,sufficient_vehicle,-0.388,utility,,DA reference,ctps_tdm23_2_0_report,printed p95 Table 45 Constants S2 HBW,official_report_transferred,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
asc_s3,S3,HBW,sufficient_vehicle,-0.892,utility,,DA reference,ctps_tdm23_2_0_report,printed p95 Table 45 Constants S3 HBW,official_report_transferred,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
asc_tw,TW,HBW,sufficient_vehicle,-2.218,utility,,DA reference,ctps_tdm23_2_0_report,printed p95 Table 45 Constants TW HBW,official_report_transferred,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
sv_da,DA,HBW,sufficient_vehicle,0.617,utility,,indicator equals 1 in conditional scenario,ctps_tdm23_2_0_report,printed p94 Table 44 Vehicle Ownership Sufficient Vehicles DA HBW,official_report_conditional_segment,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
sv_s2,S2,HBW,sufficient_vehicle,-0.264,utility,,indicator equals 1 in conditional scenario,ctps_tdm23_2_0_report,printed p94 Table 44 Vehicle Ownership Sufficient Vehicles S2 HBW,official_report_conditional_segment,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
sv_s3,S3,HBW,sufficient_vehicle,-0.264,utility,,indicator equals 1 in conditional scenario,ctps_tdm23_2_0_report,printed p94 Table 44 Vehicle Ownership Sufficient Vehicles S3 HBW,official_report_conditional_segment,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
auto_operating_per_mile,DA|S2|S3,HBW,sufficient_vehicle,0.244,USD/mile,2010 provisional,not divided by occupancy,ctps_tdm23_2_0_report,printed p91 Table 41 Auto operating costs and Shared Ride Mode Cost Sensitivity,official_number_price_year_unverified,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
fare_conversion,TW,HBW,sufficient_vehicle,0.6509522956594423,2010_USD/2026_USD,2010 and 2026,218.056/334.980,bureau_labor_statistics_CPI,2010 annual CPI-U Table 1A and August 2026 CPI-U release all-items index; accepted config choice.fare_price_conversion,documented_research_conversion_not_CTPS_official,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
mu_auto_unit,Auto,HBW,sufficient_vehicle,1,dimensionless,,root GEV boundary,research_specification,choice_spec.json scale_vectors UNIT_BOUNDARY_PRIMARY,predeclared_sensitivity_not_official,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
mu_transit_unit,Transit,HBW,sufficient_vehicle,1,dimensionless,,single-child unidentifiable,research_specification,choice_spec.json scale_vectors UNIT_BOUNDARY_PRIMARY,predeclared_sensitivity_not_official,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
mu_auto_07,Auto,HBW,sufficient_vehicle,0.7,dimensionless,,root GEV convention,research_specification,choice_spec.json scale_vectors AUTO_0_7_SENSITIVITY,predeclared_sensitivity_not_official,REDUCED_TRANSFER_SENSITIVITY_HBW_AUTO_TW_SV_R1
official_mu_auto,Auto,HBW,all,,dimensionless,,unavailable,ctps_tdm23_2_0_report,printed p89 Figure 16 names mu_Auto but no numeric vector,missing_official_value,full_TDM23_transfer
