corridor_id,occurrence,member_order,link_id,from_node_id,to_node_id,direction,static_free_flow_time_min,time_aggregation,network_id,network_version
mcl_central_boston_ew_01,1,1,14697,4177,2193,AB,0.279161,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,2,2,12220,2193,2194,AB,1.943489,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,3,3,14116,2194,2681,AB,0.332799,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,4,4,14198,2681,4003,AB,0.70327,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,5,5,14206,4003,2585,AB,0.056816,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,6,6,14205,2585,4573,AB,0.115746,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,7,7,14199,4573,5007,AB,0.388322,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,8,8,14195,5007,3196,AB,0.091424,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,9,9,14120,3196,2197,AB,0.219523,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,10,10,14166,2197,2198,AB,0.274814,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,11,11,14150,2198,2760,AB,0.123474,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,12,12,14151,2760,3313,AB,0.270625,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,13,13,12228,3313,2173,AB,3.168339,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,14,14,14245,2173,2170,AB,1.508814,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,15,15,15599,2170,2172,AB,0.937269,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,16,16,17218,2172,2903,AB,0.300362,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,17,17,17536,2903,2904,AB,0.240677,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,18,18,17665,2904,2913,AB,0.03012,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,19,19,17548,2913,1751,AB,0.44158,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,20,20,17761,1751,2923,AB,0.02417,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,21,21,17760,2923,4258,AB,0.181962,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,22,22,17757,4258,2922,AB,0.146594,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
mcl_central_boston_ew_01,23,23,15607,2922,2921,AB,0.219278,ordered_sum_of_member_vdf_fftt,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1
