original_h3_zone_id,export_zone_id,parent_h3_zone_id,export_parent_zone_id,centroid_node_id,physical_access_node_id,source_physical_access_node_id,source_connector_id,access_distance_m,access_status
h3r9:892a3064437ffff,1,h3r7:872a30644ffffff,1001,1,14606,4606,mclc:892a3064437ffff:4606,108.318,reachable_access
h3r9:892a3064483ffff,2,h3r7:872a30644ffffff,1001,2,11963,1963,mclc:892a3064483ffff:1963,637.059,reachable_access
h3r9:892a3064487ffff,3,h3r7:872a30644ffffff,1001,3,12193,2193,mclc:892a3064487ffff:2193,380.572,reachable_access
h3r9:892a306448fffff,4,h3r7:872a30644ffffff,1001,4,11963,1963,mclc:892a306448fffff:1963,302.834,reachable_access
h3r9:892a3064493ffff,5,h3r7:872a30644ffffff,1001,5,12193,2193,mclc:892a3064493ffff:2193,887.479,reachable_access
h3r9:892a3064497ffff,6,h3r7:872a30644ffffff,1001,6,12193,2193,mclc:892a3064497ffff:2193,553.169,reachable_access
h3r9:892a306449bffff,7,h3r7:872a30644ffffff,1001,7,11963,1963,mclc:892a306449bffff:1963,799.295,reachable_access
h3r9:892a30644a3ffff,8,h3r7:872a30644ffffff,1001,8,12133,2133,mclc:892a30644a3ffff:2133,88.322,reachable_access
h3r9:892a30644a7ffff,9,h3r7:872a30644ffffff,1001,9,14410,4410,mclc:892a30644a7ffff:4410,34.374,reachable_access
h3r9:892a30644abffff,10,h3r7:872a30644ffffff,1001,10,12106,2106,mclc:892a30644abffff:2106,72.043,reachable_access
h3r9:892a30644afffff,11,h3r7:872a30644ffffff,1001,11,14600,4600,mclc:892a30644afffff:4600,116.222,reachable_access
h3r9:892a30644b3ffff,12,h3r7:872a30644ffffff,1001,12,12193,2193,mclc:892a30644b3ffff:2193,127.103,reachable_access
h3r9:892a30644b7ffff,13,h3r7:872a30644ffffff,1001,13,13900,3900,mclc:892a30644b7ffff:3900,114.39,reachable_access
h3r9:892a30644bbffff,14,h3r7:872a30644ffffff,1001,14,13218,3218,mclc:892a30644bbffff:3218,122.814,reachable_access
h3r9:892a3064553ffff,15,h3r7:872a30645ffffff,1002,15,14649,4649,mclc:892a3064553ffff:4649,116.002,reachable_access
h3r9:892a3064583ffff,16,h3r7:872a30645ffffff,1002,16,11026,1026,mclc:892a3064583ffff:1026,4.603,reachable_access
h3r9:892a306458bffff,17,h3r7:872a30645ffffff,1002,17,12196,2196,mclc:892a306458bffff:2196,82.486,reachable_access
h3r9:892a3064593ffff,18,h3r7:872a30645ffffff,1002,18,14995,4995,mclc:892a3064593ffff:4995,107.781,reachable_access
h3r9:892a3064597ffff,19,h3r7:872a30645ffffff,1002,19,13582,3582,mclc:892a3064597ffff:3582,115.93,reachable_access
h3r9:892a306459bffff,20,h3r7:872a30645ffffff,1002,20,11958,1958,mclc:892a306459bffff:1958,107.221,reachable_access
h3r9:892a30645c3ffff,21,h3r7:872a30645ffffff,1002,21,10967,967,mclc:892a30645c3ffff:967,77.36,reachable_access
h3r9:892a30645c7ffff,22,h3r7:872a30645ffffff,1002,22,14551,4551,mclc:892a30645c7ffff:4551,68.087,reachable_access
h3r9:892a30645cbffff,23,h3r7:872a30645ffffff,1002,23,10314,314,mclc:892a30645cbffff:314,142.613,reachable_access
h3r9:892a30645cfffff,24,h3r7:872a30645ffffff,1002,24,12474,2474,mclc:892a30645cfffff:2474,82.687,reachable_access
h3r9:892a30645d3ffff,25,h3r7:872a30645ffffff,1002,25,13904,3904,mclc:892a30645d3ffff:3904,64.975,reachable_access
h3r9:892a30645d7ffff,26,h3r7:872a30645ffffff,1002,26,13507,3507,mclc:892a30645d7ffff:3507,91.905,reachable_access
h3r9:892a30645dbffff,27,h3r7:872a30645ffffff,1002,27,14891,4891,mclc:892a30645dbffff:4891,81.323,reachable_access
h3r9:892a3066003ffff,28,h3r7:872a30660ffffff,1003,28,13199,3199,mclc:892a3066003ffff:3199,274.52,reachable_access
h3r9:892a3066007ffff,29,h3r7:872a30660ffffff,1003,29,12226,2226,mclc:892a3066007ffff:2226,127.425,reachable_access
h3r9:892a306600bffff,30,h3r7:872a30660ffffff,1003,30,14694,4694,mclc:892a306600bffff:4694,192.885,reachable_access
h3r9:892a306600fffff,31,h3r7:872a30660ffffff,1003,31,13027,3027,mclc:892a306600fffff:3027,25.705,reachable_access
h3r9:892a3066017ffff,32,h3r7:872a30660ffffff,1003,32,11635,1635,mclc:892a3066017ffff:1635,219.346,reachable_access
h3r9:892a3066023ffff,33,h3r7:872a30660ffffff,1003,33,14272,4272,mclc:892a3066023ffff:4272,53.742,reachable_access
h3r9:892a3066027ffff,34,h3r7:872a30660ffffff,1003,34,13382,3382,mclc:892a3066027ffff:3382,44.067,reachable_access
h3r9:892a306602bffff,35,h3r7:872a30660ffffff,1003,35,14285,4285,mclc:892a306602bffff:4285,24.97,reachable_access
h3r9:892a306602fffff,36,h3r7:872a30660ffffff,1003,36,10745,745,mclc:892a306602fffff:745,128.647,reachable_access
h3r9:892a3066033ffff,37,h3r7:872a30660ffffff,1003,37,12038,2038,mclc:892a3066033ffff:2038,66.853,reachable_access
h3r9:892a3066037ffff,38,h3r7:872a30660ffffff,1003,38,10948,948,mclc:892a3066037ffff:948,62.823,reachable_access
h3r9:892a306603bffff,39,h3r7:872a30660ffffff,1003,39,14318,4318,mclc:892a306603bffff:4318,86.225,reachable_access
h3r9:892a3066047ffff,40,h3r7:872a30660ffffff,1003,40,14694,4694,mclc:892a3066047ffff:4694,282.577,reachable_access
h3r9:892a306604fffff,41,h3r7:872a30660ffffff,1003,41,14694,4694,mclc:892a306604fffff:4694,622.242,reachable_access
h3r9:892a3066063ffff,42,h3r7:872a30660ffffff,1003,42,11298,1298,mclc:892a3066063ffff:1298,247.535,reachable_access
h3r9:892a3066067ffff,43,h3r7:872a30660ffffff,1003,43,11886,1886,mclc:892a3066067ffff:1886,12.817,reachable_access
