scenario,od_id,departure_time,purpose,mode,original_o_h3,original_d_h3,export_o_zone_id,export_d_zone_id,source_o_node_id,source_d_node_id,vehicle_trips,assignment_inclusion,road_leg_status,same_access_node,intrazonal
S1,panel_od_001,12:30:00,HBW,DA,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,3858,2032,4.193554086404443,True,included_private_auto_passenger_trip,False,False
S1,panel_od_001,12:30:00,HBW,S2,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,3858,2032,0.29715645473929897,True,included_private_auto_passenger_trip,False,False
S1,panel_od_001,12:30:00,HBW,S3,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,3858,2032,0.056958792368551545,True,included_private_auto_passenger_trip,False,False
S1,panel_od_001,12:30:00,HBW,WK,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,,,,False,not_private_road_vehicle_assignment_mode,True,False
S1,panel_od_001,12:30:00,HBW,BK,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,,,,False,not_private_road_vehicle_assignment_mode,True,False
S1,panel_od_001,12:30:00,HBW,TW,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,,,,False,not_private_road_vehicle_assignment_mode,True,False
S1,panel_od_001,12:30:00,HBW,TA,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,,,,False,unknown_auto_access_leg_not_implemented,True,False
S1,panel_od_001,12:30:00,HBW,SB,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,,,,False,not_private_road_vehicle_assignment_mode,True,False
S1,panel_od_001,12:30:00,HBW,RS,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,3858,2032,0.04717995815387934,True,included_occupied_passenger_trip_only_empty_repositioning_not_modeled_not_zero,False,False
S1,panel_od_001,12:40:00,HBW,DA,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,3858,2032,4.193554086404443,True,included_private_auto_passenger_trip,False,False
S1,panel_od_001,12:40:00,HBW,S2,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,3858,2032,0.29715645473929897,True,included_private_auto_passenger_trip,False,False
S1,panel_od_001,12:40:00,HBW,S3,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,3858,2032,0.056958792368551545,True,included_private_auto_passenger_trip,False,False
S1,panel_od_001,12:40:00,HBW,WK,h3r9:892a30660afffff,h3r9:892a30661cbffff,52,83,,,,False,not_private_road_vehicle_assignment_mode,True,False
