stop_id,stop_name,stop_lon,stop_lat,boundary_status,access_node_id,access_distance_m,access_method,route_id,route_short_name,route_long_name,route_type,feed_id,service_date,status
1,Washington St opp Ruggles St,-71.082754,42.330957,analysis_buffer_inside,5100,12.762514088784048,nearest_physical_node_model_walk_access_bus_stop,1,1,Harvard Square - Nubian Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
1,Washington St opp Ruggles St,-71.082754,42.330957,analysis_buffer_inside,5100,12.762514088784048,nearest_physical_node_model_walk_access_bus_stop,15,15,Fields Corner Station - Ruggles Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
1,Washington St opp Ruggles St,-71.082754,42.330957,analysis_buffer_inside,5100,12.762514088784048,nearest_physical_node_model_walk_access_bus_stop,171,171,Logan Airport Terminals - Nubian Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
1,Washington St opp Ruggles St,-71.082754,42.330957,analysis_buffer_inside,5100,12.762514088784048,nearest_physical_node_model_walk_access_bus_stop,19,19,Fields Corner Station - Kenmore or Ruggles Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
1,Washington St opp Ruggles St,-71.082754,42.330957,analysis_buffer_inside,5100,12.762514088784048,nearest_physical_node_model_walk_access_bus_stop,47,47,"Central Square, Cambridge - Broadway Station",3,mdb-437,2026-09-22,access_candidate_not_field_verified
1,Washington St opp Ruggles St,-71.082754,42.330957,analysis_buffer_inside,5100,12.762514088784048,nearest_physical_node_model_walk_access_bus_stop,8,8,Harbor Point - Kenmore Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10,Theo Glynn Way @ Newmarket Sq,-71.068787,42.330555,analysis_buffer_inside,2097,25.640570783838104,nearest_physical_node_model_walk_access_bus_stop,10,10,City Point - Arlington Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10,Theo Glynn Way @ Newmarket Sq,-71.068787,42.330555,analysis_buffer_inside,2097,25.640570783838104,nearest_physical_node_model_walk_access_bus_stop,171,171,Logan Airport Terminals - Nubian Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10,Theo Glynn Way @ Newmarket Sq,-71.068787,42.330555,analysis_buffer_inside,2097,25.640570783838104,nearest_physical_node_model_walk_access_bus_stop,8,8,Harbor Point - Kenmore Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10,Theo Glynn Way @ Newmarket Sq,-71.068787,42.330555,analysis_buffer_inside,2097,25.640570783838104,nearest_physical_node_model_walk_access_bus_stop,9,9,City Point - Copley Square,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10000,Tremont St opp Temple Pl,-71.062911,42.355692,core_inside,746,3.8868092420605773,nearest_physical_node_model_walk_access_bus_stop,15,15,Fields Corner Station - Ruggles Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10000,Tremont St opp Temple Pl,-71.062911,42.355692,core_inside,746,3.8868092420605773,nearest_physical_node_model_walk_access_bus_stop,39,39,Forest Hills Station - Back Bay Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10000,Tremont St opp Temple Pl,-71.062911,42.355692,core_inside,746,3.8868092420605773,nearest_physical_node_model_walk_access_bus_stop,43,43,Ruggles Station - Park Street Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10000,Tremont St opp Temple Pl,-71.062911,42.355692,core_inside,746,3.8868092420605773,nearest_physical_node_model_walk_access_bus_stop,57,57,Watertown Yard - Kenmore Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10003,Albany St opp Randall St,-71.076237,42.331591,analysis_buffer_inside,3696,13.644496872552484,nearest_physical_node_model_walk_access_bus_stop,1,1,Harvard Square - Nubian Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
10003,Albany St opp Randall St,-71.076237,42.331591,analysis_buffer_inside,3696,13.644496872552484,nearest_physical_node_model_walk_access_bus_stop,47,47,"Central Square, Cambridge - Broadway Station",3,mdb-437,2026-09-22,access_candidate_not_field_verified
10005,Albany St opp E Concord St,-71.07128,42.335017,core_inside,4257,13.988080145585348,nearest_physical_node_model_walk_access_bus_stop,10,10,City Point - Arlington Station,3,mdb-437,2026-09-22,access_candidate_not_field_verified
