zone_id,name,boundary,super_zone,mcl_original_h3_id,mcl_h3_resolution,mcl_clipped_geometry_wkt,mcl_boundary_status
1,h3r9:892a3064437ffff,"POLYGON ((-71.1046141519675 42.34394305183374, -71.1068415891343 42.34304473616955, -71.10688193926039 42.34125254822869, -71.10469502327568 42.340358683054205, -71.10246768073038 42.34125693232653, -71.10242715954901 42.343049113162266, -71.1046141519675 42.34394305183374))",1001,h3r9:892a3064437ffff,9,"POLYGON ((-71.1046141519675 42.34394305183374, -71.10242715954901 42.343049113162266, -71.10246768073038 42.34125693232653, -71.10469502327568 42.340358683054205, -71.105 42.34048333716749, -71.105 42.34378744101034, -71.1046141519675 42.34394305183374))",full_h3_cell; clipped_core_geometry_companion
2,h3r9:892a3064483ffff,"POLYGON ((-71.10210287692556 42.35738788476203, -71.10433100357363 42.35648950188198, -71.10437146275808 42.35469704148269, -71.1021839664486 42.35380297107642, -71.09995593448951 42.35470128755756, -71.09991530415162 42.356493740840975, -71.10210287692556 42.35738788476203))",1001,h3r9:892a3064483ffff,9,"POLYGON ((-71.09991530415162 42.356493740840975, -71.09995593448951 42.35470128755756, -71.1021839664486 42.35380297107642, -71.10437146275808 42.35469704148269, -71.10433100357363 42.35648950188198, -71.10210287692556 42.35738788476203, -71.09991530415162 42.356493740840975))",full_h3_cell; clipped_core_geometry_companion
3,h3r9:892a3064487ffff,"POLYGON ((-71.09995593448951 42.35470128755756, -71.1021839664486 42.35380297107642, -71.10222450649242 42.352010569424074, -71.10003718571015 42.351116491372125, -71.09780924843955 42.35201474146069, -71.09776853726346 42.35380713599085, -71.09995593448951 42.35470128755756))",1001,h3r9:892a3064487ffff,9,"POLYGON ((-71.09776853726346 42.35380713599085, -71.09780924843955 42.35201474146069, -71.10003718571015 42.351116491372125, -71.10222450649242 42.352010569424074, -71.1021839664486 42.35380297107642, -71.09995593448951 42.35470128755756, -71.09776853726346 42.35380713599085))",full_h3_cell; clipped_core_geometry_companion
4,h3r9:892a306448fffff,"POLYGON ((-71.10437146275808 42.35469704148269, -71.10659942264405 42.35379863672483, -71.10663979155302 42.352006227964395, -71.1044523717116 42.35111223106698, -71.10222450649242 42.352010569424074, -71.1021839664486 42.35380297107642, -71.10437146275808 42.35469704148269))",1001,h3r9:892a306448fffff,9,"POLYGON ((-71.10437146275808 42.35469704148269, -71.1021839664486 42.35380297107642, -71.10222450649242 42.352010569424074, -71.1044523717116 42.35111223106698, -71.105 42.35133604634994, -71.105 42.35444358950082, -71.10437146275808 42.35469704148269))",full_h3_cell; clipped_core_geometry_companion
5,h3r9:892a3064493ffff,"POLYGON ((-71.09983403401891 42.36007875777731, -71.1020623274456 42.35918039679057, -71.10210287692556 42.35738788476203, -71.09991530415162 42.356493740840975, -71.09768710543611 42.35739203543066, -71.09764638478408 42.35918454033553, -71.09983403401891 42.36007875777731))",1001,h3r9:892a3064493ffff,9,"POLYGON ((-71.09764638478408 42.35918454033553, -71.09768710543611 42.35739203543066, -71.09991530415162 42.356493740840975, -71.10210287692556 42.35738788476203, -71.1020623274456 42.35918039679057, -71.09983403401891 42.36007875777731, -71.09764638478408 42.35918454033553))",full_h3_cell; clipped_core_geometry_companion
6,h3r9:892a3064497ffff,"POLYGON ((-71.09768710543611 42.35739203543066, -71.09991530415162 42.356493740840975, -71.09995593448951 42.35470128755756, -71.09776853726346 42.35380713599085, -71.09554043325862 42.354705364189805, -71.0954996317699 42.356497810343264, -71.09768710543611 42.35739203543066))",1001,h3r9:892a3064497ffff,9,"POLYGON ((-71.0954996317699 42.356497810343264, -71.09554043325862 42.354705364189805, -71.09776853726346 42.35380713599085, -71.09995593448951 42.35470128755756, -71.09991530415162 42.356493740840975, -71.09768710543611 42.35739203543066, -71.0954996317699 42.356497810343264))",full_h3_cell; clipped_core_geometry_companion
7,h3r9:892a306449bffff,"POLYGON ((-71.1042500757876 42.36007453305157, -71.10647829712512 42.359176083766265, -71.10651867543048 42.35738356462815, -71.10433100357363 42.35648950188198, -71.10210287692556 42.35738788476203, -71.1020623274456 42.35918039679057, -71.1042500757876 42.36007453305157))",1001,h3r9:892a306449bffff,9,"POLYGON ((-71.1042500757876 42.36007453305157, -71.1020623274456 42.35918039679057, -71.10210287692556 42.35738788476203, -71.10433100357363 42.35648950188198, -71.105 42.35676290887411, -71.105 42.35977215336364, -71.1042500757876 42.36007453305157))",full_h3_cell; clipped_core_geometry_companion
8,h3r9:892a30644a3ffff,"POLYGON ((-71.10007780659362 42.34932414847487, -71.10230557714645 42.34842587651225, -71.10234610775741 42.346633585257514, -71.10015903890874 42.34573957308315, -71.09793136302176 42.34663777865762, -71.09789066131832 42.34843006279169, -71.10007780659362 42.34932414847487))",1001,h3r9:892a30644a3ffff,9,"POLYGON ((-71.09789066131832 42.34843006279169, -71.09793136302176 42.34663777865762, -71.10015903890874 42.34573957308315, -71.10234610775741 42.346633585257514, -71.10230557714645 42.34842587651225, -71.10007780659362 42.34932414847487, -71.09789066131832 42.34843006279169))",full_h3_cell; clipped_core_geometry_companion
9,h3r9:892a30644a7ffff,"POLYGON ((-71.09793136302176 42.34663777865762, -71.10015903890874 42.34573957308315, -71.10019965034111 42.34394734059344, -71.09801275695857 42.34305332080225, -71.09578517573696 42.34395145999492, -71.09574439323328 42.345743685357675, -71.09793136302176 42.34663777865762))",1001,h3r9:892a30644a7ffff,9,"POLYGON ((-71.09574439323328 42.345743685357675, -71.09578517573696 42.34395145999492, -71.09801275695857 42.34305332080225, -71.10019965034111 42.34394734059344, -71.10015903890874 42.34573957308315, -71.09793136302176 42.34663777865762, -71.09574439323328 42.345743685357675))",full_h3_cell; clipped_core_geometry_companion
10,h3r9:892a30644abffff,"POLYGON ((-71.10449282148141 42.349319881055344, -71.10672051997717 42.34842152083786, -71.10676087949307 42.34662922247652, -71.10457371160899 42.345735291436334, -71.10234610775741 42.346633585257514, -71.10230557714645 42.34842587651225, -71.10449282148141 42.349319881055344))",1001,h3r9:892a30644abffff,9,"POLYGON ((-71.10449282148141 42.349319881055344, -71.10230557714645 42.34842587651225, -71.10234610775741 42.346633585257514, -71.10457371160899 42.345735291436334, -71.105 42.345909522425906, -71.105 42.34911535202903, -71.10449282148141 42.349319881055344))",full_h3_cell; clipped_core_geometry_companion
