segment_id,path_order,path_occurrence,link_id,direction,point_projection_count,evidence_status
mbtav:4624d3319dcfdec1:s01,1,1,15893,AB,1,projected_points_on_occurrence
mbtav:4624d3319dcfdec1:s01,2,2,15882,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,3,3,16110,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,4,4,16113,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,5,5,16131,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,6,6,16129,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,7,7,128,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,8,8,139,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,9,9,16038,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,10,10,16045,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,11,11,16039,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,12,12,14260,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,13,13,15272,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,14,14,15304,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,15,15,15275,AB,1,projected_points_on_occurrence
mbtav:4624d3319dcfdec1:s01,16,16,15294,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,17,17,15298,AB,1,projected_points_on_occurrence
mbtav:4624d3319dcfdec1:s01,18,18,138,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,19,19,8567,AB,1,projected_points_on_occurrence
mbtav:4624d3319dcfdec1:s01,20,20,8656,AB,1,projected_points_on_occurrence
mbtav:4624d3319dcfdec1:s01,21,21,8658,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,22,22,8645,AB,0,inferred_traversal
mbtav:4624d3319dcfdec1:s01,23,23,8647,AB,1,projected_points_on_occurrence
mbtav:4624d3319dcfdec1:s01,24,24,8650,AB,2,projected_points_on_occurrence
mbtav:4624d3319dcfdec1:s01,25,25,8092,AB,3,projected_points_on_occurrence
mbtav:4624d3319dcfdec1:s01,26,26,8460,AB,1,projected_points_on_occurrence
