source_geoid,source_name,county_file,population_estimate,population_moe,households_estimate,households_moe,source_area_m2,core_overlap_area_m2,core_area_share,population_estimate_in_core_area_weighted,households_estimate_in_core_area_weighted,acs_release,allocation_method,source_id
15000US250250101031,"BG 1, Tract 101.03, Suffolk, MA",suffolk_025,957.0,240.0,232.0,83.0,101464.29033656724,85583.65483476808,0.8434854720895253,807.2155967896757,195.68862952476988,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250101032,"BG 2, Tract 101.03, Suffolk, MA",suffolk_025,1194.0,270.0,46.0,40.0,41699.10907937294,41699.109079372945,1.0000000000000002,1194.0000000000002,46.00000000000001,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250101033,"BG 3, Tract 101.03, Suffolk, MA",suffolk_025,1729.0,224.0,58.0,35.0,144911.7371905565,53501.55843817892,0.36920100107436615,638.3485308575791,21.413658062313235,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250101041,"BG 1, Tract 101.04, Suffolk, MA",suffolk_025,1175.0,274.0,611.0,166.0,98842.68124894798,98842.68124894793,0.9999999999999996,1174.9999999999995,610.9999999999998,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250101042,"BG 2, Tract 101.04, Suffolk, MA",suffolk_025,2576.0,250.0,455.0,145.0,84380.46635509565,84380.46635509563,0.9999999999999998,2575.9999999999995,454.9999999999999,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250101043,"BG 3, Tract 101.04, Suffolk, MA",suffolk_025,885.0,221.0,510.0,174.0,103380.38062061007,103380.38062061009,1.0000000000000002,885.0000000000002,510.0000000000001,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250102041,"BG 1, Tract 102.04, Suffolk, MA",suffolk_025,1084.0,122.0,86.0,55.0,39788.0945300562,29142.207060109788,0.7324353529444735,793.9599225918092,62.98944035322472,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250102042,"BG 2, Tract 102.04, Suffolk, MA",suffolk_025,1318.0,306.0,351.0,133.0,68315.54260050734,4111.641716967431,0.06018603615594933,79.32519565354121,21.125298690738216,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250102043,"BG 3, Tract 102.04, Suffolk, MA",suffolk_025,771.0,164.0,525.0,132.0,145915.37501411792,145805.08728735524,0.9992441665125967,770.417252381212,524.6031874191133,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250102051,"BG 1, Tract 102.05, Suffolk, MA",suffolk_025,824.0,354.0,514.0,199.0,45355.09941710036,45355.09941710034,0.9999999999999996,823.9999999999997,513.9999999999998,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250102052,"BG 2, Tract 102.05, Suffolk, MA",suffolk_025,913.0,409.0,674.0,372.0,40486.981609957635,40486.98160995763,0.9999999999999998,912.9999999999998,673.9999999999999,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250102053,"BG 3, Tract 102.05, Suffolk, MA",suffolk_025,1259.0,366.0,800.0,197.0,37556.97095600708,37556.97095600707,0.9999999999999998,1258.9999999999998,799.9999999999998,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250102054,"BG 4, Tract 102.05, Suffolk, MA",suffolk_025,861.0,284.0,573.0,195.0,59354.83012828444,59354.83012828443,0.9999999999999999,860.9999999999999,572.9999999999999,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250102061,"BG 1, Tract 102.06, Suffolk, MA",suffolk_025,1405.0,692.0,738.0,363.0,115987.6840714846,115987.68407148456,0.9999999999999997,1404.9999999999995,737.9999999999998,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250102062,"BG 2, Tract 102.06, Suffolk, MA",suffolk_025,716.0,178.0,489.0,105.0,67510.25442137163,67510.25442137163,1.0,716.0,489.0,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250103001,"BG 1, Tract 103, Suffolk, MA",suffolk_025,1456.0,371.0,130.0,55.0,146512.76194005753,146512.76194005756,1.0000000000000002,1456.0000000000002,130.00000000000003,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250103002,"BG 2, Tract 103, Suffolk, MA",suffolk_025,3861.0,348.0,153.0,44.0,360467.8114972991,231681.48580384697,0.6427244775102003,2481.5592076668836,98.33684505906065,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104031,"BG 1, Tract 104.03, Suffolk, MA",suffolk_025,864.0,301.0,606.0,164.0,36938.331365543476,36938.331365543476,1.0,864.0,606.0,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104032,"BG 2, Tract 104.03, Suffolk, MA",suffolk_025,931.0,458.0,535.0,180.0,25361.93171467547,25361.931714675466,0.9999999999999999,930.9999999999999,534.9999999999999,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104033,"BG 3, Tract 104.03, Suffolk, MA",suffolk_025,701.0,193.0,469.0,125.0,26266.699016549483,26266.69901654948,0.9999999999999999,700.9999999999999,468.99999999999994,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104041,"BG 1, Tract 104.04, Suffolk, MA",suffolk_025,1534.0,264.0,146.0,72.0,34895.08108602546,34895.08108602546,1.0,1534.0,146.0,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104042,"BG 2, Tract 104.04, Suffolk, MA",suffolk_025,1489.0,258.0,305.0,78.0,38390.99199099198,38390.99199099197,0.9999999999999998,1488.9999999999998,304.99999999999994,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104043,"BG 3, Tract 104.04, Suffolk, MA",suffolk_025,1094.0,299.0,511.0,161.0,26578.259330000474,26578.25933000047,0.9999999999999999,1093.9999999999998,510.99999999999994,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104044,"BG 4, Tract 104.04, Suffolk, MA",suffolk_025,559.0,168.0,295.0,101.0,37069.09588461802,37069.09588461803,1.0000000000000002,559.0000000000001,295.00000000000006,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104051,"BG 1, Tract 104.05, Suffolk, MA",suffolk_025,3545.0,230.0,43.0,56.0,240492.26159265472,240492.26159265472,1.0,3545.0,43.0,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104052,"BG 2, Tract 104.05, Suffolk, MA",suffolk_025,2351.0,528.0,507.0,134.0,84572.84087830306,84572.84087830308,1.0000000000000002,2351.0000000000005,507.0000000000001,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104053,"BG 3, Tract 104.05, Suffolk, MA",suffolk_025,1028.0,349.0,366.0,118.0,39975.934227388556,39975.93422738854,0.9999999999999997,1027.9999999999995,365.9999999999999,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250104081,"BG 1, Tract 104.08, Suffolk, MA",suffolk_025,1330.0,198.0,879.0,90.0,43389.3274517908,43389.32745179081,1.0000000000000002,1330.0000000000002,879.0000000000002,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250105001,"BG 1, Tract 105, Suffolk, MA",suffolk_025,1526.0,193.0,483.0,140.0,125592.9541571696,125592.9541571696,1.0,1526.0,483.0,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250105002,"BG 2, Tract 105, Suffolk, MA",suffolk_025,1135.0,406.0,804.0,380.0,39067.67817124342,39067.67817124342,1.0,1135.0,804.0,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250105003,"BG 3, Tract 105, Suffolk, MA",suffolk_025,781.0,199.0,472.0,116.0,35298.33955502328,35298.33955502329,1.0000000000000002,781.0000000000002,472.0000000000001,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
15000US250250106001,"BG 1, Tract 106, Suffolk, MA",suffolk_025,1494.0,385.0,900.0,220.0,89294.43961520921,89294.43961520922,1.0000000000000002,1494.0000000000002,900.0000000000002,ACS 2024 5-year (2020-2024),uniform_within_block_group_area_intersection,acs2024_5yr_bg_census_reporter_mirror
