zone_id,centroid_lon,centroid_lat,clipped_area_km2,population_estimate_area_weighted,households_estimate_area_weighted,contributing_block_groups,overlap_area_m2,geography_status,source_id,measurement_status
h3r9:892a3064437ffff,-71.10465458918958,42.342150849038894,0.0651915225947943,539.726237533791,21.597050106535768,2,65315.83153280452,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3064483ffff,-71.10214342325979,42.35559540952319,0.1086411915819251,547.2930655533505,31.736296637808415,2,108472.60973147105,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3064487ffff,-71.09999656167555,42.35290887106715,0.1086354375764283,274.31037692351543,7.820958277181404,3,107493.35497753914,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a306448fffff,-71.10441191880393,42.3529046178769,0.0723212943960819,239.93560581820407,6.967210180720325,3,72554.57475910145,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3064493ffff,-71.09987467066155,42.35828623091501,0.1086455895868886,751.5736760320617,186.42979129384813,4,108585.63751702587,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3064497ffff,-71.09772782292913,42.35559956731497,0.1086398358987912,389.2417899164574,6.069212082104767,2,108639.8358987922,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a306449bffff,-71.10429054125026,42.3582819990724,0.075723181648274,801.711843408453,195.10820845418613,3,75789.1601200555,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30644a3ffff,-71.10011842432637,42.34753184237776,0.108625283964093,894.7274009021835,408.8176406113462,7,108561.54349849188,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30644a7ffff,-71.09797206156837,42.34484553132703,0.1086195288258496,1544.0459036109967,936.573538001197,6,108658.99713670704,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30644abffff,-71.10453326811377,42.34752756784433,0.0688107310818647,1039.2580830748316,185.73854222044332,4,68855.27655569636,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30644afffff,-71.1023866352248,42.34484133080672,0.1086208842061088,1121.9152129188212,709.9136460904353,5,108761.43799087506,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30644b3ffff,-71.09784995645772,42.35022238372684,0.1086296831634061,1986.8516215478555,217.33820803768708,5,107160.28973935865,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30644b7ffff,-71.09570360756634,42.3475359475248,0.1086239283422359,1133.377494440708,632.314321003092,4,108623.92834224246,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30644bbffff,-71.10226504339157,42.35021820456856,0.1086310386942796,1035.8351161737073,90.92410444866738,4,107972.06828063671,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3064553ffff,-71.10477588204127,42.336774461524726,0.0614567273381852,288.2076530171287,50.15376165854359,2,61456.727338188284,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3064583ffff,-71.08712077446798,42.336790714550645,0.1086008671583984,1557.6744360477137,218.4675153886659,3,108564.91807080238,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a306458bffff,-71.09153451073917,42.33678690524089,0.1086016717929158,1590.496808478936,89.12687228658464,3,108601.67179295579,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3064593ffff,-71.08485211923596,42.339480659896665,0.1086053052145315,1794.068675933701,372.7400265011331,4,108782.28901111969,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3064597ffff,-71.08270706536511,42.33679435456774,0.1085995486768681,1581.2962955335213,603.4978873744001,4,108508.7887002299,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a306459bffff,-71.08926609845224,42.339476945974006,0.1086066614377732,2274.1659490117877,124.67393476300118,4,108594.70971802046,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30645c3ffff,-71.09809413827105,42.33946901017971,0.1086093728893512,513.5344136247026,84.04706921087102,5,108348.04747887504,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30645c7ffff,-71.09594827412651,42.33678292663542,0.1086017504793187,1454.4522523543321,193.07281071377201,4,108547.37038098695,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30645cbffff,-71.10250819876933,42.33946478830187,0.1086107281177432,1142.4703311801593,45.29814895184655,2,108476.17425902394,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30645cfffff,-71.10036206457794,42.33677877873105,0.1086010119274311,1201.783527297155,253.44344917034266,6,108647.16953042755,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30645d3ffff,-71.09582595507776,42.34215927143895,0.1086137732806741,1368.5476628238353,891.9185055811107,3,108865.32621517495,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30645d7ffff,-71.09368010481464,42.33947306273606,0.1086080173290652,1449.0055845033403,167.06390254024393,5,108592.30125636692,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a30645dbffff,-71.10024025862387,42.342155144911,0.108615128750579,1972.997562064866,1317.2013075977295,6,108910.15122076838,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3066003ffff,-71.06429659905191,42.36906935317497,0.0919059065385195,361.46152836286456,177.08011929774958,3,91906.65112851564,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a3066007ffff,-71.06215143000784,42.36638174525275,0.1086492767204652,564.7020740143354,292.1501267421418,3,108612.73422666962,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a306600bffff,-71.06871327899006,42.3690665203953,0.0920168020258406,429.01138498661896,199.37183794298096,2,92016.69530536805,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
h3r9:892a306600fffff,-71.06656783938307,42.36637898638024,0.1086506353621235,1709.9147196948431,937.0483192177348,4,108173.50958404502,covered,acs2024_5yr_bg_census_reporter_mirror,ACS_ESTIMATE_AREA_WEIGHTED_TO_H3_NOT_POINT_OBSERVATION
