tier,method,status,tier_status,tier_reason,selected_source_zone_od,selected_person_trips,source_person_mass_fraction,source_distinct_origins,source_distinct_destinations,source_distinct_endpoint_union,source_parent_pairs,mapped_node_od_before_choice,mapped_physical_origins,mapped_physical_destinations,mapped_physical_endpoint_union,skim_status,skim_rows,skim_origin_chunks_complete,skim_seconds,skim_wall_seconds_across_attempts,choice_wall_seconds,prepare_seconds,evaluated_person_trips,unknown_person_trips,declared_search_unavailable_person_trips,non_evaluated_person_trips,loaded_vehicle_trips_pce_per_period,final_node_od,final_distinct_endpoints,final_physical_origins,final_physical_destinations,physical_links,instance_signature,path_count,path_generation_seconds,minor_paths,rank,objective_pce_minutes,max_od_residual_pce,full_network_relative_gap_signed,positive_physical_links_strict,positive_link_fraction_strict,positive_physical_links_above_1e_minus_6,method_wall_seconds,solver_seconds,verification_seconds,plot_seconds,sampled_peak_tree_working_set_bytes,measured_memory_ceiling_bytes,estimated_method_workspace_bytes,method_attempted,method_reason
500,fw,SOLVED_WITHIN_DECLARED_TOLERANCE,SOLVED_WITHIN_DECLARED_TOLERANCE,,500,2643.766734908671,0.11591798968214191,176,176,176,80,493,139,139,139,COMPLETE,3000,176,1924.0460922000057,1924.0460922000057,,0.5539116000000001,2413.6034969531293,230.16323795553848,0,230.16323795554035,1936.238474910001,453,131,130,131,5091,bb1ac850c6ce0f530c2127f4b3a9dabb12e68319517929fce1e2be0a0eb98829,453,,,,7922.083942188114,0.0,-4.590249237557149e-16,1653,0.3246906305244549,1650,35.153274999999994,31.0598126,0.5696036,1.6944159,38936576,,,True,
500,full-path,RESOURCE_LIMIT,SOLVED_WITHIN_DECLARED_TOLERANCE,,500,2643.766734908671,0.11591798968214191,176,176,176,80,493,139,139,139,COMPLETE,3000,176,1924.0460922000057,1924.0460922000057,,0.5539116000000001,2413.6034969531293,230.16323795553848,0,230.16323795554035,1936.238474910001,453,131,130,131,5091,bb1ac850c6ce0f530c2127f4b3a9dabb12e68319517929fce1e2be0a0eb98829,2261,34.148330800000004,1808,,,,,,,,5.0332527,,,,6533120,307646464,707637600,True,SLSQP workspace estimate 707637600 exceeds measured method ceiling 307646464
500,diagnostic-l3-rank25,RESOURCE_LIMIT,SOLVED_WITHIN_DECLARED_TOLERANCE,,500,2643.766734908671,0.11591798968214191,176,176,176,80,493,139,139,139,COMPLETE,3000,176,1924.0460922000057,1924.0460922000057,,0.5539116000000001,2413.6034969531293,230.16323795553848,0,230.16323795554035,1936.238474910001,453,131,130,131,5091,bb1ac850c6ce0f530c2127f4b3a9dabb12e68319517929fce1e2be0a0eb98829,2261,34.148330800000004,1808,,,,,,,,5.0234609,,,,8163328,427237376,909785600,True,basis workspace estimate 909785600 exceeds measured method ceiling 427237376
500,diagnostic-l3-rank50,RESOURCE_LIMIT,SOLVED_WITHIN_DECLARED_TOLERANCE,,500,2643.766734908671,0.11591798968214191,176,176,176,80,493,139,139,139,COMPLETE,3000,176,1924.0460922000057,1924.0460922000057,,0.5539116000000001,2413.6034969531293,230.16323795553848,0,230.16323795554035,1936.238474910001,453,131,130,131,5091,bb1ac850c6ce0f530c2127f4b3a9dabb12e68319517929fce1e2be0a0eb98829,2261,34.148330800000004,1808,,,,,,,,5.0278261,,,,5455872,214028288,909785600,True,basis workspace estimate 909785600 exceeds measured method ceiling 214028288
2000,fw,SOLVED_WITHIN_DECLARED_TOLERANCE,SOLVED_WITHIN_DECLARED_TOLERANCE,,2000,8415.29504812384,0.3689750959039499,176,176,176,80,1944,139,139,139,COMPLETE,12000,176,279.5221797999984,5510.569136399994,5.018074199999999,0.5771938,7248.673743682229,1166.6213044416427,0,1166.6213044416427,5815.568823761062,1684,132,131,132,5091,90ce7b0491ca3c3e939a212af7eeab8cda278279eab17f32869cf6b7a0e31f9b,1684,,,,24238.470871948146,0.0,5.596877272276302e-06,1784,0.35042231388725203,1781,40.1820727,37.885054000000004,0.7370285,1.6817245,41070592,,,True,
2000,full-path,RESOURCE_LIMIT,SOLVED_WITHIN_DECLARED_TOLERANCE,,2000,8415.29504812384,0.3689750959039499,176,176,176,80,1944,139,139,139,COMPLETE,12000,176,279.5221797999984,5510.569136399994,5.018074199999999,0.5771938,7248.673743682229,1166.6213044416427,0,1166.6213044416427,5815.568823761062,1684,132,131,132,5091,90ce7b0491ca3c3e939a212af7eeab8cda278279eab17f32869cf6b7a0e31f9b,8412,130.17566499999998,6728,,,,,,,,,,,,,286369792,9787143264,False,prospective SLSQP workspace exceeds measured half-free RAM
2000,diagnostic-l3-rank25,RESOURCE_LIMIT,SOLVED_WITHIN_DECLARED_TOLERANCE,,2000,8415.29504812384,0.3689750959039499,176,176,176,80,1944,139,139,139,COMPLETE,12000,176,279.5221797999984,5510.569136399994,5.018074199999999,0.5771938,7248.673743682229,1166.6213044416427,0,1166.6213044416427,5815.568823761062,1684,132,131,132,5091,90ce7b0491ca3c3e939a212af7eeab8cda278279eab17f32869cf6b7a0e31f9b,8412,130.17566499999998,6728,,,,,,,,,,,,,286369792,3650343680,False,prospective weighted basis workspace exceeds measured half-free RAM
2000,diagnostic-l3-rank50,RESOURCE_LIMIT,SOLVED_WITHIN_DECLARED_TOLERANCE,,2000,8415.29504812384,0.3689750959039499,176,176,176,80,1944,139,139,139,COMPLETE,12000,176,279.5221797999984,5510.569136399994,5.018074199999999,0.5771938,7248.673743682229,1166.6213044416427,0,1166.6213044416427,5815.568823761062,1684,132,131,132,5091,90ce7b0491ca3c3e939a212af7eeab8cda278279eab17f32869cf6b7a0e31f9b,8412,130.17566499999998,6728,,,,,,,,,,,,,286369792,3650343680,False,prospective weighted basis workspace exceeds measured half-free RAM
all,fw,SOLVED_WITHIN_DECLARED_TOLERANCE,SOLVED_WITHIN_DECLARED_TOLERANCE,,30790,22633.46972887332,0.9923819207874411,176,176,176,80,19182,139,139,139,COMPLETE,184740,176,776.9367540999956,776.9367540999956,35.1650771,0.6858707,20231.44850311893,2402.021225754743,0,2402.021225754743,16259.122416746477,17522,133,133,133,5091,107a33f23feb33a34d4300a01391ec22db91a9964882d47f93c23cb9243effc6,17522,,,,73552.27755601742,0.0,6.8120374777478e-06,2147,0.42172461206049894,2147,40.1712474,35.5697013,1.1507854,1.8572829,67772416,,,True,
all,full-path,RESOURCE_LIMIT,SOLVED_WITHIN_DECLARED_TOLERANCE,,30790,22633.46972887332,0.9923819207874411,176,176,176,80,19182,139,139,139,COMPLETE,184740,176,776.9367540999956,776.9367540999956,35.1650771,0.6858707,20231.44850311893,2402.021225754743,0,2402.021225754743,16259.122416746477,17522,133,133,133,5091,107a33f23feb33a34d4300a01391ec22db91a9964882d47f93c23cb9243effc6,,,,,,,,,,,,,,,,1344948224,5379431308,False,K=5 path-pool preparation estimate exceeds measured half-free RAM; method input was not constructed
