table,field,unit_or_type,source_or_derivation,meaning
connector_link.csv,link_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,from_node_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,to_node_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,directed,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,dir_flag,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,length,m,pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,free_speed,unknown for road; blank,pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,free_flow_time,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,capacity,unknown for road; blank,pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,lanes,unknown for road; blank,pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,link_type,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,vdf_alpha,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,vdf_beta,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,vdf_plf,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,geometry,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,mcl_link_class,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,source_link_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,source_from_node_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,source_to_node_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,mcl_gps_match_allowed,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,source_kml_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,source_travel_direction,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,street_name,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,street_code,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,geometry_sampling,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,length_unit,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,capacity_unit,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
connector_link.csv,free_speed_unit,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
