source_id,provider,official_landing_page,exact_data_resource_url,retrieval_timestamp_utc,version_or_last_update,coverage,format,relevant_fields,license_terms_redistribution,local_raw_file_path,sha256,publication_decision,notes,actual_usage_status
TD_ROAD_CENTERLINE,Transport Department,https://data.gov.hk/en-data/dataset/hk-td-tis_15-road-network-v2,https://static.data.gov.hk/td/road-network-v2/CENTERLINE.kmz,2026-09-26T02:29:09.755191+00:00,monthly; exact snapshot pending,Hong Kong roads,KMZ,"geometry, source road IDs, direction attributes",DATA.GOV.HK terms allow distribution with Government/DATA.GOV.HK/Transport Department attribution,,936df4f37875a530d7862862ec5646e6ab2a5b7ef498d081084f9e4750c0ac1b,public derived candidate with attribution,Registered before retrieval; usage status pending,PROCESSED
TD_ROAD_TURN,Transport Department,https://data.gov.hk/en-data/dataset/hk-td-tis_15-road-network-v2,https://static.data.gov.hk/td/road-network-v2/TURN.kmz,2026-09-26T02:30:05.641954+00:00,monthly; exact snapshot pending,Hong Kong junctions,KMZ,turn restriction IDs/attributes,DATA.GOV.HK terms allow distribution with Government/DATA.GOV.HK/Transport Department attribution,,7b9dcad123bee03acb3a857c5f0a04dfc8dec6066d7974351597ea62cbd7eadb,public derived candidate with attribution,Registered before retrieval; usage status pending,PROCESSED
CENSUS_SSG,Census and Statistics Department,https://data.gov.hk/en-data/dataset/hk-censtatd-census_geo-2021-population-census-by-ssg,https://www.census2021.gov.hk/doc/SSUG_21C.zip,2026-09-26T02:30:09.156743+00:00,2021; resource updated 2023-03-15,"2,342 Hong Kong SSG",ZIP/CSV,"population, household, official SSG code",provider terms to verify separately,,b2a2889c0d1e137b28e31138decfa7e4c8edc2018a516bf910e380632176447b,link-only; source ZIP inspected but not used for model values,CSV statistics plus separate official CSDI geometry; see CENSUS_SSG_GEOMETRY entry,INSPECTED_ONLY
CENSUS_STPUG,Census and Statistics Department,https://data.gov.hk/en-data/dataset/hk-censtatd-census_geo-2021-population-census-by-stpu,https://www.census2021.gov.hk/doc/STPUG_21C.zip,2026-09-26T02:30:12.120954+00:00,2021,211 Hong Kong STPUG,ZIP/CSV,"population, household, official STPUG code",provider terms to verify separately,,cafe526626538036d01ef5b8cf6a1d3049e2d9aac0cb996ce6eea4f505060752,link-only; source ZIP inspected but not used for model values,Registered before retrieval; usage status pending,INSPECTED_ONLY
TD_GTFS,Transport Department,https://data.gov.hk/en-data/dataset/hk-td-tis_11-pt-headway-en,https://static.data.gov.hk/td/pt-headway-en/gtfs.zip,2026-09-26T02:30:15.112040+00:00,biweekly; exact snapshot pending,Hong Kong scheduled public transport,ZIP/GTFS,"stops, routes, trips, frequencies, fares",DATA.GOV.HK terms allow distribution with Government/DATA.GOV.HK/Transport Department attribution,,9dd277eae41df5ae5ab8ac998e38d09e8792b7506599028871ffed203f5e804b,public derived candidate with attribution,Registered before retrieval; usage status pending,PROCESSED
TD_DETECTOR_INFO,Transport Department,https://data.gov.hk/en-data/dataset/hk-td-sm_4-traffic-data-strategic-major-roads,https://static.data.gov.hk/td/traffic-data-strategic-major-roads/info/traffic_speed_volume_occ_info.csv,2026-09-26T02:30:22.703207+00:00,current resource,strategic/major roads,CSV,"detector location, direction, ID",DATA.GOV.HK terms allow distribution with Government/DATA.GOV.HK/Transport Department attribution,,f30818ec94984c024f0188e2e45139ac684c4636aae7906561e227f01407423d,public derived candidate with attribution,Registered before retrieval; usage status pending,PROCESSED
TD_DETECTOR_RAW,Transport Department,https://data.gov.hk/en-data/dataset/hk-td-sm_4-traffic-data-strategic-major-roads,https://resource.data.one.gov.hk/td/traffic-detectors/rawSpeedVol-all.xml,2026-09-26T02:30:22.704371+00:00,one-minute live snapshot,strategic/major roads,XML,"timestamp, speed, volume, occupancy, detector ID",DATA.GOV.HK terms allow distribution with Government/DATA.GOV.HK/Transport Department attribution,,96b0851f0f279535ab9e743272eaecbd7ba2a8c8ea670f7f808c6c34f95957f0,public derived candidate with attribution,Registered before retrieval; usage status pending,PROCESSED
TD_SPEED_SEGMENTS,Transport Department,https://data.gov.hk/en-data/dataset/hk-td-sm_4-traffic-data-strategic-major-roads,https://static.data.gov.hk/td/traffic-data-strategic-major-roads/info/speed_segments_info.csv,2026-09-26T02:30:26.105574+00:00,current resource,strategic/major roads,CSV,processed segment locations/IDs,DATA.GOV.HK terms allow distribution with Government/DATA.GOV.HK/Transport Department attribution,,28e0c841c9e06083022647da597095ee0158ead317dcdb2d0d59f98fa7c19f16,public candidate subject to field review,Registered before retrieval; usage status pending,INSPECTED_ONLY
LANDSD_PEDESTRIAN,Lands Department,https://portal.csdi.gov.hk/csdi-webpage/dataset/landsd_rcd_1637222018065_52265,https://portal.csdi.gov.hk/server/rest/services/common/landsd_rcd_1637222018065_52265/FeatureServer/0/query,2026-09-26T02:36:43.163046+00:00,current portal version pending,Hong Kong built-up areas,CSDI vector/API,3D pedestrian links and opening hours,CSDI Portal terms allow distribution with Government/CSDI/provider attribution; see RIGHTS_AND_REDISTRIBUTION_REPORT.md,,,public derived candidate with attribution,"10,622 pilot-intersecting features retrieved across 4 paginated CSDI JSON files; only stop proximity computed, no walk paths",PROCESSED_PROXIMITY_ONLY
TD_TCS_2022,Transport Department,https://www.td.gov.hk/en/publications_and_press_releases/publications/free_publications/tcsfr/index.html,,,final report 2025,Hong Kong aggregate travel characteristics,PDF,published aggregate tables,DATA.GOV.HK terms allow distribution with Government/DATA.GOV.HK/Transport Department attribution,,,link-only,Registered before retrieval; usage status pending,LINKED_NOT_USED
