link_id,from_node_id,to_node_id,directed,dir_flag,length,free_speed,free_flow_time,capacity,lanes,link_type,vdf_alpha,vdf_beta,vdf_plf,geometry,mcl_link_class,source_link_id,source_from_node_id,source_to_node_id,mcl_gps_match_allowed,source_kml_id,source_travel_direction,street_name,street_code,geometry_sampling,length_unit,capacity_unit,free_speed_unit
10000002,1,10244,1,1,,,,,,0,,,,"LINESTRING(114.169403480 22.304830293,114.169114353 22.304851332)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000003,10244,1,1,1,,,,,,0,,,,"LINESTRING(114.169114353 22.304851332,114.169403480 22.304830293)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000004,2,10304,1,1,,,,,,0,,,,"LINESTRING(114.169857133 22.304798540,114.170181706 22.305220114)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000005,10304,2,1,1,,,,,,0,,,,"LINESTRING(114.170181706 22.305220114,114.169857133 22.304798540)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000006,3,10329,1,1,,,,,,0,,,,"LINESTRING(114.170367198 22.304758335,114.170580662 22.305171242)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000007,10329,3,1,1,,,,,,0,,,,"LINESTRING(114.170580662 22.305171242,114.170367198 22.304758335)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000008,4,10358,1,1,,,,,,0,,,,"LINESTRING(114.171134863 22.304807172,114.171083626 22.305194039)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000009,10358,4,1,1,,,,,,0,,,,"LINESTRING(114.171083626 22.305194039,114.171134863 22.304807172)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000010,5,10185,1,1,,,,,,0,,,,"LINESTRING(114.168412336 22.303588464,114.167962231 22.303688799)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000011,10185,5,1,1,,,,,,0,,,,"LINESTRING(114.167962231 22.303688799,114.168412336 22.303588464)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000012,6,10223,1,1,,,,,,0,,,,"LINESTRING(114.168903851 22.303968063,114.168633385 22.304192372)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000013,10223,6,1,1,,,,,,0,,,,"LINESTRING(114.168633385 22.304192372,114.168903851 22.303968063)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000014,7,10281,1,1,,,,,,0,,,,"LINESTRING(114.169453985 22.303685471,114.169733266 22.303161453)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000015,10281,7,1,1,,,,,,0,,,,"LINESTRING(114.169733266 22.303161453,114.169453985 22.303685471)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000016,8,10281,1,1,,,,,,0,,,,"LINESTRING(114.169940820 22.303716072,114.169733266 22.303161453)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000017,10281,8,1,1,,,,,,0,,,,"LINESTRING(114.169733266 22.303161453,114.169940820 22.303716072)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000018,9,10299,1,1,,,,,,0,,,,"LINESTRING(114.170414816 22.303752125,114.170117325 22.304281305)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000019,10299,9,1,1,,,,,,0,,,,"LINESTRING(114.170117325 22.304281305,114.170414816 22.303752125)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000020,10,10361,1,1,,,,,,0,,,,"LINESTRING(114.171206045 22.303801714,114.171131084 22.304349716)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000021,10361,10,1,1,,,,,,0,,,,"LINESTRING(114.171131084 22.304349716,114.171206045 22.303801714)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
