tier,o_zone_id,d_zone_id,volume,vehicle_fraction_assumption,persons_per_vehicle_assumption,status
smoke,1,80,0.04114512157356386,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,1,94,0.03192613207371036,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,1,91,0.030806251832965512,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,1,11,0.024851328040805944,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,1,17,0.02167116647895434,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,2,80,0.028953337382345012,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,2,91,0.022584297613883586,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,2,94,0.021933069778358474,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,2,11,0.017698998260338234,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,2,17,0.016030296965074704,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,3,80,0.06423712269614604,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,3,91,0.05259035167609649,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,3,94,0.047493151811788294,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,3,11,0.039800964613804744,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,3,17,0.037745075868831135,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,4,80,0.050792358275493325,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,4,91,0.04476774878580187,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,4,94,0.03592620710125027,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,4,17,0.032530523372985475,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,4,11,0.031449829131135726,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,5,80,0.07031850896369417,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,5,94,0.06786115683367965,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,5,11,0.05257033265793076,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,5,91,0.05110609509171799,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,5,17,0.03734390645297745,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,6,80,0.08413780511411971,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,6,94,0.07498573941406116,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,6,91,0.06249323151120593,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,6,11,0.059160343498451166,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,6,17,0.04535621379549536,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,7,80,0.03703151403403791,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,7,94,0.032618244835557864,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,7,91,0.028978574178768285,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,7,11,0.027636885534747368,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,7,17,0.02146811475022192,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,8,80,0.041513850407650627,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,8,94,0.03524199727572414,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,8,91,0.033761855715587714,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,8,11,0.03094330690412554,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,8,17,0.02520565636357865,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,9,80,0.053330670134207524,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,9,91,0.045110103182845245,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,9,94,0.043762576542219295,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,9,11,0.03958873460915143,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,9,17,0.03394124886490988,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,10,80,0.04457165645365036,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,10,91,0.04042536203055787,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,10,94,0.0347839823356475,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,10,11,0.03282159298280637,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,10,17,0.030864072864004593,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,11,94,0.15527781817503464,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,11,80,0.1418277173055195,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,11,91,0.1215369749690526,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,11,30,0.11365754559535272,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,11,34,0.10262565513351023,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,12,11,0.058313360269963956,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,12,94,0.04256403751434612,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,12,34,0.04220954046527794,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,12,80,0.03773387083253967,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,12,30,0.03475370605972938,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,13,11,0.05453881514105361,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,13,34,0.04064530466022687,0.2,1.5,hypothetical vehicle scenario; not observed mode share
smoke,13,94,0.038948202635122046,0.2,1.5,hypothetical vehicle scenario; not observed mode share
