detector_id,date,period_from,period_to,source_direction,lane_id,speed_kmh,volume_30s,occupancy_percent,source_valid,gmns_link_id,mapping_status
AID01111,2026-09-26,10:24:00,10:24:30,North East,Fast Lane,59,5,4,Y,,unmatched
AID01111,2026-09-26,10:24:00,10:24:30,North East,Middle Lane 1,67,3,4,Y,,unmatched
AID01111,2026-09-26,10:24:00,10:24:30,North East,Middle Lane 2,46,3,5,Y,,unmatched
AID01111,2026-09-26,10:24:00,10:24:30,North East,Slow Lane,55,2,0,Y,,unmatched
AID01113,2026-09-26,10:24:00,10:24:30,North West,Fast Lane,84,4,1,Y,310388,matched_direction_screened
AID01113,2026-09-26,10:24:00,10:24:30,North West,Middle Lane,71,3,1,Y,310388,matched_direction_screened
AID01113,2026-09-26,10:24:00,10:24:30,North West,Slow Lane,70,0,0,Y,310388,matched_direction_screened
AID01211,2026-09-26,10:24:00,10:24:30,South East,Fast Lane,66,6,5,Y,309138,matched_direction_screened
AID01211,2026-09-26,10:24:00,10:24:30,South East,Middle Lane,65,3,2,Y,309138,matched_direction_screened
AID01211,2026-09-26,10:24:00,10:24:30,South East,Slow Lane,52,2,2,Y,309138,matched_direction_screened
AID01212,2026-09-26,10:24:00,10:24:30,South East,Fast Lane,83,3,2,Y,309138,matched_direction_screened
AID01212,2026-09-26,10:24:00,10:24:30,South East,Middle Lane,91,2,1,Y,309138,matched_direction_screened
AID01212,2026-09-26,10:24:00,10:24:30,South East,Slow Lane,63,1,1,Y,309138,matched_direction_screened
AID05110,2026-09-26,10:24:00,10:24:30,North West,Fast Lane,49,10,8,Y,310506,matched_direction_screened
AID05110,2026-09-26,10:24:00,10:24:30,North West,Slow Lane,50,3,4,Y,310506,matched_direction_screened
AID05111,2026-09-26,10:24:00,10:24:30,North West,Fast Lane,70,6,4,Y,310200,matched_direction_screened
AID05113,2026-09-26,10:24:00,10:24:30,North West,Slow Lane,50,0,0,Y,313652,matched_direction_screened
AID05223,2026-09-26,10:24:00,10:24:30,South East,Fast Lane,71,5,4,Y,313658,matched_direction_screened
AID05223,2026-09-26,10:24:00,10:24:30,South East,Slow Lane,63,2,2,Y,313658,matched_direction_screened
AID05224,2026-09-26,10:24:00,10:24:30,South East,Fast Lane,50,8,9,Y,310198,matched_direction_screened
AID05225,2026-09-26,10:24:00,10:24:30,South East,Fast Lane,57,12,14,Y,659672,matched_direction_screened
AID05226,2026-09-26,10:24:00,10:24:30,South East,Fast Lane,67,3,2,Y,310504,matched_direction_screened
AID05226,2026-09-26,10:24:00,10:24:30,South East,Middle Lane 1,50,0,0,Y,310504,matched_direction_screened
AID05226,2026-09-26,10:24:00,10:24:30,South East,Middle Lane 2,53,8,9,Y,310504,matched_direction_screened
AID05226,2026-09-26,10:24:00,10:24:30,South East,Slow Lane,50,0,0,Y,310504,matched_direction_screened
AID01111,2026-09-26,10:24:30,10:25:00,North East,Fast Lane,64,6,3,Y,,unmatched
AID01111,2026-09-26,10:24:30,10:25:00,North East,Middle Lane 1,63,3,1,Y,,unmatched
AID01111,2026-09-26,10:24:30,10:25:00,North East,Middle Lane 2,95,1,0,Y,,unmatched
AID01111,2026-09-26,10:24:30,10:25:00,North East,Slow Lane,57,2,2,Y,,unmatched
AID01113,2026-09-26,10:24:30,10:25:00,North West,Fast Lane,73,9,4,Y,310388,matched_direction_screened
AID01113,2026-09-26,10:24:30,10:25:00,North West,Middle Lane,69,6,3,Y,310388,matched_direction_screened
AID01113,2026-09-26,10:24:30,10:25:00,North West,Slow Lane,62,3,0,Y,310388,matched_direction_screened
AID01211,2026-09-26,10:24:30,10:25:00,South East,Fast Lane,64,12,10,Y,309138,matched_direction_screened
AID01211,2026-09-26,10:24:30,10:25:00,South East,Middle Lane,65,6,4,Y,309138,matched_direction_screened
AID01211,2026-09-26,10:24:30,10:25:00,South East,Slow Lane,53,3,3,Y,309138,matched_direction_screened
AID01212,2026-09-26,10:24:30,10:25:00,South East,Fast Lane,73,2,1,Y,309138,matched_direction_screened
AID01212,2026-09-26,10:24:30,10:25:00,South East,Middle Lane,48,5,6,Y,309138,matched_direction_screened
AID01212,2026-09-26,10:24:30,10:25:00,South East,Slow Lane,82,3,2,Y,309138,matched_direction_screened
AID05110,2026-09-26,10:24:30,10:25:00,North West,Fast Lane,59,4,2,Y,310506,matched_direction_screened
AID05110,2026-09-26,10:24:30,10:25:00,North West,Slow Lane,68,5,2,Y,310506,matched_direction_screened
AID05111,2026-09-26,10:24:30,10:25:00,North West,Fast Lane,63,10,9,Y,310200,matched_direction_screened
AID05113,2026-09-26,10:24:30,10:25:00,North West,Slow Lane,50,0,0,Y,313652,matched_direction_screened
AID05223,2026-09-26,10:24:30,10:25:00,South East,Fast Lane,77,4,2,Y,313658,matched_direction_screened
AID05223,2026-09-26,10:24:30,10:25:00,South East,Slow Lane,70,0,0,Y,313658,matched_direction_screened
AID05224,2026-09-26,10:24:30,10:25:00,South East,Fast Lane,47,13,19,Y,310198,matched_direction_screened
AID05225,2026-09-26,10:24:30,10:25:00,South East,Fast Lane,45,12,15,Y,659672,matched_direction_screened
AID05226,2026-09-26,10:24:30,10:25:00,South East,Fast Lane,64,3,2,Y,310504,matched_direction_screened
AID05226,2026-09-26,10:24:30,10:25:00,South East,Middle Lane 1,49,1,0,Y,310504,matched_direction_screened
AID05226,2026-09-26,10:24:30,10:25:00,South East,Middle Lane 2,46,7,9,Y,310504,matched_direction_screened
AID05226,2026-09-26,10:24:30,10:25:00,South East,Slow Lane,54,2,2,Y,310504,matched_direction_screened
