detector_id,source_direction,source_road,longitude,latitude,gmns_link_id,source_route_id,distance_m,direction_cosine,second_candidate_distance_m,match_status,grade_status
AID01111,East,Hong Chong Road near The Hong Kong Polytechnic University - Northbound (1),114.1809989,22.30412026,,,196.331,0.7798,228.85,unmatched,unverified; flyover/underpass ambiguity remains
AID01113,North West,Princess Margaret Road near Parc Palais- Northbound,114.17816,22.31029,310388,105194,1.272,0.9663,7.991,matched_direction_screened,unverified; flyover/underpass ambiguity remains
AID01211,South East,Princess Margaret Road near Oi Man Estate - Southbound(2),114.1782331,22.31041465,309138,104569,20.687,0.9623,132.14,matched_direction_screened,unverified; flyover/underpass ambiguity remains
AID01212,South East,Princess Margaret Road near King's Park -Southbound,114.1788251,22.3094574,309138,104569,21.047,0.9645,92.732,matched_direction_screened,unverified; flyover/underpass ambiguity remains
AID05110,North West,Gascoigne Road near Gun Club Hill Barracks - Westbound,114.1782331,22.30588128,310506,105253,5.341,0.8645,13.118,matched_direction_screened,unverified; flyover/underpass ambiguity remains
AID05111,North West,Gascoigne Road near Diocesan Girls' School - Westbound,114.1739143,22.30716361,310200,105100,8.474,0.9048,17.723,matched_direction_screened,unverified; flyover/underpass ambiguity remains
AID05113,North,Gascoigne Road Flyover near Prosperous Garden - Northbound,114.1673631,22.31044147,313652,106826,6.002,0.9653,14.714,matched_direction_screened,unverified; flyover/underpass ambiguity remains
AID05223,South,West Kowloon Corridor near Prosperous Garden - Southbound,114.167499,22.31002607,313658,106829,5.925,0.9292,7.898,matched_direction_screened,unverified; flyover/underpass ambiguity remains
AID05224,South East,Gascoigne Road near Methodist College - Eastbound,114.1716432,22.30898773,310198,105099,9.646,0.9991,44.08,matched_direction_screened,unverified; flyover/underpass ambiguity remains
AID05225,South East,Gascoigne Road near Diocesan Girls' School - Eastbound,114.1744093,22.30710943,659672,279836,8.651,0.8905,12.026,matched_direction_screened,unverified; flyover/underpass ambiguity remains
AID05226,South East,Gascoigne Road near Gun Club Hill Barracks - Eastbound,114.1778352,22.30599868,310504,105252,3.948,0.9037,12.678,matched_direction_screened,unverified; flyover/underpass ambiguity remains
