source_ssbg,outside_pilot_population_estimate,outside_pilot_households_estimate,reason
21105,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21106,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21107,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21108S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21110,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21111S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21112,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21113,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21114,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21115S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21117S,194.02858308073903,79.79660950776801,outside_clipped_pilot_polygon; area allocation assumption
21119S,103.59556821803608,38.734746449945504,outside_clipped_pilot_polygon; area allocation assumption
21122,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21123S,106.93739940880795,45.14423148695186,outside_clipped_pilot_polygon; area allocation assumption
21130,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21201,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21202S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21204,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21205,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21207,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21208S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21210,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21211,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21212,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21213S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21216S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21217,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21219,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21220,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21221,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21223,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21401S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21404,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21405S,114.42661231331873,49.66996964513227,outside_clipped_pilot_polygon; area allocation assumption
21406S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21413,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21414,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
21501S,223.73096820590115,131.99712038863927,outside_clipped_pilot_polygon; area allocation assumption
22506,852.4019695257435,399.0153252409602,outside_clipped_pilot_polygon; area allocation assumption
22507S,213.77447576272365,93.50208468024755,outside_clipped_pilot_polygon; area allocation assumption
22511S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22513,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22518S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22519S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22522S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22525S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22534S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22536S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22539,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22540,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22541S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22543,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22544,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22545,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22546S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22548,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22549,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22550,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22551,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22552,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22553,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22554,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22555,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22556,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22557,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22558S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22561,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22562,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22563S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22565,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22566,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22567,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22568,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22569,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22570S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22573,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22574,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22575S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22577S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22584,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22585,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22587,1338.5707374586611,516.0563341329358,outside_clipped_pilot_polygon; area allocation assumption
22601S,990.427248120584,439.259432871312,outside_clipped_pilot_polygon; area allocation assumption
22604,270.362729789772,60.22608024372645,outside_clipped_pilot_polygon; area allocation assumption
22605S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22607,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22608S,37.99350958012066,9.747101508979721,outside_clipped_pilot_polygon; area allocation assumption
22610S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22613S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
22614S,0.0,0.0,outside_clipped_pilot_polygon; area allocation assumption
23608,4452.0344418703735,1562.6535822570115,outside_clipped_pilot_polygon; area allocation assumption
23609,5808.145799911086,2000.780426253691,outside_clipped_pilot_polygon; area allocation assumption
23610S,371.93910260555816,146.6687964523007,outside_clipped_pilot_polygon; area allocation assumption
25101S,15627,4995,intersecting sliver under 1% of source SSG; no model zone
25103S,57.80366378484081,19.750294547986844,outside_clipped_pilot_polygon; area allocation assumption
25203S,196.67096810658103,87.6824732808507,outside_clipped_pilot_polygon; area allocation assumption
25305S,9694,3358,intersecting sliver under 1% of source SSG; no model zone
25306S,3928,1243,intersecting sliver under 1% of source SSG; no model zone
