link_id,from_node_id,to_node_id,directed,dir_flag,length,free_speed,free_flow_time,capacity,lanes,link_type,vdf_alpha,vdf_beta,vdf_plf,geometry,mcl_link_class,source_link_id,source_from_node_id,source_to_node_id,mcl_gps_match_allowed,source_kml_id,source_travel_direction,street_name,street_code,geometry_sampling,length_unit,capacity_unit,free_speed_unit
10000002,1,10244,1,1,,,,,,0,,,,"LINESTRING(114.169403480 22.304830293,114.169114353 22.304851332)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000004,2,10304,1,1,,,,,,0,,,,"LINESTRING(114.169857133 22.304798540,114.170181706 22.305220114)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000006,3,10329,1,1,,,,,,0,,,,"LINESTRING(114.170367198 22.304758335,114.170580662 22.305171242)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000008,4,10358,1,1,,,,,,0,,,,"LINESTRING(114.171134863 22.304807172,114.171083626 22.305194039)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000010,5,10185,1,1,,,,,,0,,,,"LINESTRING(114.168412336 22.303588464,114.167962231 22.303688799)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000012,6,10223,1,1,,,,,,0,,,,"LINESTRING(114.168903851 22.303968063,114.168633385 22.304192372)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000014,7,10281,1,1,,,,,,0,,,,"LINESTRING(114.169453985 22.303685471,114.169733266 22.303161453)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000016,8,10281,1,1,,,,,,0,,,,"LINESTRING(114.169940820 22.303716072,114.169733266 22.303161453)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000018,9,10299,1,1,,,,,,0,,,,"LINESTRING(114.170414816 22.303752125,114.170117325 22.304281305)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000020,10,10361,1,1,,,,,,0,,,,"LINESTRING(114.171206045 22.303801714,114.171131084 22.304349716)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000022,11,10231,1,1,,,,,,0,,,,"LINESTRING(114.169346042 22.299742615,114.168846836 22.299766046)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000024,12,10286,1,1,,,,,,0,,,,"LINESTRING(114.169735437 22.296843115,114.169849414 22.297036877)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000026,13,10325,1,1,,,,,,0,,,,"LINESTRING(114.170493561 22.297253399,114.170545295 22.296975189)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000028,14,10388,1,1,,,,,,0,,,,"LINESTRING(114.171698774 22.296586923,114.171645644 22.296430706)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000030,15,10221,1,1,,,,,,0,,,,"LINESTRING(114.168114924 22.304986039,114.168589473 22.304804338)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000032,16,10386,1,1,,,,,,0,,,,"LINESTRING(114.171895676 22.304705831,114.171634006 22.304392569)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000034,17,10510,1,1,,,,,,0,,,,"LINESTRING(114.175318069 22.304976847,114.174460326 22.305213883)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000036,18,10427,1,1,,,,,,0,,,,"LINESTRING(114.172615421 22.303675201,114.172489017 22.304002221)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000038,19,10398,1,1,,,,,,0,,,,"LINESTRING(114.172621050 22.303006583,114.171819720 22.303261330)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000040,20,10560,1,1,,,,,,0,,,,"LINESTRING(114.175891410 22.302808868,114.175704469 22.302539233)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000042,21,10450,1,1,,,,,,0,,,,"LINESTRING(114.173239320 22.301555564,114.173150603 22.300615232)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000044,22,10605,1,1,,,,,,0,,,,"LINESTRING(114.176066138 22.301938223,114.176620982 22.301941301)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000046,23,10554,1,1,,,,,,0,,,,"LINESTRING(114.175851480 22.301371379,114.175584852 22.301021179)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000048,24,10493,1,1,,,,,,0,,,,"LINESTRING(114.174357833 22.300681791,114.174237482 22.300387275)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000050,25,10493,1,1,,,,,,0,,,,"LINESTRING(114.173783360 22.300260071,114.174237482 22.300387275)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000052,26,10440,1,1,,,,,,0,,,,"LINESTRING(114.172837965 22.298971856,114.172917332 22.299101612)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000054,27,10505,1,1,,,,,,0,,,,"LINESTRING(114.174781957 22.299749837,114.174420350 22.299633230)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000056,28,10505,1,1,,,,,,0,,,,"LINESTRING(114.174804778 22.298960729,114.174420350 22.299633230)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000058,29,10441,1,1,,,,,,0,,,,"LINESTRING(114.172826654 22.298044227,114.172928085 22.297725716)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000060,30,10527,1,1,,,,,,0,,,,"LINESTRING(114.174958334 22.302046254,114.174821408 22.301938282)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000062,31,10462,1,1,,,,,,0,,,,"LINESTRING(114.173709002 22.302838231,114.173502745 22.302765708)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000064,32,10508,1,1,,,,,,0,,,,"LINESTRING(114.174657798 22.298210549,114.174437594 22.297968228)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000066,33,10552,1,1,,,,,,0,,,,"LINESTRING(114.175060879 22.297683470,114.175529272 22.297320839)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000068,34,10472,1,1,,,,,,0,,,,"LINESTRING(114.173646099 22.295937499,114.173693478 22.295665850)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000070,35,10516,1,1,,,,,,0,,,,"LINESTRING(114.174644418 22.296890661,114.174572582 22.296893252)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000072,36,10416,1,1,,,,,,0,,,,"LINESTRING(114.172572247 22.297359020,114.172213150 22.297677788)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000074,37,10453,1,1,,,,,,0,,,,"LINESTRING(114.173577492 22.297515111,114.173363581 22.297172323)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000076,38,10689,1,1,,,,,,0,,,,"LINESTRING(114.178450008 22.300757372,114.178827559 22.301023870)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000078,39,10317,1,1,,,,,,0,,,,"LINESTRING(114.170433000 22.311914800,114.170374008 22.311810572)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000080,40,10224,1,1,,,,,,0,,,,"LINESTRING(114.168391479 22.311524970,114.168680667 22.311727341)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000082,41,10298,1,1,,,,,,0,,,,"LINESTRING(114.170054147 22.311546686,114.170113031 22.311787822)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000084,42,10322,1,1,,,,,,0,,,,"LINESTRING(114.170684303 22.311371482,114.170466069 22.311336617)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000086,43,10265,1,1,,,,,,0,,,,"LINESTRING(114.169600802 22.310635605,114.169375503 22.310649362)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000088,44,10305,1,1,,,,,,0,,,,"LINESTRING(114.170108400 22.311033325,114.170201341 22.311295891)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000090,45,10312,1,1,,,,,,0,,,,"LINESTRING(114.170483412 22.310509594,114.170299548 22.310793253)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000092,46,10295,1,1,,,,,,0,,,,"LINESTRING(114.169787375 22.309404064,114.170055179 22.309525447)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000094,47,10222,1,1,,,,,,0,,,,"LINESTRING(114.168416943 22.308683674,114.168620063 22.308306888)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000096,48,10287,1,1,,,,,,0,,,,"LINESTRING(114.169798905 22.308398455,114.169853664 22.308712351)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000098,49,10346,1,1,,,,,,0,,,,"LINESTRING(114.170650434 22.308203364,114.170763154 22.308526540)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000100,50,10348,1,1,,,,,,0,,,,"LINESTRING(114.171071549 22.308065772,114.170780461 22.307827214)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000102,51,10188,1,1,,,,,,0,,,,"LINESTRING(114.168289131 22.308041886,114.168028268 22.307834042)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000104,52,10239,1,1,,,,,,0,,,,"LINESTRING(114.169192929 22.307864697,114.169062605 22.308205253)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000106,53,10290,1,1,,,,,,0,,,,"LINESTRING(114.169638892 22.307771609,114.169906051 22.308018614)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000108,54,10283,1,1,,,,,,0,,,,"LINESTRING(114.170038832 22.307665094,114.169755559 22.307426758)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000110,55,10333,1,1,,,,,,0,,,,"LINESTRING(114.170852412 22.307482271,114.170626369 22.307229247)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000112,56,10094,1,1,,,,,,0,,,,"LINESTRING(114.166026645 22.308130278,114.166165146 22.308312598)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000114,57,10136,1,1,,,,,,0,,,,"LINESTRING(114.166996631 22.307912068,114.167143739 22.308113298)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000116,58,10104,1,1,,,,,,0,,,,"LINESTRING(114.165935908 22.307809933,114.166348510 22.307545351)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000118,59,10144,1,1,,,,,,0,,,,"LINESTRING(114.166899800 22.307591142,114.167369934 22.307643892)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000120,60,10104,1,1,,,,,,0,,,,"LINESTRING(114.165846161 22.307492592,114.166348510 22.307545351)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000122,61,10141,1,1,,,,,,0,,,,"LINESTRING(114.166835644 22.307276277,114.167279501 22.307323292)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000124,62,10100,1,1,,,,,,0,,,,"LINESTRING(114.165823554 22.307197667,114.166262377 22.307213095)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000126,63,10100,1,1,,,,,,0,,,,"LINESTRING(114.166674287 22.306961345,114.166262377 22.307213095)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000128,64,10138,1,1,,,,,,0,,,,"LINESTRING(114.167449648 22.306879231,114.167194495 22.307013284)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000130,65,10201,1,1,,,,,,0,,,,"LINESTRING(114.167993326 22.306795556,114.168153238 22.306476280)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
