source_turn_id,source_edge_sequence,from_link_id,to_link_id,via_node_id,no_turn,included_vehicle_types,excluded_vehicle_types,part_time_restriction,status
1853,105393|105393,310786,310787,10154,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1853,105393|105393,310787,310786,10147,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1854,105422|105393,310844,310787,10154,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1036,104294|104294,308588,308589,10394,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1036,104294|104294,308589,308588,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1039,104273|104273,308546,308547,10404,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1039,104273|104273,308547,308546,10405,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1040,104272|104272,308544,308545,10403,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1040,104272|104272,308545,308544,10404,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1043,104378|104378,308756,308757,10670,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1043,104378|104378,308757,308756,10678,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1044,104936|104936,309872,309873,10464,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
1044,104936|104936,309873,309872,10472,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3664,105419|105419,310838,310839,10197,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3664,105419|105419,310839,310838,10195,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
424,104180|104180,308360,308361,10542,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
424,104180|104180,308361,308360,10541,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
426,104948|104948,309896,309897,10552,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
426,104948|104948,309897,309896,10551,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
429,104294|104294,308588,308589,10394,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
429,104294|104294,308589,308588,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2202,105445|105445,310890,310891,10255,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2202,105445|105445,310891,310890,10261,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
