tier,zone_id,person_trip_productions,attraction_proxy,production_rate_per_resident,period,status
smoke,1,1.1280000000000001,564.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,2,0.804,402.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,3,1.814,907.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,4,1.466,733.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,5,2.094,1047.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,6,2.446,1223.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,7,1.108,554.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,8,1.25,625.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,9,1.618,809.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,10,1.3760000000000001,688.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,11,4.761942833838522,2380.971416919261,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,12,1.616808863563928,808.4044317819639,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,13,1.53,765.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,14,2.458125201182384,1229.062600591192,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,15,1.048,524.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,16,0.844,422.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,17,4.304,2152.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,18,2.504,1252.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,19,1.226,613.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,20,1.9140000000000001,957.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,21,1.61,805.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,22,0.966,483.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,23,1.1440000000000001,572.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,24,0.984,492.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,25,1.27,635.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,26,1.3780000000000001,689.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,27,2.062,1031.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,28,1.604,802.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,29,0.874,437.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,30,4.182,2091.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,31,2.236,1118.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,32,0.85,425.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,33,1.858,929.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,34,3.7151467753733627,1857.5733876866814,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,35,1.166,583.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,36,0.926,463.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,37,0.996,498.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,38,0.6305380635881978,315.26903179409885,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,39,0.23919606094851292,119.59803047425646,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,40,0.6744510484745527,337.2255242372764,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,41,1.16,580.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,42,1.278,639.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,43,1.714,857.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,44,1.154,577.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,45,1.12,560.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,46,1.482,741.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,47,1.226,613.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,48,1.74,870.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,49,1.004,502.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,50,0.86,430.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,51,1.154,577.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,52,1.062,531.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,53,1.178,589.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,54,0.884,442.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,55,1.014,507.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,56,2.426,1213.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,57,3.228,1614.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,58,2.892,1446.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,59,3.12,1560.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,60,2.36,1180.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,61,2.958,1479.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,62,2.38,1190.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
smoke,63,2.714,1357.0,0.002,abstract one-hour scenario,scenario_seed_not_observed
