source_id,source_route_id,source_kml_id,gmns_link_id,direction,source_travel_direction
TD_ROAD_CENTERLINE,2905,ID_010882,105810,F,3
TD_ROAD_CENTERLINE,104133,ID_033314,308266,F,3
TD_ROAD_CENTERLINE,104140,ID_033389,308280,F,1
TD_ROAD_CENTERLINE,104140,ID_033389,308281,R,1
TD_ROAD_CENTERLINE,104141,ID_09948,308282,F,3
TD_ROAD_CENTERLINE,104142,ID_033315,308284,F,3
TD_ROAD_CENTERLINE,104143,ID_09949,308286,F,3
TD_ROAD_CENTERLINE,104144,ID_09950,308288,F,3
TD_ROAD_CENTERLINE,104145,ID_09951,308290,F,3
TD_ROAD_CENTERLINE,104146,ID_09952,308292,F,3
TD_ROAD_CENTERLINE,104147,ID_08474,308294,F,3
TD_ROAD_CENTERLINE,104148,ID_032040,308296,F,3
TD_ROAD_CENTERLINE,104149,ID_018876,308298,F,3
TD_ROAD_CENTERLINE,104150,ID_08475,308300,F,3
TD_ROAD_CENTERLINE,104151,ID_032375,308302,F,3
TD_ROAD_CENTERLINE,104155,ID_016463,308310,F,3
TD_ROAD_CENTERLINE,104157,ID_08521,308314,F,1
TD_ROAD_CENTERLINE,104157,ID_08521,308315,R,1
TD_ROAD_CENTERLINE,104158,ID_08522,308316,F,1
TD_ROAD_CENTERLINE,104158,ID_08522,308317,R,1
TD_ROAD_CENTERLINE,104159,ID_08523,308318,F,3
TD_ROAD_CENTERLINE,104160,ID_08423,308320,F,3
TD_ROAD_CENTERLINE,104161,ID_08524,308322,F,3
TD_ROAD_CENTERLINE,104162,ID_016286,308324,F,3
TD_ROAD_CENTERLINE,104163,ID_027385,308326,F,1
TD_ROAD_CENTERLINE,104163,ID_027385,308327,R,1
TD_ROAD_CENTERLINE,104164,ID_04668,308328,F,3
TD_ROAD_CENTERLINE,104165,ID_04706,308330,F,3
TD_ROAD_CENTERLINE,104166,ID_04707,308332,F,3
TD_ROAD_CENTERLINE,104167,ID_04708,308334,F,1
TD_ROAD_CENTERLINE,104167,ID_04708,308335,R,1
TD_ROAD_CENTERLINE,104168,ID_04709,308336,F,3
TD_ROAD_CENTERLINE,104179,ID_010114,308358,F,3
TD_ROAD_CENTERLINE,104180,ID_010115,308360,F,1
TD_ROAD_CENTERLINE,104180,ID_010115,308361,R,1
TD_ROAD_CENTERLINE,104181,ID_010116,308362,F,3
TD_ROAD_CENTERLINE,104182,ID_032042,308364,F,3
TD_ROAD_CENTERLINE,104183,ID_09639,308366,F,3
TD_ROAD_CENTERLINE,104184,ID_09640,308368,F,3
TD_ROAD_CENTERLINE,104185,ID_030753,308370,F,3
TD_ROAD_CENTERLINE,104186,ID_034750,308372,F,3
TD_ROAD_CENTERLINE,104187,ID_018385,308374,F,1
TD_ROAD_CENTERLINE,104187,ID_018385,308375,R,1
TD_ROAD_CENTERLINE,104188,ID_035355,308376,F,3
TD_ROAD_CENTERLINE,104189,ID_09206,308378,F,3
TD_ROAD_CENTERLINE,104190,ID_09207,308380,F,3
TD_ROAD_CENTERLINE,104191,ID_023000,308382,F,3
TD_ROAD_CENTERLINE,104192,ID_09393,308384,F,3
TD_ROAD_CENTERLINE,104193,ID_029848,308386,F,3
TD_ROAD_CENTERLINE,104194,ID_09394,308388,F,1
TD_ROAD_CENTERLINE,104194,ID_09394,308389,R,1
TD_ROAD_CENTERLINE,104195,ID_09395,308390,F,3
TD_ROAD_CENTERLINE,104196,ID_09396,308392,F,1
TD_ROAD_CENTERLINE,104196,ID_09396,308393,R,1
TD_ROAD_CENTERLINE,104197,ID_034732,308394,F,1
TD_ROAD_CENTERLINE,104197,ID_034732,308395,R,1
TD_ROAD_CENTERLINE,104198,ID_09397,308396,F,1
TD_ROAD_CENTERLINE,104198,ID_09397,308397,R,1
