stop_id,physical_node_id,straight_distance_m,pedestrian_route_id,pedestrian_straight_distance_m,pedestrian_floor_id,pedestrian_access_time_id,status
193,10355,39.404,240013055,1.42,,,pedestrian_proximity_only; vertical connectivity unknown
216,10367,16.456,240013060,1.956,,,pedestrian_proximity_only; vertical connectivity unknown
219,10758,25.417,290048762,2.993,,,pedestrian_proximity_only; vertical connectivity unknown
723,10558,34.015,240019560,2.834,,,pedestrian_proximity_only; vertical connectivity unknown
724,10185,22.983,290055251,3.016,,,pedestrian_proximity_only; vertical connectivity unknown
774,10591,38.16,240015580,2.481,,,pedestrian_proximity_only; vertical connectivity unknown
775,10735,10.716,240015497,3.146,,,pedestrian_proximity_only; vertical connectivity unknown
779,10578,47.296,240015725,0.984,,,pedestrian_proximity_only; vertical connectivity unknown
961,10401,29.658,240015151,2.529,,,pedestrian_proximity_only; vertical connectivity unknown
965,10422,40.507,240017421,2.6,,,pedestrian_proximity_only; vertical connectivity unknown
966,10416,16.858,240018363,2.573,,,pedestrian_proximity_only; vertical connectivity unknown
967,10396,20.57,240014978,2.359,,,pedestrian_proximity_only; vertical connectivity unknown
968,10379,21.544,240013147,2.158,,,pedestrian_proximity_only; vertical connectivity unknown
970,10353,23.477,240013487,1.944,,,pedestrian_proximity_only; vertical connectivity unknown
1162,10184,70.244,240017928,3.344,240000020,290000477,pedestrian_proximity_only; vertical connectivity unknown
1164,10211,23.804,240014943,2.107,,,pedestrian_proximity_only; vertical connectivity unknown
1277,10234,44.347,240018491,0.928,,,pedestrian_proximity_only; vertical connectivity unknown
1278,10263,11.114,290048103,1.8,,,pedestrian_proximity_only; vertical connectivity unknown
1279,10520,19.87,290022587,2.414,,,pedestrian_proximity_only; vertical connectivity unknown
1280,10555,38.806,240020229,1.285,,,pedestrian_proximity_only; vertical connectivity unknown
1281,10577,18.22,240019561,1.786,,,pedestrian_proximity_only; vertical connectivity unknown
1282,10596,23.857,240016723,2.054,,,pedestrian_proximity_only; vertical connectivity unknown
1283,10652,24.543,240016034,2.619,,,pedestrian_proximity_only; vertical connectivity unknown
1284,10669,8.49,240015884,1.612,,,pedestrian_proximity_only; vertical connectivity unknown
1289,10206,23.223,240022619,1.467,,,pedestrian_proximity_only; vertical connectivity unknown
1310,10587,41.099,240016494,1.796,,,pedestrian_proximity_only; vertical connectivity unknown
1320,10300,12.734,240014907,3.376,,,pedestrian_proximity_only; vertical connectivity unknown
1321,10434,5.577,240015092,3.917,,,pedestrian_proximity_only; vertical connectivity unknown
1322,10581,26.636,240015549,1.582,,,pedestrian_proximity_only; vertical connectivity unknown
1331,10300,23.213,240014388,3.235,,,pedestrian_proximity_only; vertical connectivity unknown
4020,10355,5.405,240012930,3.548,,,pedestrian_proximity_only; vertical connectivity unknown
4021,10382,21.859,240013020,3.069,,,pedestrian_proximity_only; vertical connectivity unknown
4022,10386,16.127,240015046,3.199,,,pedestrian_proximity_only; vertical connectivity unknown
4024,10424,28.021,240018070,3.318,,,pedestrian_proximity_only; vertical connectivity unknown
4027,10386,29.406,240014989,2.808,,,pedestrian_proximity_only; vertical connectivity unknown
4028,10349,44.497,240013243,1.529,,,pedestrian_proximity_only; vertical connectivity unknown
4049,10372,36.162,240013097,3.28,,,pedestrian_proximity_only; vertical connectivity unknown
4050,10411,20.07,240017881,1.71,,,pedestrian_proximity_only; vertical connectivity unknown
4051,10399,21.232,240013920,4.763,,,pedestrian_proximity_only; vertical connectivity unknown
4052,10376,14.875,240013140,2.385,,,pedestrian_proximity_only; vertical connectivity unknown
4076,10402,46.763,240017535,7.43,,,pedestrian_proximity_only; vertical connectivity unknown
4132,10577,27.054,240019638,2.979,,,pedestrian_proximity_only; vertical connectivity unknown
4147,10620,34.883,240019468,4.348,,,pedestrian_proximity_only; vertical connectivity unknown
4148,10620,13.893,240019396,11.782,,,pedestrian_proximity_only; vertical connectivity unknown
4174,10639,9.531,240016089,0.325,,,pedestrian_proximity_only; vertical connectivity unknown
4231,10401,53.057,240014966,3.382,,,pedestrian_proximity_only; vertical connectivity unknown
4232,10401,56.244,240014115,6.225,,,pedestrian_proximity_only; vertical connectivity unknown
4247,10084,42.241,240013654,6.819,,,pedestrian_proximity_only; vertical connectivity unknown
4248,10211,40.468,240015018,3.124,,,pedestrian_proximity_only; vertical connectivity unknown
4256,10706,157.699,200017129,1.336,,,pedestrian_proximity_only; vertical connectivity unknown
4259,10587,23.314,240016726,3.067,,,pedestrian_proximity_only; vertical connectivity unknown
4264,10706,145.646,200017138,1.078,,,pedestrian_proximity_only; vertical connectivity unknown
4272,10329,19.942,240015101,2.36,,,pedestrian_proximity_only; vertical connectivity unknown
7041,10429,38.325,240018351,2.688,,,pedestrian_proximity_only; vertical connectivity unknown
7082,10434,20.875,240014543,0.611,,,pedestrian_proximity_only; vertical connectivity unknown
9000,10193,16.266,240015308,2.901,,,pedestrian_proximity_only; vertical connectivity unknown
9002,10211,13.903,240014980,2.496,,,pedestrian_proximity_only; vertical connectivity unknown
9003,10396,31.467,240014978,2.546,,,pedestrian_proximity_only; vertical connectivity unknown
9004,10423,22.874,240019190,0.062,,,pedestrian_proximity_only; vertical connectivity unknown
9007,10605,19.444,240016731,2.044,,,pedestrian_proximity_only; vertical connectivity unknown
9009,10367,39.123,290048005,1.809,,,pedestrian_proximity_only; vertical connectivity unknown
9010,10384,27.227,240012031,2.318,,,pedestrian_proximity_only; vertical connectivity unknown
9011,10432,16.649,240013432,0.805,,,pedestrian_proximity_only; vertical connectivity unknown
9012,10426,17.265,290042115,3.384,,,pedestrian_proximity_only; vertical connectivity unknown
9014,10746,51.103,240016095,3.996,,,pedestrian_proximity_only; vertical connectivity unknown
9015,10729,36.388,240016145,4.42,,,pedestrian_proximity_only; vertical connectivity unknown
9016,10141,22.242,240012891,2.433,,,pedestrian_proximity_only; vertical connectivity unknown
9017,10138,16.339,240012986,2.016,,,pedestrian_proximity_only; vertical connectivity unknown
9036,10355,29.642,240012930,3.101,,,pedestrian_proximity_only; vertical connectivity unknown
