stop_id,zone_id,straight_distance_m,method
193,42,20.733,nearest fine-zone centroid; boundary topology not certified
216,85,44.995,nearest fine-zone centroid; boundary topology not certified
219,38,242.705,nearest fine-zone centroid; boundary topology not certified
723,33,115.732,nearest fine-zone centroid; boundary topology not certified
724,5,69.837,nearest fine-zone centroid; boundary topology not certified
774,90,212.887,nearest fine-zone centroid; boundary topology not certified
775,87,313.427,nearest fine-zone centroid; boundary topology not certified
779,86,193.789,nearest fine-zone centroid; boundary topology not certified
961,21,138.084,nearest fine-zone centroid; boundary topology not certified
965,14,83.504,nearest fine-zone centroid; boundary topology not certified
966,36,65.197,nearest fine-zone centroid; boundary topology not certified
967,10,56.12,nearest fine-zone centroid; boundary topology not certified
968,69,39.74,nearest fine-zone centroid; boundary topology not certified
970,45,56.316,nearest fine-zone centroid; boundary topology not certified
1162,11,200.698,nearest fine-zone centroid; boundary topology not certified
1164,77,58.106,nearest fine-zone centroid; boundary topology not certified
1277,12,117.16,nearest fine-zone centroid; boundary topology not certified
1278,12,152.58,nearest fine-zone centroid; boundary topology not certified
1279,34,117.549,nearest fine-zone centroid; boundary topology not certified
1280,33,42.989,nearest fine-zone centroid; boundary topology not certified
1281,27,112.992,nearest fine-zone centroid; boundary topology not certified
1282,23,52.389,nearest fine-zone centroid; boundary topology not certified
1283,22,219.244,nearest fine-zone centroid; boundary topology not certified
1284,38,116.07,nearest fine-zone centroid; boundary topology not certified
1289,11,154.784,nearest fine-zone centroid; boundary topology not certified
1310,23,77.043,nearest fine-zone centroid; boundary topology not certified
1320,78,46.239,nearest fine-zone centroid; boundary topology not certified
1321,89,81.786,nearest fine-zone centroid; boundary topology not certified
1322,90,108.142,nearest fine-zone centroid; boundary topology not certified
1331,2,47.882,nearest fine-zone centroid; boundary topology not certified
4020,42,43.917,nearest fine-zone centroid; boundary topology not certified
4021,69,62.458,nearest fine-zone centroid; boundary topology not certified
4022,16,37.869,nearest fine-zone centroid; boundary topology not certified
4024,14,107.945,nearest fine-zone centroid; boundary topology not certified
4027,16,34.113,nearest fine-zone centroid; boundary topology not certified
4028,85,91.897,nearest fine-zone centroid; boundary topology not certified
4049,88,42.831,nearest fine-zone centroid; boundary topology not certified
4050,26,91.909,nearest fine-zone centroid; boundary topology not certified
4051,19,95.346,nearest fine-zone centroid; boundary topology not certified
4052,75,51.798,nearest fine-zone centroid; boundary topology not certified
4076,26,148.923,nearest fine-zone centroid; boundary topology not certified
4132,27,122.572,nearest fine-zone centroid; boundary topology not certified
4147,35,251.358,nearest fine-zone centroid; boundary topology not certified
4148,33,229.563,nearest fine-zone centroid; boundary topology not certified
4174,22,175.313,nearest fine-zone centroid; boundary topology not certified
4231,21,132.509,nearest fine-zone centroid; boundary topology not certified
4232,21,153.888,nearest fine-zone centroid; boundary topology not certified
4247,63,95.749,nearest fine-zone centroid; boundary topology not certified
4248,77,29.6,nearest fine-zone centroid; boundary topology not certified
4256,93,50.791,nearest fine-zone centroid; boundary topology not certified
4259,23,55.956,nearest fine-zone centroid; boundary topology not certified
4264,93,74.257,nearest fine-zone centroid; boundary topology not certified
4272,3,42.552,nearest fine-zone centroid; boundary topology not certified
7041,26,70.236,nearest fine-zone centroid; boundary topology not certified
7082,89,100.337,nearest fine-zone centroid; boundary topology not certified
9000,11,216.074,nearest fine-zone centroid; boundary topology not certified
9002,76,31.654,nearest fine-zone centroid; boundary topology not certified
9003,10,43.664,nearest fine-zone centroid; boundary topology not certified
9004,14,164.177,nearest fine-zone centroid; boundary topology not certified
9007,22,48.234,nearest fine-zone centroid; boundary topology not certified
9009,85,61.518,nearest fine-zone centroid; boundary topology not certified
9010,85,87.95,nearest fine-zone centroid; boundary topology not certified
9011,88,79.995,nearest fine-zone centroid; boundary topology not certified
9012,88,89.83,nearest fine-zone centroid; boundary topology not certified
9014,38,361.75,nearest fine-zone centroid; boundary topology not certified
9015,38,320.558,nearest fine-zone centroid; boundary topology not certified
9016,64,33.543,nearest fine-zone centroid; boundary topology not certified
9017,61,38.723,nearest fine-zone centroid; boundary topology not certified
9036,42,39.554,nearest fine-zone centroid; boundary topology not certified
9038,67,16.929,nearest fine-zone centroid; boundary topology not certified
