route_id,agency_id,route_short_name,route_long_name,route_type,service_id,pilot_intersecting_trip_patterns,frequency_records,headway_min_s,headway_max_s,calendar_start,calendar_end,schedule_type
1000007,KMB,215X,LAM TIN (KWONG TIN ESTATE) - KOWLOON STATION (OMIT COOKIE STREET),3,287,8,8,420,900,20200101,20991231,frequency/headway
1000008,KMB,3X,CHINA FERRY TERMINAL - TSZ WAN SHAN (NORTH),3,287,1,1,1800,1800,20200101,20991231,frequency/headway
1000035,KMB,287P,SHUI CHUEN O - YAU MA TEI,3,287,3,0,,,20200101,20991231,specified schedule or no frequency record
1000048,KMB,87E,TSIM SHA TSUI EAST (MODY ROAD) - NAI CHUNG,3,287,1,0,,,20200101,20991231,specified schedule or no frequency record
1000059,KMB,X6C,MEI FOO - HONG KONG CHILDREN’S HOSPITAL,3,287,6,6,1200,1800,20200101,20991231,frequency/headway
1000124,KMB+CTB,106P,SIU SAI WAN (ISLAND RESORT) - WONG TAI SIN (VIA TAI KOO AND NORTH POINT),3,287,2,0,,,20200101,20991231,specified schedule or no frequency record
1000132,KMB+CTB,116,FORTRESS HILL STATION - TSZ WAN SHAN (CENTRAL),3,287,2,0,,,20200101,20991231,specified schedule or no frequency record
1000142,KMB,224X,KAI YIP - TSIM SHA TSUI EAST (CIRCULAR) (OMIT COOKIE STREET),3,287,2,2,1200,1500,20200101,20991231,frequency/headway
1000142,KMB,224X,KAI YIP - TSIM SHA TSUI EAST (CIRCULAR) (OMIT COOKIE STREET),3,288,2,2,1800,1800,20200101,20991231,frequency/headway
1000192,KMB,296D,SHEUNG TAK - KOWLOON STATION (VIA M+),3,287,17,17,900,1800,20200101,20991231,frequency/headway
1000192,KMB,296D,SHEUNG TAK - KOWLOON STATION (VIA M+),3,288,9,9,1200,1800,20200101,20991231,frequency/headway
1000192,KMB,296D,SHEUNG TAK - KOWLOON STATION (VIA M+),3,448,9,9,1200,1800,20200101,20991231,frequency/headway
1000220,KMB,281E,HAIPHONG ROAD TSIM SHA TSUI - KWONG YUEN,3,287,2,0,,,20200101,20991231,specified schedule or no frequency record
1000223,CTB,795X,OSCAR BY THE SEA - SO UK,3,287,12,12,900,1800,20200101,20991231,frequency/headway
1000223,CTB,795X,OSCAR BY THE SEA - SO UK,3,288,9,9,1200,1800,20200101,20991231,frequency/headway
1000223,CTB,795X,OSCAR BY THE SEA - SO UK,3,448,11,11,1200,1800,20200101,20991231,frequency/headway
