stop_id,stop_name,stop_lon,stop_lat,location_type,source_zone_id
193,"[CTB] MAN MING LANE, NATHAN ROAD|[KMB] MAN MING LANE YAU MA TEI",114.17083,22.3115,0,193
216,"[KMB+CTB] PUBLIC SQUARE STREET YAU MA TEI/<BR>PUBLIC SQUARE STREET, NATHAN ROAD|[KMB] PUBLIC SQUARE STREET YAU MA TEI",114.17136,22.30989,0,216
219,[KMB+CTB] CROSS HARBOUR TUNNEL BBI/<BR>CROSS HARBOUR TUNNEL BUS-BUS INTERCHANGE,114.1806,22.30165,0,219
723,"[CTB] MODY ROAD, CHATHAM ROAD SOUTH|[KMB] MODY ROAD TSIM SHA TSUI",114.17582,22.29845,0,723
724,"[CTB] AUSTIN STATION, CANTON ROAD|[KMB] AUSTIN STATION",114.16774,22.30367,0,724
774,"[KMB+CTB] QUEEN ELIZABETH HOSPITAL/<BR>QUEEN ELIZABETH HOSPITAL, WYLIE ROAD|[KMB] QUEEN ELIZABETH HOSPITAL",114.17637,22.30911,0,774
775,"[KMB+CTB] HONG KONG POLYTECHNIC UNIVERSITY PHASE 8/<BR>HONG KONG POLYTECHNIC UNIVERSITY PHASE 8, CHATHAM ROAD NORTH",114.18004,22.30645,0,775
779,"[KMB+CTB] QUEEN ELIZABETH HOSPITAL/<BR>QUEEN ELIZABETH HOSPITAL, WYLIE ROAD|[KMB] QUEEN ELIZABETH HOSPITAL",114.1761,22.30962,0,779
961,"[CTB] KIMBERLEY ROAD, NATHAN ROAD|[KMB] KIMBERLEY ROAD, MIRA PLACE",114.17203,22.30102,0,961
965,"[CTB] KOWLOON HOTEL, NATHAN ROAD|[KMB] TSIM SHA TSUI BBI - MIDDLE ROAD",114.17216,22.29597,0,965
966,"[CTB] HAIPHONG ROAD, NATHAN ROAD|[KMB] TSIM SHA TSUI BBI - HAIPHONG ROAD",114.17205,22.29769,0,966
967,[KMB] AUSTIN ROAD,114.1716,22.30415,0,967
968,"[CTB] NING PO STREET, NATHAN ROAD|[KMB] NING PO STREET YAU MA TEI",114.17137,22.30689,0,968
970,"[CTB] PUBLIC SQUARE STREET, NATHAN ROAD|[KMB+CTB] PUBLIC SQUARE STREET YAU MA TEI/<BR>PUBLIC SQUARE STREET, NATHAN ROAD|[KMB] PUBLIC SQUARE STREET YAU MA TEI",114.17099,22.3107,0,970
1162,[KMB] CHINA FERRY TERMINAL BUS TERMINUS,114.1675,22.30032,0,1162
1164,"[CTB] BATTERY STREET, JORDAN ROAD|[KMB+CTB] BATTERY STREET JORDAN/<BR>BATTERY STREET, JORDAN ROAD|[KMB] BATTERY STREET JORDAN",114.16852,22.30553,0,1164
1277,"[CTB] SILVERCORD, CANTON ROAD|[KMB] SILVERCORD, CANTON ROAD",114.16898,22.29763,0,1277
1278,"[CTB] PEKING ROAD, CANTON ROAD|[KMB+CTB] PEKING ROAD, CANTON ROAD/<BR>PEKING ROAD, CANTON ROAD|[KMB] PEKING ROAD, CANTON ROAD",114.16944,22.2955,0,1278
1279,"[CTB] EAST TSIM SHA TSUI STATION, SALISBURY ROAD|[KMB+CTB] EAST TSIM SHA TSUI STATION, K11  MUSEA/<BR>EAST TSIM SHA TSUI STATION, SALISBURY ROAD|[KMB] EAST TSIM SHA TSUI STATION, K11  MUSEA",114.17443,22.29517,0,1279
1280,[KMB] MODY ROAD TSIM SHA TSUI,114.17547,22.29776,0,1280
1281,"[CTB] GRANVILLE ROAD, CHATHAM ROAD SOUTH|[KMB] GRANVILLE ROAD",114.17587,22.29988,0,1281
1282,"[CTB] HONG KONG SCIENCE MUSEUM, CHATHAM ROAD SOUTH|[KMB] HONG KONG SCIENCE MUSEUM",114.17636,22.30136,0,1282
1283,[KMB] H.K. POLYTECHNIC UNIVERSITY,114.17802,22.30272,0,1283
1284,[CTB] TSIM SHA TSUI EAST|[KMB] TSIM SHA TSUI EAST BUS TERMINUS,114.17844,22.3018,0,1284
1289,"[CTB] CHINA HONG KONG CITY, CANTON ROAD|[KMB] CHINA HONG KONG CITY, XIQU CENTRE",114.1681,22.30052,0,1289
1310,"[CTB] HONG KONG SCIENCE MUSEUM, CHATHAM ROAD SOUTH|[KMB] HONG KONG SCIENCE MUSEUM",114.17653,22.30108,0,1310
1320,[KMB] TEMPLE STREET JORDAN,114.17004,22.30539,0,1320
1321,"[CTB] CHI WO STREET, JORDAN ROAD|[KMB] CHI WO STREET JORDAN",114.17257,22.30592,0,1321
1322,"[CTB] WYLIE ROAD, GASCOIGNE ROAD|[KMB] WYLIE ROAD",114.17611,22.30671,0,1322
1331,"[CTB] TEMPLE STREET, JORDAN ROAD|[KMB] WOOSUNG STREET, TEMPLE STREET NIGHT MARKET",114.16995,22.30522,0,1331
4020,[KMB] WING SING LANE YAU MA TEI,114.17109,22.31125,0,4020
4021,[KMB] CHEONG LOK STREET YAU MA TEI,114.17159,22.30673,0,4021
4022,"[CTB] PRUDENTIAL CENTRE, NATHAN ROAD|[KMB] TAK SHING STREET TSIM SHA TSUI",114.17179,22.30438,0,4022
4024,"[CTB] MIDDLE ROAD, NATHAN ROAD|[KMB] TSIM SHA TSUI BBI - MIDDLE ROAD",114.17238,22.29585,0,4024
4027,"[CTB] JORDAN STATION, NATHAN ROAD|[KMB] BOWRING STREET, PRUDENTIAL CENTRE",114.17157,22.30465,0,4027
4028,"[CTB] KOWLOON CENTRAL POST OFFICE, NATHAN ROAD|[KMB] KOWLOON CENTRAL POST OFFICE",114.17116,22.30895,0,4028
4049,"[CTB] NATHAN HOTEL, NATHAN ROAD|[KMB] SAIGON STREET YAU MA TEI",114.17152,22.30741,0,4049
4050,"[CTB] KOWLOON MOSQUE, NATHAN ROAD|[KMB] KOWLOON MOSQUE|[NLB] KOWLOON PARK",114.17197,22.29878,0,4050
4051,"[CTB] TSIM SHA TSUI POLICE STATION, NATHAN ROAD|[KMB] TSIM SHA TSUI POLICE STATION",114.17172,22.30281,0,4051
4052,"[CTB] NANKING STREET, NATHAN ROAD|[KMB] NANKING STREET, JORDAN STATION",114.17142,22.30639,0,4052
