source_turn_id,source_edge_sequence,reason
2325,105132|104356,edge_missing_or_no_exact_directed_adjacency
2326,104382|104809,edge_missing_or_no_exact_directed_adjacency
423,104179|104160,edge_missing_or_no_exact_directed_adjacency
425,105111|104949,edge_missing_or_no_exact_directed_adjacency
2203,104297|104224,edge_missing_or_no_exact_directed_adjacency
2205,105121|105122,edge_missing_or_no_exact_directed_adjacency
923,105306|105294,edge_missing_or_no_exact_directed_adjacency
520,104133|109848,edge_missing_or_no_exact_directed_adjacency
1048,104358|104357,edge_missing_or_no_exact_directed_adjacency
1053,104684|104702,edge_missing_or_no_exact_directed_adjacency
4466,105483|104749,edge_missing_or_no_exact_directed_adjacency
4467,106898|106901,edge_missing_or_no_exact_directed_adjacency
1847,105041|104314,edge_missing_or_no_exact_directed_adjacency
4432,105443|105427,edge_missing_or_no_exact_directed_adjacency
437,104243|104308,edge_missing_or_no_exact_directed_adjacency
5517,104938|104944,edge_missing_or_no_exact_directed_adjacency
5521,104654|105178,edge_missing_or_no_exact_directed_adjacency
2338,104664|104562,edge_missing_or_no_exact_directed_adjacency
2345,105441|105424,edge_missing_or_no_exact_directed_adjacency
528,104168|105108,edge_missing_or_no_exact_directed_adjacency
1682,105040|104314,edge_missing_or_no_exact_directed_adjacency
1685,105044|104360,edge_missing_or_no_exact_directed_adjacency
5550,105221|105222,edge_missing_or_no_exact_directed_adjacency
5545,105033|105032,edge_missing_or_no_exact_directed_adjacency
1054,104623|105201,edge_missing_or_no_exact_directed_adjacency
2208,104371|104362,edge_missing_or_no_exact_directed_adjacency
2216,104685|104702,edge_missing_or_no_exact_directed_adjacency
2217,104550|104648,edge_missing_or_no_exact_directed_adjacency
140362,106177|111921,edge_missing_or_no_exact_directed_adjacency
1690,106871|106869,edge_missing_or_no_exact_directed_adjacency
132,104537|104676,edge_missing_or_no_exact_directed_adjacency
141,105316|105307,edge_missing_or_no_exact_directed_adjacency
2882,104223|104296,edge_missing_or_no_exact_directed_adjacency
2885,104227|104234,edge_missing_or_no_exact_directed_adjacency
2888,104225|104190,edge_missing_or_no_exact_directed_adjacency
4694,104192|104269,edge_missing_or_no_exact_directed_adjacency
4696,104281|104270,edge_missing_or_no_exact_directed_adjacency
4700,104957|104955,edge_missing_or_no_exact_directed_adjacency
4705,105392|105423,edge_missing_or_no_exact_directed_adjacency
4428,104181|104199,edge_missing_or_no_exact_directed_adjacency
4445,104566|104624,edge_missing_or_no_exact_directed_adjacency
141424,105516|260673,edge_missing_or_no_exact_directed_adjacency
141425,105520|105518,edge_missing_or_no_exact_directed_adjacency
3434,104661|104570,edge_missing_or_no_exact_directed_adjacency
3455,105396|105449,edge_missing_or_no_exact_directed_adjacency
2211,104387|105027,edge_missing_or_no_exact_directed_adjacency
603,104677|104688,edge_missing_or_no_exact_directed_adjacency
604,104593|105174,edge_missing_or_no_exact_directed_adjacency
7282,104382|104686,edge_missing_or_no_exact_directed_adjacency
7287,104673|104564,edge_missing_or_no_exact_directed_adjacency
7291,105138|105147,edge_missing_or_no_exact_directed_adjacency
7295,105322|105321,edge_missing_or_no_exact_directed_adjacency
7296,105420|105389,edge_missing_or_no_exact_directed_adjacency
140206,104203|104316,edge_missing_or_no_exact_directed_adjacency
285,104270|104260,edge_missing_or_no_exact_directed_adjacency
287,104157|104141,edge_missing_or_no_exact_directed_adjacency
140467,104194|104237,edge_missing_or_no_exact_directed_adjacency
17022,104683|104554,edge_missing_or_no_exact_directed_adjacency
3414,104301|104188,edge_missing_or_no_exact_directed_adjacency
3418,104233|104230,edge_missing_or_no_exact_directed_adjacency
3466,105465|105466,edge_missing_or_no_exact_directed_adjacency
140366,106790|106791,edge_missing_or_no_exact_directed_adjacency
140367,106862|106863,edge_missing_or_no_exact_directed_adjacency
140590,106175|111920,edge_missing_or_no_exact_directed_adjacency
3421,104271|104223,edge_missing_or_no_exact_directed_adjacency
4701,104293|104189,edge_missing_or_no_exact_directed_adjacency
6714,104313|105121,edge_missing_or_no_exact_directed_adjacency
4426,105222|104209,edge_missing_or_no_exact_directed_adjacency
599,105030|104364,edge_missing_or_no_exact_directed_adjacency
6715,105034|104366,edge_missing_or_no_exact_directed_adjacency
6717,105047|104363,edge_missing_or_no_exact_directed_adjacency
6722,104826|104809,edge_missing_or_no_exact_directed_adjacency
6728,104592|104964,edge_missing_or_no_exact_directed_adjacency
10584,119632|104536,edge_missing_or_no_exact_directed_adjacency
17609,104184|104300,edge_missing_or_no_exact_directed_adjacency
17624,105173|105220,edge_missing_or_no_exact_directed_adjacency
17640,104571|104681,edge_missing_or_no_exact_directed_adjacency
17641,104572|104644,edge_missing_or_no_exact_directed_adjacency
17648,109853|105224,edge_missing_or_no_exact_directed_adjacency
17651,104657|104642,edge_missing_or_no_exact_directed_adjacency
4698,105120|105107,edge_missing_or_no_exact_directed_adjacency
17656,105043|109867,edge_missing_or_no_exact_directed_adjacency
18972,104388|115801,edge_missing_or_no_exact_directed_adjacency
18893,104304|104184,edge_missing_or_no_exact_directed_adjacency
18901,104228|104291,edge_missing_or_no_exact_directed_adjacency
18903,104229|104228,edge_missing_or_no_exact_directed_adjacency
18909,104277|104238,edge_missing_or_no_exact_directed_adjacency
18462,104559|104560,edge_missing_or_no_exact_directed_adjacency
140954,165009|104742,edge_missing_or_no_exact_directed_adjacency
19221,127290|104939,edge_missing_or_no_exact_directed_adjacency
6700,104268|104260,edge_missing_or_no_exact_directed_adjacency
6702,104150|104181,edge_missing_or_no_exact_directed_adjacency
6713,104363|105046,edge_missing_or_no_exact_directed_adjacency
7281,104355|104353,edge_missing_or_no_exact_directed_adjacency
17664,109866|105042,edge_missing_or_no_exact_directed_adjacency
140399,133361|104655,edge_missing_or_no_exact_directed_adjacency
140130,104186|104721,edge_missing_or_no_exact_directed_adjacency
6735,105178|104682,edge_missing_or_no_exact_directed_adjacency
10585,119632|104679,edge_missing_or_no_exact_directed_adjacency
10586,119631|104680,edge_missing_or_no_exact_directed_adjacency
17004,105539|105416,edge_missing_or_no_exact_directed_adjacency
17005,106739|105301,edge_missing_or_no_exact_directed_adjacency
141616,260906|260895,edge_missing_or_no_exact_directed_adjacency
17015,104732|104730,edge_missing_or_no_exact_directed_adjacency
7353,106177|106175,edge_missing_or_no_exact_directed_adjacency
141738,261703|261019,edge_missing_or_no_exact_directed_adjacency
141739,261699|261691,edge_missing_or_no_exact_directed_adjacency
141574,109956|106872,edge_missing_or_no_exact_directed_adjacency
3905,164124|105463,edge_missing_or_no_exact_directed_adjacency
4433,104730|105446,edge_missing_or_no_exact_directed_adjacency
19232,105027|105033,edge_missing_or_no_exact_directed_adjacency
16977,105549|105533,edge_missing_or_no_exact_directed_adjacency
6720,104643|104384,edge_missing_or_no_exact_directed_adjacency
7278,104269|104274,edge_missing_or_no_exact_directed_adjacency
7279,104211|104212,edge_missing_or_no_exact_directed_adjacency
1851,261068|260881,edge_missing_or_no_exact_directed_adjacency
140440,104718|105292,edge_missing_or_no_exact_directed_adjacency
141624,164077|260887,edge_missing_or_no_exact_directed_adjacency
141627,260935|260886,edge_missing_or_no_exact_directed_adjacency
141628,260935|105419,edge_missing_or_no_exact_directed_adjacency
141634,130156|261010,edge_missing_or_no_exact_directed_adjacency
141635,260882|261005,edge_missing_or_no_exact_directed_adjacency
141642,261017|261006,edge_missing_or_no_exact_directed_adjacency
141643,261009|260945,edge_missing_or_no_exact_directed_adjacency
141644,261069|106874,edge_missing_or_no_exact_directed_adjacency
141656,261023|261025,edge_missing_or_no_exact_directed_adjacency
141740,261021|261687,edge_missing_or_no_exact_directed_adjacency
140260,104534|104653,edge_missing_or_no_exact_directed_adjacency
143716,266403|109961,edge_missing_or_no_exact_directed_adjacency
143717,266403|106897,edge_missing_or_no_exact_directed_adjacency
3663,106870|164076,edge_missing_or_no_exact_directed_adjacency
150336,277443|105211,edge_missing_or_no_exact_directed_adjacency
150337,277443|105209,edge_missing_or_no_exact_directed_adjacency
152356,105451|282023,edge_missing_or_no_exact_directed_adjacency
152357,104719|282024,edge_missing_or_no_exact_directed_adjacency
152358,104720|282025,edge_missing_or_no_exact_directed_adjacency
152156,261026|105500,edge_missing_or_no_exact_directed_adjacency
3659,105032|105034,edge_missing_or_no_exact_directed_adjacency
153236,105740|105549,edge_missing_or_no_exact_directed_adjacency
153096,261286|261014,edge_missing_or_no_exact_directed_adjacency
152776,284008|104527,edge_missing_or_no_exact_directed_adjacency
153237,284797|284806,edge_missing_or_no_exact_directed_adjacency
924,105449|105459,edge_missing_or_no_exact_directed_adjacency
5552,106867|106875,edge_missing_or_no_exact_directed_adjacency
140781,105439|138154,edge_missing_or_no_exact_directed_adjacency
153496,106903|105543,edge_missing_or_no_exact_directed_adjacency
153497,285609|106877,edge_missing_or_no_exact_directed_adjacency
153498,271044|105496,edge_missing_or_no_exact_directed_adjacency
