zone_id,centroid_node_id,physical_access_node_id,access_distance_m,access_status,access_method
1,1,10244,29.87,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
2,2,10304,57.618,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
3,3,10329,50.952,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
4,4,10358,43.388,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
5,5,10185,47.684,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
6,6,10223,37.409,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
7,7,10281,65.04,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
8,8,10281,65.336,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
9,9,10299,66.4,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
10,10,10361,61.49,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
11,11,10231,51.48,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
12,12,10286,24.557,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
13,13,10325,31.425,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
14,14,10388,18.231,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
15,15,10221,52.895,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
16,16,10386,44.072,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
17,17,10510,92.197,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
18,18,10427,38.662,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
19,19,10398,87.267,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
20,20,10560,35.66,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
21,21,10450,105.076,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
22,22,10605,57.145,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
23,23,10554,47.685,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
24,24,10493,35.05,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
25,25,10493,48.867,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
26,26,10440,16.597,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
27,27,10505,39.44,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
28,28,10505,84.688,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
29,29,10441,36.964,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
30,30,10527,18.529,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
31,31,10462,22.725,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
32,32,10508,35.242,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
33,33,10552,62.903,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
34,34,10472,30.631,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
35,35,10516,7.404,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
36,36,10416,51.254,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
37,37,10453,44.062,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
38,38,10689,48.909,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
39,39,10317,13.097,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
40,40,10224,37.344,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
41,41,10298,27.52,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
42,42,10322,22.809,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
43,43,10265,23.254,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
44,44,10305,30.756,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
45,45,10312,36.82,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
46,46,10295,30.714,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
47,47,10222,46.871,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
48,48,10287,35.395,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
49,49,10346,37.803,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
50,50,10348,40.05,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
51,51,10188,35.456,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
52,52,10239,40.217,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
53,53,10290,38.899,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
54,54,10283,39.435,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
55,55,10333,36.542,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
56,56,10094,24.807,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
57,57,10136,27.044,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
58,58,10104,51.704,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
59,59,10144,48.775,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
60,60,10104,52.07,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
61,61,10141,46.012,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
62,62,10100,45.228,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
63,63,10100,50.844,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
64,64,10138,30.22,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
65,65,10201,39.172,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
66,66,10262,41.152,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
67,67,10273,41.875,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
68,68,10333,37.956,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
69,69,10356,35.202,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
70,70,10201,37.597,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
71,71,10247,39.056,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
72,72,10273,41.052,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
73,73,10288,42.319,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
74,74,10310,39.332,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
75,75,10351,30.883,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
76,76,10186,42.208,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
77,77,10235,42.409,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
78,78,10279,36.322,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
79,79,10345,38.626,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
80,80,10191,40.328,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
81,81,10265,15.708,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
82,82,10289,13.853,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
83,83,10437,87.792,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
84,84,10532,65.515,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
85,85,10374,28.209,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
86,86,10483,29.316,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
87,87,10700,57.479,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
88,88,10400,6.312,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
89,89,10431,23.588,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
90,90,10608,21.729,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
91,91,10663,86.924,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
92,92,10663,187.123,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
93,93,10706,208.4,review_long_or_barrier,nearest physical road endpoint; no barrier confirmation
94,94,10106,55.413,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
95,95,10073,34.529,straight_line_screen_only,nearest physical road endpoint; no barrier confirmation
