zone_id,source_ssbg,source_year,allocation_weight,source_population,population_allocated,source_households,households_allocated,status
1,21105,2021,1,564,564.0,288,288.0,area_allocated_estimate
2,21106,2021,1,402,402.0,175,175.0,area_allocated_estimate
3,21107,2021,1,907,907.0,376,376.0,area_allocated_estimate
4,21108S,2021,1,733,733.0,360,360.0,area_allocated_estimate
5,21110,2021,1,1047,1047.0,422,422.0,area_allocated_estimate
6,21111S,2021,1,1223,1223.0,523,523.0,area_allocated_estimate
7,21112,2021,1,554,554.0,291,291.0,area_allocated_estimate
8,21113,2021,1,625,625.0,251,251.0,area_allocated_estimate
9,21114,2021,1,809,809.0,322,322.0,area_allocated_estimate
10,21115S,2021,1,688,688.0,300,300.0,area_allocated_estimate
11,21117S,2021,0.9246490939492276,2575,2380.971416919261,1059,979.203390492232,area_allocated_estimate
12,21119S,2021,0.886408368181978,912,808.4044317819639,341,302.26525355005447,area_allocated_estimate
13,21122,2021,1,765,765.0,370,370.0,area_allocated_estimate
14,21123S,2021,0.9199570363706527,1336,1229.062600591192,564,518.8557685130481,area_allocated_estimate
15,21130,2021,1,524,524.0,277,277.0,area_allocated_estimate
16,21201,2021,1,422,422.0,206,206.0,area_allocated_estimate
17,21202S,2021,1,2152,2152.0,844,844.0,area_allocated_estimate
18,21204,2021,1,1252,1252.0,393,393.0,area_allocated_estimate
19,21205,2021,1,613,613.0,239,239.0,area_allocated_estimate
20,21207,2021,1,957,957.0,367,367.0,area_allocated_estimate
21,21208S,2021,1,805,805.0,346,346.0,area_allocated_estimate
22,21210,2021,1,483,483.0,245,245.0,area_allocated_estimate
23,21211,2021,1,572,572.0,238,238.0,area_allocated_estimate
24,21212,2021,1,492,492.0,225,225.0,area_allocated_estimate
25,21213S,2021,1,635,635.0,319,319.0,area_allocated_estimate
26,21216S,2021,1,689,689.0,235,235.0,area_allocated_estimate
27,21217,2021,1,1031,1031.0,470,470.0,area_allocated_estimate
28,21219,2021,1,802,802.0,291,291.0,area_allocated_estimate
29,21220,2021,1,437,437.0,160,160.0,area_allocated_estimate
30,21221,2021,1,2091,2091.0,944,944.0,area_allocated_estimate
31,21223,2021,1,1118,1118.0,502,502.0,area_allocated_estimate
32,21401S,2021,1,425,425.0,178,178.0,area_allocated_estimate
33,21404,2021,1,929,929.0,364,364.0,area_allocated_estimate
34,21405S,2021,0.9419743345267146,1972,1857.5733876866814,856,806.3300303548677,area_allocated_estimate
35,21406S,2021,1,583,583.0,308,308.0,area_allocated_estimate
36,21413,2021,1,463,463.0,241,241.0,area_allocated_estimate
37,21414,2021,1,498,498.0,178,178.0,area_allocated_estimate
38,21501S,2021,0.584914715758996,539,315.26903179409885,318,186.00287961136073,area_allocated_estimate
39,22506,2021,0.12304324122865891,972,119.59803047425646,455,55.984674759039805,area_allocated_estimate
40,22507S,2021,0.6120245448952384,551,337.2255242372764,241,147.49791531975245,area_allocated_estimate
41,22511S,2021,1,580,580.0,256,256.0,area_allocated_estimate
42,22513,2021,1,639,639.0,287,287.0,area_allocated_estimate
43,22518S,2021,1,857,857.0,271,271.0,area_allocated_estimate
44,22519S,2021,1,577,577.0,199,199.0,area_allocated_estimate
45,22522S,2021,1,560,560.0,220,220.0,area_allocated_estimate
46,22525S,2021,1,741,741.0,404,404.0,area_allocated_estimate
47,22534S,2021,1,613,613.0,269,269.0,area_allocated_estimate
48,22536S,2021,1,870,870.0,368,368.0,area_allocated_estimate
49,22539,2021,1,502,502.0,170,170.0,area_allocated_estimate
50,22540,2021,1,430,430.0,168,168.0,area_allocated_estimate
51,22541S,2021,1,577,577.0,312,312.0,area_allocated_estimate
52,22543,2021,1,531,531.0,195,195.0,area_allocated_estimate
53,22544,2021,1,589,589.0,208,208.0,area_allocated_estimate
54,22545,2021,1,442,442.0,182,182.0,area_allocated_estimate
55,22546S,2021,1,507,507.0,216,216.0,area_allocated_estimate
56,22548,2021,1,1213,1213.0,419,419.0,area_allocated_estimate
57,22549,2021,1,1614,1614.0,568,568.0,area_allocated_estimate
58,22550,2021,1,1446,1446.0,560,560.0,area_allocated_estimate
59,22551,2021,1,1560,1560.0,692,692.0,area_allocated_estimate
60,22552,2021,1,1180,1180.0,442,442.0,area_allocated_estimate
61,22553,2021,1,1479,1479.0,737,737.0,area_allocated_estimate
62,22554,2021,1,1190,1190.0,442,442.0,area_allocated_estimate
63,22555,2021,1,1357,1357.0,501,501.0,area_allocated_estimate
64,22556,2021,1,1252,1252.0,510,510.0,area_allocated_estimate
65,22557,2021,1,997,997.0,444,444.0,area_allocated_estimate
66,22558S,2021,1,799,799.0,343,343.0,area_allocated_estimate
67,22561,2021,1,534,534.0,180,180.0,area_allocated_estimate
68,22562,2021,1,845,845.0,300,300.0,area_allocated_estimate
69,22563S,2021,1,465,465.0,212,212.0,area_allocated_estimate
70,22565,2021,1,402,402.0,124,124.0,area_allocated_estimate
71,22566,2021,1,471,471.0,182,182.0,area_allocated_estimate
72,22567,2021,1,614,614.0,268,268.0,area_allocated_estimate
73,22568,2021,1,541,541.0,235,235.0,area_allocated_estimate
74,22569,2021,1,751,751.0,336,336.0,area_allocated_estimate
75,22570S,2021,1,810,810.0,458,458.0,area_allocated_estimate
76,22573,2021,1,435,435.0,198,198.0,area_allocated_estimate
77,22574,2021,1,1067,1067.0,518,518.0,area_allocated_estimate
78,22575S,2021,1,887,887.0,334,334.0,area_allocated_estimate
79,22577S,2021,1,744,744.0,336,336.0,area_allocated_estimate
80,22584,2021,1,4170,4170.0,1512,1512.0,area_allocated_estimate
81,22585,2021,1,807,807.0,337,337.0,area_allocated_estimate
82,22587,2021,0.20606717825702175,1686,347.4292625413387,650,133.94366586706414,area_allocated_estimate
83,22601S,2021,0.23871848722476252,1301,310.57275187941605,577,137.74056712868799,area_allocated_estimate
84,22604,2021,0.3453686930029733,413,142.63727021022797,92,31.773919756273543,area_allocated_estimate
85,22605S,2021,1,774,774.0,301,301.0,area_allocated_estimate
86,22607,2021,1,2231,2231.0,584,584.0,area_allocated_estimate
87,22608S,2021,0.985581210785533,2635,2597.0064904198794,676,666.2528984910202,area_allocated_estimate
88,22610S,2021,1,1021,1021.0,362,362.0,area_allocated_estimate
89,22613S,2021,1,1425,1425.0,720,720.0,area_allocated_estimate
90,22614S,2021,1,840,840.0,213,213.0,area_allocated_estimate
91,23608,2021,0.5224163868407666,9322,4869.9655581296265,3272,1709.3464177429885,area_allocated_estimate
92,23609,2021,0.29125737645990407,8195,2386.854200088914,2823,822.2195737463092,area_allocated_estimate
93,23610S,2021,0.18967515772209556,459,87.06089739444187,181,34.331203547699296,area_allocated_estimate
94,25103S,2021,0.9787173550129452,2716,2658.196336215159,928,908.2497054520131,area_allocated_estimate
95,25203S,2021,0.8361075265778491,1200,1003.329031893419,535,447.31752671914927,area_allocated_estimate
