zone_id,source_ssbg,source_stpug,source_population,source_households,allocation_method,allocation_weight,source_year,spatial_parent_match_count
1,21105,211,564,288,clipped_polygon_area_ratio,1,2021,1
2,21106,211,402,175,clipped_polygon_area_ratio,1,2021,1
3,21107,211,907,376,clipped_polygon_area_ratio,1,2021,1
4,21108S,211,733,360,clipped_polygon_area_ratio,1,2021,1
5,21110,211,1047,422,clipped_polygon_area_ratio,1,2021,1
6,21111S,211,1223,523,clipped_polygon_area_ratio,1,2021,1
7,21112,211,554,291,clipped_polygon_area_ratio,1,2021,1
8,21113,211,625,251,clipped_polygon_area_ratio,1,2021,1
9,21114,211,809,322,clipped_polygon_area_ratio,1,2021,1
10,21115S,211,688,300,clipped_polygon_area_ratio,1,2021,1
11,21117S,211,2575,1059,clipped_polygon_area_ratio,0.9246490939492276,2021,1
12,21119S,211,912,341,clipped_polygon_area_ratio,0.886408368181978,2021,1
13,21122,211,765,370,clipped_polygon_area_ratio,1,2021,1
14,21123S,211,1336,564,clipped_polygon_area_ratio,0.9199570363706527,2021,1
15,21130,211,524,277,clipped_polygon_area_ratio,1,2021,1
16,21201,212,422,206,clipped_polygon_area_ratio,1,2021,1
17,21202S,212,2152,844,clipped_polygon_area_ratio,1,2021,1
18,21204,212,1252,393,clipped_polygon_area_ratio,1,2021,1
19,21205,212,613,239,clipped_polygon_area_ratio,1,2021,1
20,21207,212,957,367,clipped_polygon_area_ratio,1,2021,1
21,21208S,212,805,346,clipped_polygon_area_ratio,1,2021,1
22,21210,212,483,245,clipped_polygon_area_ratio,1,2021,1
23,21211,212,572,238,clipped_polygon_area_ratio,1,2021,1
24,21212,212,492,225,clipped_polygon_area_ratio,1,2021,1
25,21213S,212,635,319,clipped_polygon_area_ratio,1,2021,1
26,21216S,212,689,235,clipped_polygon_area_ratio,1,2021,1
27,21217,212,1031,470,clipped_polygon_area_ratio,1,2021,1
28,21219,212,802,291,clipped_polygon_area_ratio,1,2021,1
29,21220,212,437,160,clipped_polygon_area_ratio,1,2021,1
30,21221,212,2091,944,clipped_polygon_area_ratio,1,2021,1
31,21223,212,1118,502,clipped_polygon_area_ratio,1,2021,1
32,21401S,214,425,178,clipped_polygon_area_ratio,1,2021,1
33,21404,214,929,364,clipped_polygon_area_ratio,1,2021,1
34,21405S,214,1972,856,clipped_polygon_area_ratio,0.9419743345267146,2021,1
35,21406S,214,583,308,clipped_polygon_area_ratio,1,2021,1
36,21413,214,463,241,clipped_polygon_area_ratio,1,2021,1
37,21414,214,498,178,clipped_polygon_area_ratio,1,2021,1
38,21501S,213S,539,318,clipped_polygon_area_ratio,0.584914715758996,2021,1
