path_id,o_zone_id,d_zone_id,volume,link_sequence
1,1,2,400.0,1
2,1,3,400.0,2
3,1,4,2000.0,2;6
4,1,5,800.0000000035942,2;6;9
5,1,5,-3.5941915619323546e-09,1;4;15
6,1,6,1199.9999996515796,1;4
7,1,6,3.484202180526882e-07,2;6;9;12
8,1,7,1999.9999995894902,1;4;16;20
9,1,7,3.4842020580639257e-07,2;6;9;12;16;20
10,1,7,6.208947295569535e-08,1;4;16;22;50;54
11,1,8,3199.99999965158,1;4;16
12,1,8,3.484201989246776e-07,2;6;9;12;16
13,1,9,2000.000000015934,2;6;9;13
14,1,9,-3.5941915692844418e-09,1;4;15;13
15,1,9,-7.480295163904756e-09,2;7;36;32;26
16,1,9,-4.859285508344513e-09,2;6;10;32;26
17,1,10,5199.9999999911615,2;6;9;13;25
18,1,10,-5.421529403829515e-09,2;7;36;32
19,1,10,5.2238760562633904e-08,2;6;10;32
20,1,10,-8.841601282227797e-09,1;4;16;22;48
21,1,10,-3.5941915723006996e-09,1;4;15;13;25
22,1,10,-8.845333117081517e-09,2;6;9;12;16;22;48
23,1,10,-8.841601281787644e-09,1;4;16;20;18;55;48
24,1,10,-7.856191265320576e-09,1;4;16;21;25
25,1,11,2000.000000005058,2;6;10
26,1,11,-5.0579795041724675e-09,2;7;36
27,1,12,800.0,2;7
28,1,13,2000.0,2;7;37
29,1,14,1200.0000000218772,2;6;10;34
30,1,14,-5.057979502427778e-09,2;7;36;34
31,1,14,-5.1625192776925985e-09,2;7;37;39;76;71
32,1,14,-4.298300586693446e-09,1;4;15;11;10;34
33,1,14,-7.358227590036476e-09,2;6;9;13;25;27;34
34,1,15,5.22387672232525e-08,2;6;10;34;41
35,1,15,-5.421529366651783e-09,2;7;36;34;41
36,1,15,-5.5113941933414265e-09,2;7;37;39;75;65;67
37,1,15,1999.9999999394304,2;6;9;13;25;28
38,1,15,-5.511394191597558e-09,2;7;37;39;76;72;67
39,1,15,-8.261141387390904e-09,1;4;16;22;49;53;57
40,1,15,5.223876080839374e-08,2;6;10;32;28
41,1,15,-5.42152940245216e-09,2;7;36;32;28
42,1,15,-5.511394190083539e-09,2;7;37;39;76;71;41
43,1,15,-8.26953665028004e-09,2;6;9;12;16;22;49;53;57
44,1,16,1500.835734951696,1;4;16;22
45,1,16,3.484202118322544e-07,2;6;9;12;16;22
46,1,16,499.1642642487967,1;4;16;20;18;55
47,1,16,8.473770924101571e-08,2;6;9;13;25;29
48,1,16,-5.632599103392702e-09,2;7;36;32;29
49,1,16,2.7561927108570372e-08,2;6;10;32;29
50,1,16,3.48420261529103e-07,2;6;9;12;16;20;18;55
51,1,16,-3.999901143206108e-09,1;4;15;13;25;29
52,1,17,-7.638041340016265e-09,1;4;16;22;49
53,1,17,-7.65350454903792e-09,2;6;9;12;16;22;49
54,1,17,-7.638041338156551e-09,1;4;16;20;18;55;49
55,1,17,-7.695497009326633e-09,2;6;9;13;25;29;49
56,1,17,-8.467072553732287e-09,2;7;36;32;29;49
57,1,17,-7.777778779401708e-09,2;6;10;32;29;49
58,1,17,-7.653504547200613e-09,2;6;9;12;16;20;18;55;49
59,1,17,1600.0000000077064,2;6;9;13;25;30
60,1,17,-5.421529401891728e-09,2;7;36;32;30
61,1,17,5.223876090839953e-08,2;6;10;32;30
62,1,18,399.99999944816494,1;4;16;20;18
63,1,18,3.484202788095839e-07,2;6;9;12;16;20;18
64,1,18,8.74589630594811e-08,1;4;16;22;50
65,1,18,6.662394335593919e-08,2;6;9;12;16;22;50
66,1,18,3.803936268744469e-08,2;6;9;13;25;29;50
67,1,18,-5.819919878561544e-09,2;7;36;32;29;50
68,1,18,1.711243132557612e-08,2;6;10;32;29;50
69,1,19,-7.919310717784493e-09,1;4;16;22;49;53
70,1,19,-7.931319755397435e-09,2;6;9;12;16;22;49;53
71,1,19,-7.919310716330482e-09,1;4;16;20;18;55;49;53
