link_id,from_node_id,to_node_id,capacity,length,vdf_fftt,vdf_alpha,vdf_beta
1,1,2,25900.20064,6.0,6.0,0.15,4.0
2,1,3,23403.47319,4.0,4.0,0.15,4.0
3,2,1,25900.20064,6.0,6.0,0.15,4.0
4,2,6,4958.180928,5.0,5.0,0.15,4.0
5,3,1,23403.47319,4.0,4.0,0.15,4.0
6,3,4,17110.52372,4.0,4.0,0.15,4.0
7,3,12,23403.47319,4.0,4.0,0.15,4.0
8,4,3,17110.52372,4.0,4.0,0.15,4.0
9,4,5,17782.7941,2.0,2.0,0.15,4.0
10,4,11,4908.82673,6.0,6.0,0.15,4.0
11,5,4,17782.7941,2.0,2.0,0.15,4.0
12,5,6,4947.995469,4.0,4.0,0.15,4.0
13,5,9,10000.0,5.0,5.0,0.15,4.0
14,6,2,4958.180928,5.0,5.0,0.15,4.0
15,6,5,4947.995469,4.0,4.0,0.15,4.0
16,6,8,4898.587646,2.0,2.0,0.15,4.0
17,7,8,7841.81131,3.0,3.0,0.15,4.0
18,7,18,23403.47319,2.0,2.0,0.15,4.0
19,8,6,4898.587646,2.0,2.0,0.15,4.0
20,8,7,7841.81131,3.0,3.0,0.15,4.0
21,8,9,5050.193156,10.0,10.0,0.15,4.0
22,8,16,5045.822583,5.0,5.0,0.15,4.0
23,9,5,10000.0,5.0,5.0,0.15,4.0
24,9,8,5050.193156,10.0,10.0,0.15,4.0
25,9,10,13915.78842,3.0,3.0,0.15,4.0
26,10,9,13915.78842,3.0,3.0,0.15,4.0
27,10,11,10000.0,5.0,5.0,0.15,4.0
28,10,15,13512.00155,6.0,6.0,0.15,4.0
29,10,16,4854.917717,4.0,4.0,0.15,4.0
30,10,17,4993.510694,8.0,8.0,0.15,4.0
31,11,4,4908.82673,6.0,6.0,0.15,4.0
32,11,10,10000.0,5.0,5.0,0.15,4.0
33,11,12,4908.82673,6.0,6.0,0.15,4.0
34,11,14,4876.508287,4.0,4.0,0.15,4.0
35,12,3,23403.47319,4.0,4.0,0.15,4.0
36,12,11,4908.82673,6.0,6.0,0.15,4.0
37,12,13,25900.20064,3.0,3.0,0.15,4.0
38,13,12,25900.20064,3.0,3.0,0.15,4.0
39,13,24,5091.256152,4.0,4.0,0.15,4.0
40,14,11,4876.508287,4.0,4.0,0.15,4.0
41,14,15,5127.526119,5.0,5.0,0.15,4.0
42,14,23,4924.790605,4.0,4.0,0.15,4.0
43,15,10,13512.00155,6.0,6.0,0.15,4.0
44,15,14,5127.526119,5.0,5.0,0.15,4.0
45,15,19,14564.75315,3.0,3.0,0.15,4.0
46,15,22,9599.180565,3.0,3.0,0.15,4.0
47,16,8,5045.822583,5.0,5.0,0.15,4.0
48,16,10,4854.917717,4.0,4.0,0.15,4.0
49,16,17,5229.910063,2.0,2.0,0.15,4.0
50,16,18,19679.89671,3.0,3.0,0.15,4.0
51,17,10,4993.510694,8.0,8.0,0.15,4.0
52,17,16,5229.910063,2.0,2.0,0.15,4.0
53,17,19,4823.950831,2.0,2.0,0.15,4.0
54,18,7,23403.47319,2.0,2.0,0.15,4.0
55,18,16,19679.89671,3.0,3.0,0.15,4.0
56,18,20,23403.47319,4.0,4.0,0.15,4.0
57,19,15,14564.75315,3.0,3.0,0.15,4.0
58,19,17,4823.950831,2.0,2.0,0.15,4.0
59,19,20,5002.607563,4.0,4.0,0.15,4.0
60,20,18,23403.47319,4.0,4.0,0.15,4.0
61,20,19,5002.607563,4.0,4.0,0.15,4.0
62,20,21,5059.91234,6.0,6.0,0.15,4.0
63,20,22,5075.697193,5.0,5.0,0.15,4.0
64,21,20,5059.91234,6.0,6.0,0.15,4.0
65,21,22,5229.910063,2.0,2.0,0.15,4.0
66,21,24,4885.357564,3.0,3.0,0.15,4.0
67,22,15,9599.180565,3.0,3.0,0.15,4.0
68,22,20,5075.697193,5.0,5.0,0.15,4.0
69,22,21,5229.910063,2.0,2.0,0.15,4.0
70,22,23,5000.0,4.0,4.0,0.15,4.0
71,23,14,4924.790605,4.0,4.0,0.15,4.0
72,23,22,5000.0,4.0,4.0,0.15,4.0
73,23,24,5078.508436,2.0,2.0,0.15,4.0
74,24,13,5091.256152,4.0,4.0,0.15,4.0
75,24,21,4885.357564,3.0,3.0,0.15,4.0
76,24,23,5078.508436,2.0,2.0,0.15,4.0
