link_id,from_node_id,to_node_id,capacity,length,vdf_fftt,vdf_alpha,vdf_beta,effective_capacity,effective_t0,effective_alpha,explicit_v,path_aggregate,link_residual,audit_abs_tolerance
1,1,2,25900.20064,6.0,6.0,0.15,4.0,25900.20064,6.0,0.15,7289.681095643391,7289.681095643393,1.8189894035458565e-12,7.389681095643392e-05
2,1,3,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,11488.65925428115,11488.659254281154,3.637978807091713e-12,0.00011588659254281154
3,2,1,25900.20064,6.0,6.0,0.15,4.0,25900.20064,6.0,0.15,7288.075154452552,7288.07515445255,-1.8189894035458565e-12,7.38807515445255e-05
4,2,6,4958.180928,5.0,5.0,0.15,4.0,4958.180928,5.0,0.15,7292.477057779036,7292.477057779039,2.7284841053187847e-12,7.392477057779038e-05
5,3,1,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,11490.265195253234,11490.26519525324,5.4569682106375694e-12,0.0001159026519525324
6,3,4,17110.52372,4.0,4.0,0.15,4.0,17110.52372,4.0,0.15,13956.711433438673,13956.711433438675,1.8189894035458565e-12,0.00014056711433438676
7,3,12,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,12053.800211333091,12053.800211333091,0.0,0.00012153800211333091
8,4,3,17110.52372,4.0,4.0,0.15,4.0,17110.52372,4.0,0.15,13940.85637835938,13940.856378359382,1.8189894035458565e-12,0.00014040856378359383
9,4,5,17782.7941,2.0,2.0,0.15,4.0,17782.7941,2.0,0.15,18049.807756768427,18049.807756768423,-3.637978807091713e-12,0.00018149807756768423
10,4,11,4908.82673,6.0,6.0,0.15,4.0,4908.82673,6.0,0.15,5925.327989541343,5925.32798954134,-3.637978807091713e-12,6.02532798954134e-05
11,5,4,17782.7941,2.0,2.0,0.15,4.0,17782.7941,2.0,0.15,18350.98703392272,18350.987033922716,-3.637978807091713e-12,0.00018450987033922717
12,5,6,4947.995469,4.0,4.0,0.15,4.0,4947.995469,4.0,0.15,7190.863864803905,7190.863864803908,2.7284841053187847e-12,7.290863864803908e-05
13,5,9,10000.0,5.0,5.0,0.15,4.0,10000.0,5.0,0.15,15957.165633386083,15957.165633386085,1.8189894035458565e-12,0.00016057165633386085
