link_id,from_node_id,to_node_id,capacity,length,vdf_fftt,vdf_alpha,vdf_beta,effective_capacity,effective_t0,effective_alpha,explicit_v,path_aggregate,link_residual,audit_abs_tolerance
1,1,2,25900.20064,6.0,6.0,0.15,4.0,25900.20064,6.0,0.15,7293.012912541246,7293.012912541248,1.8189894035458565e-12,7.393012912541248e-05
2,1,3,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,11494.763417523896,11494.763417523898,1.8189894035458565e-12,0.00011594763417523898
3,2,1,25900.20064,6.0,6.0,0.15,4.0,25900.20064,6.0,0.15,7295.268971870876,7295.2689718708725,-3.637978807091713e-12,7.395268971870873e-05
4,2,6,4958.180928,5.0,5.0,0.15,4.0,4958.180928,5.0,0.15,7296.991625276635,7296.991625276634,-9.094947017729282e-13,7.396991625276634e-05
5,3,1,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,11492.50735790464,11492.507357904638,-1.8189894035458565e-12,0.00011592507357904638
6,3,4,17110.52372,4.0,4.0,0.15,4.0,17110.52372,4.0,0.15,13978.157690166116,13978.157690166112,-3.637978807091713e-12,0.00014078157690166113
7,3,12,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,12063.927815071012,12063.927815071016,3.637978807091713e-12,0.00012163927815071017
8,4,3,17110.52372,4.0,4.0,0.15,4.0,17110.52372,4.0,0.15,13953.917216762344,13953.917216762342,-1.8189894035458565e-12,0.0001405391721676234
9,4,5,17782.7941,2.0,2.0,0.15,4.0,17782.7941,2.0,0.15,18057.827971623374,18057.827971623392,1.8189894035458565e-11,0.00018157827971623393
10,4,11,4908.82673,6.0,6.0,0.15,4.0,4908.82673,6.0,0.15,5938.072107629529,5938.0721076295295,9.094947017729282e-13,6.0380721076295294e-05
11,5,4,17782.7941,2.0,2.0,0.15,4.0,17782.7941,2.0,0.15,18375.043783167876,18375.04378316789,1.4551915228366852e-11,0.0001847504378316789
12,5,6,4947.995469,4.0,4.0,0.15,4.0,4947.995469,4.0,0.15,7189.3543278008165,7189.354327800815,-1.8189894035458565e-12,7.289354327800815e-05
13,5,9,10000.0,5.0,5.0,0.15,4.0,10000.0,5.0,0.15,15965.21613470665,15965.216134706654,3.637978807091713e-12,0.00016065216134706655
14,6,2,4958.180928,5.0,5.0,0.15,4.0,4958.180928,5.0,0.15,7299.247684470783,7299.247684470775,-7.275957614183426e-12,7.399247684470775e-05
15,6,5,4947.995469,4.0,4.0,0.15,4.0,4947.995469,4.0,0.15,7199.99167143028,7199.991671430276,-3.637978807091713e-12,7.299991671430276e-05
16,6,8,4898.587646,2.0,2.0,0.15,4.0,4898.587646,2.0,0.15,13497.305243661993,13497.305243661987,-5.4569682106375694e-12,0.0001359730524366199
17,7,8,7841.81131,3.0,3.0,0.15,4.0,7841.81131,3.0,0.15,11404.657611491844,11404.65761149184,-3.637978807091713e-12,0.00011504657611491841
18,7,18,23403.47319,2.0,2.0,0.15,4.0,23403.47319,2.0,0.15,14296.238971056457,14296.23897105646,3.637978807091713e-12,0.0001439623897105646
19,8,6,4898.587646,2.0,2.0,0.15,4.0,4898.587646,2.0,0.15,13510.198646328308,13510.19864632832,1.0913936421275139e-11,0.0001361019864632832
20,8,7,7841.81131,3.0,3.0,0.15,4.0,7841.81131,3.0,0.15,11394.268754866123,11394.268754866129,5.4569682106375694e-12,0.00011494268754866129
21,8,9,5050.193156,10.0,10.0,0.15,4.0,5050.193156,10.0,0.15,5100.277277920945,5100.277277920945,0.0,5.2002772779209453e-05
22,8,16,5045.822583,5.0,5.0,0.15,4.0,5045.822583,5.0,0.15,8305.004916567563,8305.004916567563,0.0,8.405004916567562e-05
23,9,5,10000.0,5.0,5.0,0.15,4.0,10000.0,5.0,0.15,16271.794602436958,16271.794602436958,0.0,0.00016371794602436956
24,9,8,5050.193156,10.0,10.0,0.15,4.0,5050.193156,10.0,0.15,5097.9590769517345,5097.959076951735,9.094947017729282e-13,5.197959076951735e-05
25,9,10,13915.78842,3.0,3.0,0.15,4.0,13915.78842,3.0,0.15,22489.06468418026,22489.064684180266,7.275957614183426e-12,0.00022589064684180266
26,10,9,13915.78842,3.0,3.0,0.15,4.0,13915.78842,3.0,0.15,22893.324950942468,22893.32495094248,1.0913936421275139e-11,0.0002299332495094248
27,10,11,10000.0,5.0,5.0,0.15,4.0,10000.0,5.0,0.15,16996.14053396397,16996.14053396398,7.275957614183426e-12,0.00017096140533963977
28,10,15,13512.00155,6.0,6.0,0.15,4.0,13512.00155,6.0,0.15,24580.888869879127,24580.888869879134,7.275957614183426e-12,0.00024680888869879137
29,10,16,4854.917717,4.0,4.0,0.15,4.0,4854.917717,4.0,0.15,11224.327935584795,11224.327935584797,1.8189894035458565e-12,0.00011324327935584797
30,10,17,4993.510694,8.0,8.0,0.15,4.0,4993.510694,8.0,0.15,8091.024992334332,8091.024992334332,0.0,8.191024992334331e-05
31,11,4,4908.82673,6.0,6.0,0.15,4.0,4908.82673,6.0,0.15,5696.615822437385,5696.615822437388,2.7284841053187847e-12,5.796615822437388e-05
32,11,10,10000.0,5.0,5.0,0.15,4.0,10000.0,5.0,0.15,17679.896188093855,17679.89618809386,3.637978807091713e-12,0.0001777989618809386
33,11,12,4908.82673,6.0,6.0,0.15,4.0,4908.82673,6.0,0.15,8772.54541673949,8772.545416739491,1.8189894035458565e-12,8.872545416739491e-05
34,11,14,4876.508287,4.0,4.0,0.15,4.0,4876.508287,4.0,0.15,9055.591995129038,9055.591995129038,0.0,9.155591995129038e-05
35,12,3,23403.47319,4.0,4.0,0.15,4.0,23403.47319,4.0,0.15,12085.912228709258,12085.912228709263,5.4569682106375694e-12,0.00012185912228709263
36,12,11,4908.82673,6.0,6.0,0.15,4.0,4908.82673,6.0,0.15,8809.845553317402,8809.845553317402,0.0,8.909845553317401e-05
37,12,13,25900.20064,3.0,3.0,0.15,4.0,25900.20064,3.0,0.15,15133.734574883798,15133.734574883802,3.637978807091713e-12,0.000152337345748838
38,13,12,25900.20064,3.0,3.0,0.15,4.0,25900.20064,3.0,0.15,15293.019124675095,15293.019124675107,1.2732925824820995e-11,0.00015393019124675109
39,13,24,5091.256152,4.0,4.0,0.15,4.0,5091.256152,4.0,0.15,10982.481734257966,10982.481734257968,1.8189894035458565e-12,0.00011082481734257968
40,14,11,4876.508287,4.0,4.0,0.15,4.0,4876.508287,4.0,0.15,9560.591227417055,9560.591227417057,1.8189894035458565e-12,9.660591227417057e-05
41,14,15,5127.526119,5.0,5.0,0.15,4.0,5127.526119,5.0,0.15,8192.613730138564,8192.613730138564,0.0,8.292613730138565e-05
42,14,23,4924.790605,4.0,4.0,0.15,4.0,4924.790605,4.0,0.15,7364.483868126622,7364.483868126619,-2.7284841053187847e-12,7.464483868126618e-05
43,15,10,13512.00155,6.0,6.0,0.15,4.0,13512.00155,6.0,0.15,24228.850706980655,24228.850706980662,7.275957614183426e-12,0.00024328850706980661
