path_id,o_zone_id,d_zone_id,volume,link_sequence,path_row_zero_based,class,raw_reconstructed_flow
1,1,2,400.0,1,0,major,99.99999999989599
2,1,3,400.0,2,1,major,99.99999999958797
3,1,4,2000.0,2;6,2,major,499.9999999977431
4,1,5,800.0000000035942,2;6;9,3,major,199.9984824067451
5,1,5,-3.594191561932354e-09,1;4;15,4,minor,0.001517588685612671
6,1,6,1199.9999996515796,1;4,5,major,299.99999990347396
7,1,6,3.484202180526882e-07,2;6;9;12,6,minor,5.7189364355281214e-11
8,1,7,1999.9999995894905,1;4;16;20,7,major,499.99219892190246
9,1,7,3.4842020580639257e-07,2;6;9;12;16;20,8,minor,0.0035490745151939562
10,1,7,6.208947295569535e-08,1;4;16;22;50;54,9,minor,0.004251382073549276
11,1,8,3199.99999965158,1;4;16,10,major,799.9982057952626
12,1,8,3.484201989246776e-07,2;6;9;12;16,11,minor,0.0017936208116648977
13,1,9,2000.000000015934,2;6;9;13,12,major,499.9271545643462
14,1,9,-3.5941915692844413e-09,1;4;15;13,13,minor,0.0011736257558494848
15,1,9,-7.480295163904756e-09,2;7;36;32;26,14,minor,0.05675971507044819
16,1,9,-4.859285508344513e-09,2;6;10;32;26,15,minor,0.014912076421883858
17,1,10,5199.9999999911615,2;6;9;13;25,16,major,1299.9284647554039
18,1,10,-5.421529403829515e-09,2;7;36;32,17,minor,0.053882416230153884
19,1,10,5.2238760562633904e-08,2;6;10;32,18,minor,0.012034777925923557
20,1,10,-8.841601282227797e-09,1;4;16;22;48,19,minor,0.001793620461289086
21,1,10,-3.5941915723006996e-09,1;4;15;13;25,20,minor,2.762194778460625e-10
22,1,10,-8.845333117081517e-09,2;6;9;12;16;22;48,21,minor,0.0017936205114260778
23,1,10,-8.841601281787644e-09,1;4;16;20;18;55;48,22,minor,0.0020307851792012374
24,1,10,-7.856191265320576e-09,1;4;16;21;25,23,minor,1.0218534352013364e-11
25,1,11,2000.000000005058,2;6;10,24,major,499.9445999840049
26,1,11,-5.0579795041724675e-09,2;7;36,25,minor,0.05540000461934089
27,1,12,800.0,2;7,26,major,199.99999999898594
28,1,13,2000.0,2;7;37,27,major,499.9999999983108
29,1,14,1200.0000000218772,2;6;10;34,28,major,297.90086914789106
30,1,14,-5.057979502427778e-09,2;7;36;34,29,minor,0.4845606353217634
31,1,14,-5.1625192776925985e-09,2;7;37;39;76;71,30,minor,0.736823297501229
32,1,14,-4.298300586693446e-09,1;4;15;11;10;34,31,minor,0.4426339457473617
33,1,14,-7.358227590036476e-09,2;6;9;13;25;27;34,32,minor,0.4351129106455052
34,1,15,5.22387672232525e-08,2;6;10;34;41,33,minor,0.944033024039681
35,1,15,-5.421529366651783e-09,2;7;36;34;41,34,minor,0.9858806405271179
36,1,15,-5.511394193341426e-09,2;7;37;39;75;65;67,35,minor,0.036426915881284994
37,1,15,1999.9999999394304,2;6;9;13;25;28,36,major,495.9719781050217
38,1,15,-5.511394191597558e-09,2;7;37;39;76;72;67,37,minor,0.7360069254054735
39,1,15,-8.261141387390904e-09,1;4;16;22;49;53;57,38,minor,0.0068345708145760575
40,1,15,5.2238760808393744e-08,2;6;10;32;28,39,minor,0.01600713867797815
41,1,15,-5.421529402452161e-09,2;7;36;32;28,40,minor,0.0578547768891903
42,1,15,-5.511394190083539e-09,2;7;37;39;76;71;41,41,minor,1.2381433027695579
43,1,15,-8.269536650280041e-09,2;6;9;12;16;22;49;53;57,42,minor,0.0068345708647366
44,1,16,1500.835734951696,1;4;16;22,43,major,499.83998374757897
45,1,16,3.484202118322544e-07,2;6;9;12;16;22,44,minor,0.003311909930253168
46,1,16,499.1642642487967,1;4;16;20;18;55,45,minor,0.07937274255158072
47,1,16,8.473770924101571e-08,2;6;9;13;25;29,46,minor,0.0033119094895553425
48,1,16,-5.632599103392702e-09,2;7;36;32;29,47,minor,0.055400004653350765
49,1,16,2.756192710857037e-08,2;6;10;32;29,48,minor,0.01355236621158945
50,1,16,3.48420261529103e-07,2;6;9;12;16;20;18;55,49,minor,0.003549074688431547
51,1,16,-3.999901143206108e-09,1;4;15;13;25;29,50,minor,0.0015175886924935628
52,1,17,-7.638041340016265e-09,1;4;16;22;49,51,minor,0.0033119093138238853
53,1,17,-7.653504549037921e-09,2;6;9;12;16;22;49,52,minor,0.0033119093640286423
54,1,17,-7.638041338156551e-09,1;4;16;20;18;55;49,53,minor,0.0035490740316095025
55,1,17,-7.695497009326633e-09,2;6;9;13;25;29;49,54,minor,0.003311909360011661
56,1,17,-8.467072553732287e-09,2;7;36;32;29;49,55,minor,0.05540000472990325
57,1,17,-7.777778779401708e-09,2;6;10;32;29;49,56,minor,0.013552366075586963
58,1,17,-7.653504547200613e-09,2;6;9;12;16;20;18;55;49,57,minor,0.0035490740817669675
59,1,17,1600.0000000077064,2;6;9;13;25;30,58,major,399.8499768703686
60,1,17,-5.421529401891728e-09,2;7;36;32;30,59,minor,0.05294224313528201
61,1,17,5.2238760908399536e-08,2;6;10;32;30,60,minor,0.011094604809048392
62,1,18,399.99999944816494,1;4;16;20;18,61,major,99.9043844974494
63,1,18,3.484202788095839e-07,2;6;9;12;16;20;18,62,minor,0.0012322907425511287
64,1,18,8.74589630594811e-08,1;4;16;22;50,63,minor,0.006410807660346657
65,1,18,6.66239433559392e-08,2;6;9;12;16;22;50,64,minor,0.0064108076436929645
66,1,18,3.803936268744469e-08,2;6;9;13;25;29;50,65,minor,0.006410807548015068
67,1,18,-5.819919878561544e-09,2;7;36;32;29;50,66,minor,0.05849890274441241
68,1,18,1.711243132557612e-08,2;6;10;32;29;50,67,minor,0.016651264244147895
69,1,19,-7.919310717784493e-09,1;4;16;22;49;53,68,minor,0.005769670824604181
70,1,19,-7.931319755397435e-09,2;6;9;12;16;22;49;53,69,minor,0.00576967087476879
71,1,19,-7.919310716330482e-09,1;4;16;20;18;55;49;53,70,minor,0.0060068355424072045
72,1,19,-5.057979502428016e-09,2;7;36;34;41;45,71,minor,0.9786265322703052
73,1,19,1200.0000000646708,2;6;10;34;41;45,72,major,298.89007857610846
